seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
6443.438,3400.000,-2540.742,6435.08105,3600.00000,-2506.74683,6443.47412,3600.00000,-2540.88818,177.62
6443.438,3649.501,-2540.742,6435.08105,3600.00000,-2506.74683,6443.47412,3600.00000,-2540.88818,177.62
2761.708,3273.225,-2244.597,2731.84546,3427.08472,-2226.29810,2761.83569,3427.08471,-2244.67529,175.85
6176.399,3500.000,-1825.091,6210.26611,3500.00977,-1814.88110,6176.25586,3500.00983,-1825.13489,163.36
5464.539,3249.997,-1214.552,5474.95020,3249.99658,-1180.64307,5464.49512,3249.99658,-1214.69324,161.29
4029.547,3459.951,-1222.893,4054.88110,3365.43237,-1198.02356,4029.43799,3365.43237,-1223.00000,179.50
4029.547,3365.432,-1222.893,4054.88110,3365.43237,-1198.02356,4029.43799,3365.43237,-1223.00000,179.50
2894.193,3297.389,-2321.153,2925.74023,3407.61987,-2337.45923,2894.05859,3407.61987,-2321.08374,176.94
6271.196,3600.000,-2462.586,6305.97949,3600.00000,-2455.15210,6271.06104,3600.00000,-2462.61548,172.79
6379.586,3600.000,-2848.969,6412.85156,3600.00000,-2836.12622,6379.44629,3600.00000,-2849.02344,169.12
3896.846,3620.200,-1963.707,3872.38647,3406.76807,-1937.69177,3896.94849,3406.76806,-1963.81653,157.14
3896.846,3407.620,-1963.707,3872.38647,3406.76807,-1937.69177,3896.94849,3406.76806,-1963.81653,157.14
4139.038,3628.170,-2424.644,4172.85156,3628.16992,-2437.18213,4138.90234,3628.16992,-2424.59375,152.11
7087.171,3600.000,-2342.605,7065.19727,3600.00000,-2371.25708,7087.26172,3600.00000,-2342.48608,158.79
4456.222,3628.170,-3777.675,4459.03955,3628.16992,-3741.28687,4456.21045,3628.16992,-3777.82446,152.97
4452.650,3628.170,-1644.054,4472.16650,3628.16992,-1675.21790,4452.57031,3628.16992,-1643.92712,149.58
2940.916,3431.057,-1938.488,2926.77515,3430.12915,-1972.50208,2940.97363,3430.12918,-1938.35022,143.66
4811.055,3383.943,-1126.050,4803.67871,3372.07910,-1089.73169,4811.08398,3372.07909,-1126.19653,141.61
