seam_x,seam_y,seam_z,interior,floor
900.0,-550.0,-26.342439651489258,180.0,35.0
-900.0,-550.0,-26.342439651489258,180.0,35.0
150.0223388671875,-1000.0,-2922.75390625,179.881,35.0
104.10372161865234,-1000.0,-2900.0,180.0,35.0
75.0,-550.0,0.0,180.0,35.0
-272.964599609375,-549.9999389648438,-4050.0,180.0,35.0
-301.2873840332031,-549.9999389648438,-4000.0,180.0,35.0
274.2317810058594,-549.9999389648438,-4050.0,180.0,35.0
300.435302734375,-549.9999389648438,-4000.0,180.0,35.0
-301.2873840332031,-549.9999389648438,-3300.0,180.0,35.0
-272.964599609375,-549.9999389648438,-3250.0,180.0,35.0
300.435302734375,-549.9999389648438,-3300.0,180.0,35.0
274.2317810058594,-549.9999389648438,-3250.0,180.0,35.0
274.2317810058594,-549.9999389648438,-4004.485595703125,99.714,45.785
274.2317810058594,-549.9999389648438,-3295.514404296875,99.714,45.785
-272.964599609375,-549.9999389648438,-4004.485595703125,98.999,46.028
-272.964599609375,-549.9999389648438,-3295.514404296875,98.999,46.028
149.99998474121094,-999.9999389648438,-2900.0,90.056,49.473
-150.0,-1000.0,-3150.0,90.021,49.489
150.0,-589.3108520507812,-3150.0,90.0,49.497
-75.0,-550.0,-3150.0,90.0,49.497
75.0,-550.0,-3150.0,90.0,49.497
-75.01175689697266,-550.0,0.0,90.0,49.497
-75.0,-550.0,-3125.0,90.0,49.497
75.0,-550.0,-3125.0,90.0,49.497
-75.0,-550.0,-25.0,90.0,49.497
75.0,-550.0,-25.0,90.0,49.497
-125.01175689697266,-550.0,50.0,90.0,49.497
74.98824310302734,-550.0,50.0,90.0,49.497
124.98824310302734,-550.0,50.0,90.0,49.497
-125.01175689697266,-550.0,200.0,90.0,49.497
124.98824310302734,-550.0,200.0,90.0,49.497
-470.0,-1000.0,-410.0,90.0,49.497
-470.0,-1000.0,-400.0,90.0,49.497
-400.0,-1000.0,-400.0,90.0,49.497
-400.0,-1000.0,-410.0,90.0,49.497
-75.0,-550.0,-3250.0,90.0,49.497
-300.0,-550.0,-4050.0,90.0,49.497
300.0,-550.0,-4050.0,90.0,49.497
-300.0,-550.0,-3250.0,90.0,49.497
300.0,-550.0,-3250.0,90.0,49.497
-75.0,-550.0,-3275.0,90.0,49.497
75.0,-550.0,-3275.0,90.0,49.497
-150.0,-1000.0,-2899.999755859375,90.0,49.498
