seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-1092.875,750.000,1546.829,-1081.27417,0.00000,1513.64709,-1092.92456,0.00000,1546.97083,169.35
-1092.875,0.000,1546.829,-1081.27417,0.00000,1513.64709,-1092.92456,0.00000,1546.97083,169.35
-480.091,-1.000,236.103,-446.12613,0.00000,245.27805,-480.23532,0.00000,236.06339,168.34
-895.182,0.000,1205.245,-904.30646,0.00000,1239.26086,-895.14355,0.00000,1205.09961,167.23
-44.240,915.000,-3743.050,-76.31247,886.13757,-3728.35522,-44.10392,886.13757,-3743.11206,165.59
-44.240,890.000,-3743.050,-76.31247,886.13757,-3728.35522,-44.10392,886.13757,-3743.11206,165.59
154.490,750.000,1874.121,125.07510,750.00000,1854.54199,154.61510,750.00000,1874.20398,164.20
1000.870,600.000,1431.731,965.51471,600.00000,1431.06677,1001.01971,600.00000,1431.73340,163.60
1000.870,752.644,1431.731,965.51471,600.00000,1431.06677,1001.01971,600.00000,1431.73340,163.60
-456.413,975.000,-3865.564,-422.91086,975.00000,-3877.28052,-456.55423,975.00000,-3865.51440,160.91
-456.413,950.000,-3865.564,-422.91086,975.00000,-3877.28052,-456.55423,975.00000,-3865.51440,160.91
235.268,800.000,-1393.776,220.73560,772.24701,-1426.17480,235.32922,772.24698,-1393.63879,177.41
235.268,773.129,-1393.776,220.73572,772.24701,-1426.17480,235.32942,772.24704,-1393.63855,177.41
-907.852,0.000,922.378,-921.34241,0.00000,889.37927,-907.79437,0.00000,922.51770,158.09
-159.781,1100.000,-4600.000,-193.94795,1100.18665,-4589.82080,-159.63683,1100.18662,-4600.04297,169.36
1061.950,600.000,1057.651,1026.30737,600.00000,1058.74609,1062.10229,600.00000,1057.64648,157.93
-412.722,-1.000,-425.790,-378.99124,0.00000,-437.94653,-412.86285,0.00000,-425.73956,154.94
-587.762,0.000,858.534,-586.62170,0.00000,822.61761,-587.76703,0.00000,858.68433,153.80
-900.000,650.000,-1600.000,-875.90173,650.00000,-1573.28784,-900.10040,650.00000,-1600.11133,161.21
-565.047,1025.000,-4062.976,-530.86749,1025.11951,-4074.48218,-565.18872,1025.11956,-4062.92773,159.56
-565.047,1000.000,-4062.976,-530.86749,1025.11951,-4074.48218,-565.18872,1025.11956,-4062.92773,159.56
632.458,559.947,2250.492,663.09442,559.94653,2269.52661,632.33240,559.94653,2250.41455,152.04
-487.574,1100.000,-4600.000,-456.61035,1100.33948,-4581.48535,-487.70358,1100.33943,-4600.07764,159.33
-258.763,-1.000,936.447,-228.79938,0.00000,916.33057,-258.88742,0.00000,936.53052,151.77
-179.086,-1.000,1282.701,-162.07349,0.00000,1314.54370,-179.15630,0.00000,1282.56848,151.61
733.905,559.947,1935.879,770.00659,559.94653,1937.96558,733.75519,559.94653,1935.87036,150.87
-113.585,-1.000,1067.201,-83.32607,0.00000,1047.35010,-113.71011,0.00000,1067.28296,150.55
-442.633,0.000,897.198,-442.22192,0.00000,860.58478,-442.63437,0.00000,897.34705,151.45
382.237,-0.000,-689.411,359.49969,-0.00001,-660.70142,382.33002,-0.00001,-689.52850,145.76
-600.000,1105.000,-4300.000,-563.55994,1105.00000,-4296.12012,-600.14923,1105.00000,-4300.01611,151.07
-600.000,1080.000,-4300.000,-563.55994,1105.00000,-4296.12012,-600.14923,1105.00000,-4300.01611,151.07
1065.788,559.947,1951.320,1029.41943,560.19342,1946.44360,1065.94080,560.19343,1951.34045,150.48
-288.029,650.000,-1674.558,-300.14124,650.00000,-1639.70898,-287.97971,650.00000,-1674.69971,143.13
889.677,559.947,2378.706,860.78821,559.94653,2355.68530,889.79376,559.94653,2378.79956,147.69
106.561,800.000,-3500.000,83.42106,800.00000,-3470.90918,106.65454,800.00000,-3500.11743,140.64
200.000,600.000,-3200.000,194.52391,730.00000,-3163.11719,200.02193,730.00000,-3200.14722,144.13
-200.000,600.000,-2200.000,-194.38132,730.00000,-2236.89575,-200.02267,730.00000,-2199.85132,143.81
-500.000,800.000,-3400.000,-462.76465,800.00000,-3400.65479,-500.30252,800.00000,-3399.99463,144.58
-385.730,0.000,1029.924,-348.27017,10.00000,1028.47632,-385.88010,10.00000,1029.93018,138.02
1000.000,620.000,-449.073,975.49005,-0.00001,-420.54691,1000.09772,-0.00001,-449.18661,141.18
1000.000,-0.000,-449.073,975.49005,-0.00001,-420.54691,1000.09772,-0.00001,-449.18661,141.18
-513.170,800.000,-1847.956,-482.64914,800.00000,-1825.94666,-513.29211,800.00000,-1848.04370,136.91
-513.170,650.000,-1847.956,-482.64914,800.00000,-1825.94666,-513.29211,800.00000,-1848.04370,136.91
1154.855,-0.000,-179.977,1117.83899,-0.00001,-173.18430,1155.00024,-0.00001,-180.00333,140.96
1154.855,685.000,-179.977,1117.83899,-0.00001,-173.18430,1155.00024,-0.00001,-180.00333,140.96
-1022.923,0.000,997.658,-1053.93396,0.00000,976.12128,-1022.80017,0.00000,997.74396,135.95
491.149,600.000,1494.244,474.41278,600.00000,1460.35840,491.21561,600.00000,1494.37866,135.67
635.685,800.000,-1949.109,604.45355,800.00000,-1926.99524,635.80774,800.00000,-1949.19531,135.86
-1382.280,1355.700,1000.000,-1357.21521,1355.70007,970.95813,-1382.37830,1355.70007,1000.11432,131.67
587.182,600.000,1487.329,600.95142,600.00000,1451.24695,587.12872,600.00000,1487.46899,129.99
-441.885,0.000,1195.088,-414.26169,10.00000,1222.57092,-441.99142,10.00000,1194.98291,127.85
-334.797,-1.000,1321.288,-344.52423,0.00000,1359.75745,-334.76059,0.00000,1321.14294,123.78
400.000,800.000,-2100.000,364.84241,800.00000,-2080.95020,400.13303,800.00000,-2100.07227,122.16
-1591.724,958.664,-215.873,-1551.58447,0.00004,-212.52121,-1591.89709,0.00004,-215.88788,133.28
-1591.724,0.000,-215.873,-1551.58447,0.00004,-212.52121,-1591.89709,0.00004,-215.88788,133.28
-50.910,750.000,2300.000,-73.66756,750.00000,2266.61694,-50.82549,750.00000,2300.12402,120.06
401.642,600.000,-2848.191,366.64221,730.00000,-2826.36377,401.76938,730.00000,-2848.26978,116.10
-1500.000,1355.700,182.172,-1465.00000,1355.70007,204.25702,-1500.12695,1355.70007,182.09216,115.50
500.000,600.000,-2800.000,464.57574,730.00000,-2777.90869,500.12894,730.00000,-2800.08057,116.10
-480.324,-1.000,-532.521,-462.93994,0.00000,-570.48444,-480.38657,0.00000,-532.38446,113.91
-73.533,-1.000,1186.626,-33.09084,0.00000,1197.14270,-73.67860,0.00000,1186.58875,113.77
-398.358,600.000,-2555.468,-363.35779,730.00000,-2578.34570,-398.48203,730.00000,-2555.38721,113.66
-517.131,-1.000,332.861,-492.88522,0.00000,367.42413,-517.21716,0.00000,332.73849,111.99
-500.000,600.000,-2600.000,-464.58148,730.00000,-2623.15112,-500.12558,730.00000,-2599.91772,113.66
128.246,773.129,-1669.263,103.89153,757.83606,-1634.15527,128.33301,757.83608,-1669.38855,111.96
-853.854,-1.000,1516.476,-838.82837,0.00000,1556.58093,-853.90668,0.00000,1516.33557,109.62
168.761,0.000,-1000.000,154.20876,0.00000,-959.38159,168.81134,0.00000,-1000.14124,108.42
168.761,620.000,-1000.000,154.20876,0.00000,-959.38159,168.81134,0.00000,-1000.14124,108.42
-285.811,-1.000,-525.010,-255.76784,0.00000,-493.81415,-285.91516,0.00000,-525.11768,107.83
-547.169,-1.000,473.256,-533.15704,0.00000,432.00867,-547.21747,0.00000,473.39774,106.92
400.000,800.000,-3400.000,364.73105,800.00000,-3374.61230,400.24637,800.00000,-3400.17749,109.13
-1800.000,1355.700,875.243,-1764.59900,1355.70007,848.87024,-1800.12268,1355.70007,875.33490,106.63
-643.999,-1.000,657.844,-658.02472,0.00000,615.56677,-643.95209,0.00000,657.98639,103.58
-962.424,-1.000,1283.176,-955.52679,0.00000,1238.81042,-962.44733,0.00000,1283.32446,102.44
-398.358,600.000,-3022.404,-363.35779,730.00000,-2994.27832,-398.47736,730.00000,-3022.49976,102.43
-1139.054,0.000,-1000.000,-1122.27246,0.00000,-958.27686,-1139.10974,0.00000,-1000.13922,103.82
-1139.054,620.000,-1000.000,-1122.27246,0.00000,-958.27686,-1139.10974,0.00000,-1000.13922,103.82
-843.437,-1.000,-77.135,-870.76788,0.00001,-41.38793,-843.34576,0.00001,-77.25448,102.12
401.642,600.000,-2379.603,366.64221,730.00000,-2408.08960,401.75912,730.00000,-2379.50806,101.72
-500.000,600.000,-3000.000,-464.61026,730.00000,-2971.56128,-500.11282,730.00000,-3000.09082,102.43
712.798,800.000,-1621.070,671.81622,799.99976,-1640.75708,712.93311,799.99978,-1621.00500,102.22
500.000,600.000,-2400.000,464.61221,730.00000,-2428.80225,500.11502,730.00000,-2399.90625,101.72
-352.307,-1.000,1436.984,-313.39661,0.00000,1412.87061,-352.43451,0.00000,1437.06348,99.74
1000.000,600.000,784.351,969.73743,-0.00001,749.63446,1000.09857,-0.00001,784.46399,100.40
1000.000,-0.000,784.351,969.73743,-0.00001,749.63446,1000.09857,-0.00001,784.46399,100.40
-1045.238,-1.000,669.590,-1062.53528,0.00000,712.35217,-1045.18213,0.00000,669.45050,98.71
-1055.674,0.000,1142.354,-1096.45068,0.00000,1163.96582,-1055.54114,0.00000,1142.28345,98.64
512.828,559.947,2645.455,516.60321,559.94653,2599.43213,512.81549,559.94653,2645.60425,100.04
-286.467,-1.000,859.324,-264.15771,0.00000,817.89954,-286.53790,0.00000,859.45654,96.13
-421.464,915.000,-3661.737,-376.55521,879.92078,-3647.28320,-421.60941,879.92078,-3661.78369,153.57
-421.464,890.000,-3661.737,-376.55521,879.92078,-3647.28320,-421.60941,879.92078,-3661.78369,153.57
-390.933,-1.000,-638.971,-371.14499,0.00000,-596.08441,-390.99567,0.00000,-639.10687,95.64
-622.107,-1.000,1348.893,-641.97949,0.00000,1305.58582,-622.04407,0.00000,1349.02917,94.54
-729.030,-1.000,786.616,-776.09747,0.00000,794.37775,-728.88202,0.00000,786.59131,94.40
-1454.380,759.720,1381.372,-1409.96558,0.00000,1363.20801,-1454.52429,0.00000,1381.43079,93.67
-1454.380,0.000,1381.372,-1409.96558,0.00000,1363.20801,-1454.52429,0.00000,1381.43079,93.67
-1454.380,1346.981,1381.372,-1409.96545,0.00000,1363.20801,-1454.52429,0.00000,1381.43079,93.67
-978.824,-1.000,782.786,-1026.89722,0.00000,784.45160,-978.67432,0.00000,782.78107,93.38
-258.522,-1.000,-822.004,-287.06570,0.00000,-860.85809,-258.43307,0.00000,-821.88312,93.10
-986.947,-1.000,-41.525,-1014.94031,0.00002,-81.21577,-986.86017,0.00002,-41.40218,92.21
-719.528,-1.000,-742.019,-762.20953,0.00000,-718.72345,-719.39624,0.00000,-742.09088,92.08
-754.680,-1.000,1313.781,-764.92035,0.00000,1266.13354,-754.64819,0.00000,1313.92712,91.81
-714.704,-1.000,797.742,-708.84039,0.00000,846.61029,-714.72174,0.00000,797.59265,90.65
-448.170,-1.000,40.919,-407.92218,0.00000,11.67045,-448.29175,0.00000,41.00723,89.41
-1077.707,-1.000,1392.357,-1088.37817,0.00000,1441.11206,-1077.67493,0.00000,1392.21008,89.06
-1097.460,-1.000,1360.968,-1146.46729,0.00000,1348.80774,-1097.31482,0.00000,1361.00427,87.76
370.599,559.947,2504.845,421.10547,559.94653,2505.06812,370.44928,559.94653,2504.84473,88.84
-727.357,-1.000,1330.831,-677.91626,0.00000,1320.42920,-727.50391,0.00000,1330.86230,87.70
-234.031,-1.000,-818.932,-193.18002,0.00000,-849.08331,-234.15137,0.00000,-818.84338,87.16
-633.760,-1.000,1376.863,-680.22455,0.00000,1397.38000,-633.62280,0.00000,1376.80225,87.11
-711.063,-1.000,-772.883,-735.04346,0.00000,-817.77435,-710.99231,0.00000,-772.75079,86.89
-380.811,-1.000,-662.756,-333.75232,0.00000,-683.95868,-380.94812,0.00000,-662.69482,85.39
-937.615,-1.000,-464.648,-980.68024,0.00001,-493.64011,-937.49103,0.00001,-464.56470,84.78
-369.764,-1.000,-89.869,-330.13834,0.00000,-55.92177,-369.87842,0.00000,-89.96673,84.25
-959.945,-1.000,761.318,-960.24243,0.00000,708.65594,-959.94409,0.00000,761.46796,83.30
-943.004,-1.000,1304.459,-889.40247,0.00000,1311.27466,-943.15259,0.00000,1304.43982,80.75
-1061.489,-1.000,638.147,-1111.58325,0.00000,617.45245,-1061.35046,0.00000,638.20428,80.44
-357.995,-1.000,1475.776,-329.56891,0.00000,1523.15503,-358.07257,0.00000,1475.64685,78.61
-1061.026,-1.000,342.799,-1103.56738,0.00000,378.58255,-1060.91113,0.00000,342.70282,78.04
-531.174,-1.000,496.358,-475.92282,0.00000,514.67279,-531.31641,0.00000,496.31052,73.92
-312.881,-1.000,-521.284,-355.90500,0.00000,-480.03387,-312.77289,0.00000,-521.38824,71.92
-612.527,-1.000,669.209,-554.80450,0.00000,652.84229,-612.67151,0.00000,669.25031,71.37
-884.822,-1.000,1508.380,-941.25482,0.00000,1529.80188,-884.68213,0.00000,1508.32629,70.88
