seam_x,seam_y,seam_z,interior,floor
401.6422119140625,600.0,-2300.0,179.529,35.0
-1139.0538330078125,625.4545288085938,-1054.54541015625,180.0,35.0
-794.4401245117188,600.0,-967.8699340820312,180.0,35.0
-878.7816772460938,750.0,1655.222900390625,180.0,35.0
-360.0,750.0,1667.1058349609375,180.0,35.0
1023.5243530273438,600.0,827.4630737304688,180.0,35.0
-420.0,-10.0,1602.1544189453125,180.0,35.0
-818.7816772460938,-10.0,1602.1544189453125,180.0,35.0
401.6422119140625,600.0,-2912.5,180.0,35.0
-398.3577880859375,600.0,-2468.841796875,180.0,35.0
-100.0,1000.0,-4100.0,179.553,35.0
-100.0,1080.0,-4300.0,168.73,35.17
-398.3577880859375,600.0,-3100.0,161.283,35.472
-200.0,1100.0,-4700.0,158.09,35.65
-421.4641418457031,890.0,-3661.7373046875,153.568,35.952
-1139.0538330078125,650.0,-1300.0,141.451,37.078
-1141.4090576171875,750.0,2137.259521484375,116.84,41.084
401.6422119140625,600.0,-3100.0,116.378,41.187
-1800.0,1355.7000732421875,325.243408203125,115.497,41.385
-2200.0,1355.7000732421875,512.7269287109375,90.0,49.497
-2200.0,1355.7000732421875,687.7599487304688,90.0,49.497
-200.0,1100.0,-5100.0,90.0,49.497
-400.0,1100.0,-5100.0,90.0,49.497
-1800.0,1355.7000732421875,512.7269287109375,90.0,49.497
-1800.0,1355.7000732421875,687.7599487304688,90.0,49.497
-238.2217254638672,620.0,-900.0,90.0,49.497
-734.4401245117188,620.0,-900.0,90.0,49.497
-818.7816772460938,750.0,1600.0,90.0,49.497
-420.0,750.0,1600.0,90.0,49.497
-818.7816772460938,-10.0,1578.7330322265625,70.483,60.656
-420.0,-10.0,1578.7330322265625,70.483,60.656
