seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
451.001,-0.041,2716.595,446.45853,-0.02763,2681.89136,451.02063,-0.02763,2716.74390,179.92
-1289.999,-0.000,3904.756,-1330.41357,0.00000,3904.75610,-1289.84912,0.00000,3904.75610,120.00
-90.000,0.000,3211.940,-69.79248,-0.00000,3176.93970,-90.07471,-0.00000,3212.06958,120.00
310.000,0.000,3904.760,350.41409,0.01111,3904.76001,309.84933,0.01111,3904.76001,120.00
-29.706,0.000,3904.760,-70.62006,-0.00000,3904.76001,-29.55558,-0.00000,3904.76001,120.00
-950.294,-0.000,3904.760,-909.37952,-0.00000,3904.75952,-950.44403,-0.00000,3904.75952,120.00
-259.852,0.000,3506.133,-280.30978,-0.00000,3541.56567,-259.77747,-0.00000,3506.00269,120.00
2218.126,387.690,3704.688,2183.12769,0.02539,3669.68774,2218.23242,0.02539,3704.79370,90.00
2218.166,0.028,3704.691,2183.16724,0.02539,3669.69067,2218.27197,0.02539,3704.79663,90.00
2218.134,499.990,3704.688,2183.13501,0.02539,3669.68774,2218.23975,0.02539,3704.79370,90.00
4199.957,16000.000,2400.163,4164.95654,0.00000,2365.16309,4200.06250,0.00000,2400.26880,90.00
4199.957,17000.000,2800.163,4164.95654,0.00000,2765.16309,4200.06250,0.00000,2800.26880,90.00
4199.957,18000.000,3200.163,4164.95654,0.00000,3165.16309,4200.06250,0.00000,3200.26880,90.00
-3000.000,-600.000,-3200.000,-3034.99976,-1000.00000,-3235.00000,-2999.89380,-1000.00000,-3199.89404,90.00
-3000.000,-575.000,-3000.000,-3035.00000,-1000.00000,-3034.99976,-2999.89404,-1000.00000,-2999.89380,90.00
-3000.000,-550.000,-2800.000,-3035.00000,-1000.00000,-2834.99976,-2999.89404,-1000.00000,-2799.89380,90.00
-3000.000,-475.000,-2200.000,-3035.00000,-1000.00000,-2234.99976,-2999.89404,-1000.00000,-2199.89380,90.00
-3000.000,-500.000,-2400.000,-3035.00000,-1000.00000,-2435.00000,-2999.89404,-1000.00000,-2399.89404,90.00
-2000.000,-600.000,-3200.000,-2035.00000,-600.00000,-3235.00000,-1999.89392,-600.00000,-3199.89404,90.00
-2000.000,-550.000,-2800.000,-2035.00000,-550.00000,-2834.99976,-1999.89392,-550.00000,-2799.89380,90.00
-2000.000,-575.000,-3000.000,-2035.00000,-575.00000,-3035.00000,-1999.89392,-575.00000,-2999.89404,90.00
-3000.000,-400.000,-1600.000,-3035.00000,-1000.00000,-1634.99988,-2999.89404,-1000.00000,-1599.89380,90.00
-3000.000,-450.000,-2000.000,-3035.00000,-1000.00000,-2034.99976,-2999.89404,-1000.00000,-1999.89368,90.00
-2000.000,-525.000,-2600.000,-2035.00000,-525.00000,-2634.99976,-1999.89392,-525.00000,-2599.89380,90.00
-2000.000,-500.000,-2400.000,-2035.00000,-500.00000,-2434.99976,-1999.89392,-500.00000,-2399.89380,90.00
-2000.000,-475.000,-2200.000,-2035.00000,-475.00000,-2235.00000,-1999.89392,-475.00000,-2199.89404,90.00
-3000.000,-350.000,-1200.000,-3035.00000,-1000.00000,-1234.99988,-2999.89404,-1000.00000,-1199.89380,90.00
-3000.000,-300.000,-800.000,-3035.00000,-1000.00000,-834.99994,-2999.89404,-1000.00000,-799.89386,90.00
-3000.000,-250.000,-400.000,-3034.99976,-1000.00000,-434.99982,-2999.89380,-1000.00000,-399.89374,90.00
-3000.000,-200.000,0.000,-3035.00000,-174.99998,-34.99995,-2999.89404,-174.99998,0.10611,90.00
-3000.000,-175.000,200.000,-3035.00000,-174.99998,165.00009,-2999.89404,-174.99999,200.10616,90.00
-1000.000,0.000,-3400.000,-1035.00000,-174.99997,-3435.00000,-999.89392,-174.99997,-3399.89404,90.00
-3000.000,-275.000,-600.000,-3035.00000,-1000.00000,-634.99982,-2999.89404,-1000.00000,-599.89374,90.00
-3000.000,-425.000,-1800.000,-3035.00000,-1000.00000,-1834.99988,-2999.89380,-1000.00000,-1799.89392,90.00
-2000.000,-450.000,-2000.000,-2035.00000,-450.00000,-2035.00000,-1999.89392,-450.00000,-1999.89392,90.00
-2000.000,-425.000,-1800.000,-2035.00000,-425.00000,-1835.00000,-1999.89392,-425.00000,-1799.89392,90.00
-2000.000,-400.000,-1600.000,-2035.00000,-400.00000,-1634.99976,-1999.89392,-400.00000,-1599.89368,90.00
-2000.000,-375.000,-1400.000,-2035.00000,-375.00000,-1434.99988,-1999.89392,-375.00000,-1399.89380,90.00
-2000.000,-350.000,-1200.000,-2035.00000,-350.00000,-1234.99988,-1999.89392,-350.00000,-1199.89380,90.00
-2000.000,-325.000,-1000.000,-2035.00000,-325.00000,-1034.99976,-1999.89392,-325.00000,-999.89374,90.00
-2000.000,-300.000,-800.000,-2035.00000,-300.00000,-834.99982,-1999.89392,-300.00000,-799.89374,90.00
-2000.000,-275.000,-600.000,-2035.00000,-275.00000,-634.99982,-1999.89392,-275.00000,-599.89374,90.00
-2000.000,-250.000,-400.000,-2035.00000,-250.00000,-434.99982,-1999.89392,-250.00000,-399.89374,90.00
-2000.000,-225.000,-200.000,-2035.00000,-225.00000,-234.99989,-1999.89392,-225.00000,-199.89383,90.00
-2000.000,-200.000,0.000,-2035.00000,-175.00000,-34.99990,-1999.89392,-175.00000,0.10616,90.00
-2000.000,-175.000,200.000,-2035.00000,-175.00000,165.00009,-1999.89392,-175.00000,200.10616,90.00
-2000.000,-150.000,400.000,-2035.00000,-150.00000,365.00006,-1999.89392,-150.00000,400.10614,90.00
-3000.000,-125.000,600.000,-3035.00000,-174.99998,565.00006,-2999.89380,-174.99999,600.10608,90.00
-2000.000,-125.000,600.000,-2035.00012,-125.00000,565.00006,-1999.89404,-125.00000,600.10614,90.00
-2000.000,-100.000,800.000,-2035.00000,-100.00000,765.00006,-1999.89392,-100.00000,800.10614,90.00
-2000.000,-75.000,1000.000,-2035.00000,-75.00000,965.00006,-1999.89392,-75.00000,1000.10614,90.00
1400.000,0.000,0.000,1365.00000,-0.00000,-35.00000,1400.10608,-0.00000,0.10607,90.00
0.000,0.000,0.000,35.00000,0.00000,-35.00000,-0.10607,0.00000,0.10607,90.00
-1000.000,0.000,0.000,-1035.00000,-175.00002,-35.00000,-999.89392,-175.00001,0.10607,90.00
-1000.000,75.000,400.000,-1035.00000,-129.37500,365.00000,-999.89392,-129.37500,400.10608,90.00
1400.000,12.500,50.000,1365.00000,-0.00000,15.00000,1400.10608,-0.00000,50.10607,90.00
1400.000,75.000,300.000,1365.00000,-0.00000,265.00000,1400.10608,-0.00000,300.10608,90.00
1600.000,12.500,50.000,1565.00000,12.50000,15.00000,1600.10608,12.50000,50.10607,90.00
1600.000,12.500,0.000,1565.00000,0.00000,-35.00000,1600.10608,0.00000,0.10607,90.00
1600.000,25.000,50.000,1565.00000,12.50000,15.00000,1600.10608,12.50000,50.10607,90.00
2000.000,0.000,0.000,2035.00000,0.00000,-35.00000,1999.89392,0.00000,0.10607,90.00
1800.000,18.750,0.000,1765.00000,0.00000,-35.00000,1800.10608,0.00000,0.10607,90.00
-1000.000,250.000,800.000,-1035.00000,-79.37500,765.00000,-999.89392,-79.37500,800.10608,90.00
0.000,375.000,1000.000,35.00000,0.00000,965.00000,-0.10607,0.00000,1000.10608,90.00
-1000.000,375.000,1000.000,-1035.00000,-54.37500,965.00000,-999.89392,-54.37500,1000.10608,90.00
4599.957,2000.000,-3199.837,4634.95654,0.00000,-3234.83691,4599.85010,0.00000,-3199.73120,90.00
4599.957,3000.000,-2799.837,4634.95654,0.00000,-2834.83691,4599.85010,0.00000,-2799.73120,90.00
4599.957,4000.000,-2399.837,4634.95654,0.00000,-2434.83691,4599.85010,0.00000,-2399.73120,90.00
2000.000,300.000,600.000,2035.00000,0.00000,565.00000,1999.89392,0.00000,600.10608,90.00
2000.000,475.000,950.000,2035.00000,0.00000,915.00000,1999.89392,0.00000,950.10608,90.00
-2000.000,-50.000,1200.000,-2035.00000,-50.00000,1165.00012,-1999.89392,-50.00000,1200.10620,90.00
-2000.000,-25.000,1400.000,-2035.00000,-25.00000,1365.00012,-1999.89392,-25.00000,1400.10620,90.00
-1000.000,525.000,1200.000,-1035.00000,-29.37500,1165.00000,-999.89392,-29.37500,1200.10608,90.00
0.000,525.000,1200.000,35.00000,0.00000,1165.00000,-0.10607,0.00000,1200.10608,90.00
-1000.000,700.000,1400.000,-1035.00000,-4.37500,1365.00000,-999.89392,-4.37500,1400.10608,90.00
-1000.000,659.576,2000.000,-1035.00000,0.00000,2035.00000,-999.89392,0.00000,1999.89392,90.00
0.000,659.576,2000.000,35.00000,-0.00110,2035.00000,-0.10607,-0.00110,1999.89392,90.00
1600.000,250.000,1400.000,1565.00000,0.00000,1435.00000,1600.10608,0.00000,1399.89392,90.00
4599.957,18000.000,3200.163,4634.95654,0.00000,3165.16309,4599.85010,0.00000,3200.26880,90.00
4599.957,19000.002,3600.163,4634.95703,0.00000,3565.16309,4599.85059,0.00000,3600.26880,90.00
2000.000,175.000,350.000,2035.00000,0.00000,315.00000,1999.89380,0.00000,350.10605,90.00
4599.957,5000.000,-1999.837,4634.95654,0.00000,-2034.83704,4599.85010,0.00000,-1999.73108,90.00
4599.957,6000.000,-1599.837,4634.95654,0.00000,-1634.83691,4599.85010,0.00000,-1599.73096,90.00
4599.957,8000.000,-799.837,4634.95654,0.00000,-834.83673,4599.85010,0.00000,-799.73071,90.00
4599.957,7000.000,-1199.837,4634.95654,0.00000,-1234.83691,4599.85010,0.00000,-1199.73096,90.00
4199.957,9000.001,-399.837,4164.95654,0.00000,-434.83673,4200.06299,0.00000,-399.73068,90.00
4599.957,9000.001,-399.837,4634.95654,0.00000,-434.83673,4599.85010,0.00000,-399.73068,90.00
4199.957,11000.000,400.163,4164.95654,0.00000,365.16327,4200.06299,0.00000,400.26932,90.00
4599.957,13000.000,1200.163,4634.95654,0.00000,1165.16321,4599.85010,0.00000,1200.26917,90.00
4199.957,14000.000,1600.163,4164.95654,0.00000,1565.16296,4200.06299,0.00000,1600.26892,90.00
4599.957,14000.000,1600.163,4634.95654,0.00000,1565.16296,4599.85010,0.00000,1600.26892,90.00
4199.957,15000.000,2000.163,4164.95654,0.00000,1965.16296,4200.06299,0.00000,2000.26892,90.00
4599.957,15000.000,2000.163,4634.95654,0.00000,1965.16296,4599.85010,0.00000,2000.26892,90.00
-3000.000,-525.000,-2600.000,-3035.35352,-1000.00000,-2635.35327,-2999.89380,-1000.00000,-2599.89404,90.00
1400.000,175.000,700.000,1364.64648,0.00000,664.64642,1400.10608,0.00000,700.10602,90.00
-3000.000,-325.000,-1000.000,-3035.35352,-1000.00000,-1035.35339,-2999.89380,-1000.00000,-999.89380,90.00
-3000.000,-225.000,-200.000,-3035.35352,-1000.00000,-235.35345,-2999.89380,-1000.00000,-199.89386,90.00
-1000.000,0.000,-2800.000,-1035.35352,-174.99997,-2764.64648,-999.89398,-174.99998,-2800.10620,90.00
-1000.000,150.000,600.000,-1035.35352,-104.41920,564.64642,-999.89392,-104.41919,600.10608,90.00
2000.000,350.000,700.000,2035.35352,0.00000,664.64642,1999.89380,0.00000,700.10602,90.00
0.000,700.000,1400.000,35.35355,0.00000,1364.64648,-0.10607,0.00000,1400.10608,90.00
