seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-75.000,-550.000,-3125.000,-40.00000,-550.00000,-3090.00000,-75.10607,-550.00000,-3125.10571,90.00
150.000,-1000.000,-2900.000,185.00000,-999.99994,-2865.00000,149.89392,-999.99994,-2900.10596,90.00
150.000,-571.905,-2900.000,185.00002,-999.99994,-2865.00000,149.89394,-999.99994,-2900.10596,90.00
-75.000,-550.000,-3150.000,-40.00000,-550.00000,-3115.00000,-75.10606,-550.00000,-3150.10596,90.00
75.000,-550.000,-3150.000,40.00000,-550.00000,-3115.00000,75.10606,-550.00000,-3150.10596,90.00
-75.000,-100.000,1813.420,-40.00000,-99.99996,1848.42041,-75.10607,-99.99996,1813.31445,90.00
-75.000,-100.000,325.000,-40.00000,-100.00000,360.00000,-75.10606,-100.00000,324.89392,90.00
75.000,-100.000,325.000,39.99996,-100.00000,360.00000,75.10606,-100.00000,324.89392,90.00
-150.000,-150.000,700.000,-115.00000,-100.00000,665.00000,-150.10606,-100.00000,700.10608,90.00
-150.000,-150.000,1300.000,-115.00002,-125.00000,1265.00000,-150.10608,-125.00000,1300.10608,90.00
150.000,-150.000,1300.000,115.00002,-125.00000,1265.00000,150.10608,-125.00000,1300.10608,90.00
-216.377,-100.000,2465.020,-251.37680,-17.78017,2430.02026,-216.27077,-17.78017,2465.12646,90.00
75.000,-550.000,-3250.000,40.00000,-549.99994,-3285.00000,75.10606,-549.99994,-3249.89380,90.00
-216.377,-100.000,2544.092,-251.37686,-17.78017,2579.09180,-216.27080,-17.78017,2543.98560,90.00
