seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
1037.216,700.000,77.385,1040.50269,700.00000,42.53916,1037.20239,700.00000,77.53409,179.60
-29.438,698.225,252.250,-40.34875,700.00000,286.17294,-29.39185,700.00000,252.10698,158.34
-282.368,698.225,221.194,-282.76328,700.00000,256.90881,-282.36627,700.00000,221.04385,167.27
263.679,698.225,384.699,273.10547,700.00000,419.23587,263.63977,700.00000,384.55423,155.72
741.602,700.000,-966.138,777.90161,700.00000,-976.98810,741.46503,700.00000,-966.09668,138.84
741.602,1125.640,-966.138,777.90161,700.00000,-976.98810,741.46503,700.00000,-966.09668,138.84
1010.876,700.000,-684.118,1025.33264,700.00000,-719.26086,1010.81909,700.00000,-683.97876,137.92
1010.876,1125.640,-684.118,1025.33264,700.00000,-719.26086,1010.81909,700.00000,-683.97876,137.92
769.639,700.000,-1373.236,804.07703,700.00000,-1357.09241,769.50275,700.00000,-1373.29980,137.65
1401.556,700.000,-675.125,1387.81128,700.00000,-710.91309,1401.60803,700.00000,-674.98718,135.34
-460.619,700.000,1093.115,-445.90878,0.00000,1057.65295,-460.67691,0.00000,1093.25342,134.94
-460.619,0.000,1093.115,-445.90878,0.00000,1057.65295,-460.67691,0.00000,1093.25342,134.94
-1112.033,0.000,-440.334,-1076.82495,492.45593,-424.93341,-1112.17212,492.45594,-440.39398,134.67
-1112.033,494.291,-440.334,-1076.82495,492.45593,-424.93341,-1112.17212,492.45594,-440.39398,134.67
460.619,0.000,1093.115,445.43881,0.00000,1057.65515,460.67841,0.00000,1093.25256,133.65
460.619,700.000,1093.115,445.43875,0.00000,1057.65515,460.67841,0.00000,1093.25256,133.65
653.290,700.000,182.700,688.52240,700.00000,203.85835,653.16150,700.00000,182.62305,116.78
-935.448,698.225,332.583,-954.11859,700.00000,374.23126,-935.38641,700.00000,332.44495,100.14
797.139,700.000,-893.034,844.34320,989.93793,-888.75690,796.98956,989.93792,-893.04791,95.20
1654.991,700.000,-1644.650,1652.30896,700.00000,-1596.29846,1654.99963,700.00000,-1644.80017,92.56
1066.729,700.000,1122.993,1065.58105,700.00000,1074.13000,1066.73242,700.00000,1123.14331,92.69
2013.787,700.000,-1951.555,2011.07739,700.00018,-1902.70410,2013.79590,700.00021,-1951.70703,92.56
-797.093,700.000,755.999,-796.53436,700.00000,707.01416,-797.09497,700.00000,756.16254,91.20
921.894,700.000,-768.268,922.31622,700.00000,-817.55371,921.89294,700.00000,-768.11823,94.18
1167.527,694.567,-1361.266,1118.11646,700.00000,-1364.18945,1167.67664,700.00000,-1361.25684,90.00
1502.096,694.567,-1174.783,1551.50696,700.00000,-1171.85925,1501.94678,700.00000,-1174.79187,90.00
-911.162,-2.421,-504.920,-861.66943,0.00000,-504.23572,-911.31171,0.00000,-504.92181,90.00
-912.990,699.105,369.673,-865.92371,700.00000,384.99414,-913.13263,700.00000,369.62622,90.00
819.654,-4.865,-575.823,818.35846,0.00019,-526.34210,819.65808,0.00019,-575.97247,90.00
819.654,95.135,-575.823,818.35846,0.00019,-526.34210,819.65808,0.00019,-575.97247,90.00
750.819,295.135,-648.360,749.52301,0.00036,-598.87958,750.82263,0.00036,-648.51001,90.00
819.654,195.135,-575.823,818.35846,0.00019,-526.34210,819.65808,0.00019,-575.97247,90.00
451.117,694.583,-996.768,475.86539,700.00000,-953.90186,451.04166,700.00000,-996.89777,90.00
1083.291,0.000,124.628,1048.29077,0.00000,89.62806,1083.39685,0.00000,124.73412,90.00
1261.948,694.567,-1445.137,1264.87219,700.00000,-1494.54810,1261.93958,700.00000,-1444.98730,90.00
552.028,-4.865,-857.842,502.54733,0.00045,-859.13733,552.17780,0.00045,-857.83771,90.00
1905.808,694.836,-1266.033,1856.31799,700.00000,-1266.88513,1905.95850,700.00000,-1266.03015,90.00
1407.675,694.567,-1090.912,1404.75122,700.00000,-1041.50061,1407.68408,700.00000,-1091.06763,90.00
-1292.503,700.000,1603.774,-1291.88586,700.00000,1553.95508,-1292.50500,700.00000,1603.91553,90.41
-859.001,700.000,1183.869,-908.84845,700.00000,1183.42517,-858.85077,700.00000,1183.87000,89.19
2018.016,700.000,-1256.805,1968.14136,811.97424,-1258.35315,2018.16541,811.97424,-1256.80042,90.23
613.148,-4.865,-793.435,563.16742,0.00045,-794.74365,613.28644,0.00045,-793.43127,90.00
613.148,195.135,-793.435,563.16742,0.00045,-794.74365,613.28644,0.00045,-793.43127,90.00
613.148,295.135,-793.435,563.16742,0.00045,-794.74365,613.28644,0.00045,-793.43127,90.00
-1046.978,700.000,995.191,-1096.97449,700.00000,994.59808,-1046.82971,700.00000,995.19281,88.85
-903.048,700.000,649.822,-853.03442,700.00000,650.39856,-903.19800,700.00000,649.82007,88.82
1370.996,700.000,-1948.063,1369.59912,938.00592,-1897.82312,1371.00024,938.00592,-1948.21326,89.40
834.885,700.000,-688.761,784.24854,700.00000,-689.90216,835.03998,700.00000,-688.75751,87.42
