seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-21606.475,300.000,28169.324,-21589.28320,300.00000,28138.78711,-21606.55664,300.00000,28169.46875,174.22
-21765.197,384.000,28344.158,-21747.73633,385.00845,28313.60547,-21765.27148,385.00847,28344.28906,168.07
-22177.873,456.000,28454.512,-22210.04297,456.00003,28440.03516,-22177.75391,456.00003,28454.56445,165.65
-20601.318,-1000.000,26338.012,-20622.34375,0.00000,26366.34180,-20601.23047,0.00000,26337.89258,165.56
-20601.318,0.000,26338.012,-20622.34375,0.00000,26366.34180,-20601.23047,0.00000,26337.89258,165.56
-21416.887,300.000,28906.770,-21394.77344,300.00000,28934.31250,-21417.17188,300.00000,28906.41406,164.53
-21599.729,384.000,28463.107,-21573.56445,384.00000,28438.81055,-21599.83789,384.00000,28463.20898,157.19
-21910.008,300.000,28018.068,-21900.72461,300.00000,27983.58984,-21910.05469,300.00000,28018.24805,157.16
-21388.852,300.000,28306.729,-21363.97461,300.00000,28281.04297,-21388.96094,300.00000,28306.84180,156.37
-21887.422,300.000,29045.838,-21874.99023,300.00000,29079.39062,-21887.47266,300.00000,29045.69531,156.00
-21887.422,456.000,29045.838,-21874.99023,300.00000,29079.39062,-21887.47266,300.00000,29045.69531,156.00
-21251.551,300.000,28509.529,-21216.99609,300.00000,28498.13867,-21251.69531,300.00000,28509.57812,148.29
-21544.414,384.000,28776.773,-21512.83594,384.00000,28795.33594,-21544.52539,384.00000,28776.70703,145.69
-21913.104,420.000,28278.977,-21909.80273,418.56500,28242.18359,-21913.11523,418.56501,28279.12305,142.69
-21700.170,300.000,29077.127,-21693.19922,300.00000,29113.77734,-21700.19727,300.00000,29076.99023,139.49
-21506.346,384.000,28615.643,-21468.96875,384.00000,28609.66211,-21506.45312,384.00000,28615.65820,135.23
-22097.844,420.000,28323.424,-22120.15039,422.80396,28292.79102,-22097.74609,422.80395,28323.55664,134.93
-21242.643,300.000,28723.182,-21206.61133,300.00000,28735.27734,-21242.89062,300.00000,28723.09961,134.11
-20069.656,0.000,26586.834,-20044.01562,0.00000,26630.62109,-20069.74023,0.00000,26586.69336,87.22
-20069.656,-1000.000,26586.834,-20044.01562,0.00000,26630.62109,-20069.74023,0.00000,26586.69336,87.22
-20101.416,-1000.000,25797.080,-20075.42773,0.00000,25752.46094,-20101.49414,0.00000,25797.21289,85.35
-20101.416,0.000,25797.080,-20075.42773,0.00000,25752.46094,-20101.49414,0.00000,25797.21289,85.35
