seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-684.539,300.000,722.850,-649.90375,300.00000,716.38306,-684.68640,300.00000,722.87744,166.79
-607.922,200.000,-1267.258,-595.82111,200.00000,-1300.40857,-607.97284,200.00000,-1267.11877,165.30
-1044.621,200.000,-2383.478,-1009.34442,200.00000,-2382.68066,-1044.77698,200.00000,-2383.48120,165.40
372.310,200.000,-3427.227,357.79892,200.00000,-3394.94531,372.37128,200.00000,-3427.36353,162.91
-148.720,400.000,2021.161,-113.22005,400.00000,2022.58667,-148.87186,400.00000,2021.15466,175.40
225.671,200.000,-2957.009,236.10364,200.00000,-2991.04761,225.62743,200.00000,-2956.86572,171.29
122.147,350.000,-2669.584,130.80028,350.00000,-2704.14453,122.11104,350.00000,-2669.43921,158.47
568.821,300.000,1322.024,544.49310,300.00000,1295.30566,568.92206,300.00000,1322.13464,158.34
348.571,350.000,-2348.774,384.74588,350.00000,-2350.64600,348.41821,350.00000,-2348.76636,150.13
-645.389,200.000,-2382.583,-681.26410,200.00000,-2387.81177,-645.24164,200.00000,-2382.56152,156.43
-336.298,350.000,-2381.673,-371.92551,350.00000,-2388.50977,-336.15137,350.00000,-2381.64478,149.50
578.156,200.000,-1974.790,608.63660,200.00000,-1954.68311,578.03046,200.00000,-1974.87256,152.72
-230.436,350.000,-2597.653,-257.26340,350.00000,-2622.44385,-230.32628,350.00000,-2597.55103,146.74
-88.483,350.000,-2681.701,-97.12995,350.00000,-2717.25659,-88.44775,350.00000,-2681.55493,146.08
-481.032,200.000,-1670.670,-502.46548,200.00000,-1640.88806,-480.94409,200.00000,-1670.79211,145.05
120.561,250.000,-2454.506,90.78786,250.00000,-2432.87451,120.68197,250.00000,-2454.59399,144.00
316.516,350.000,-2197.586,348.25314,350.00000,-2178.52661,316.38663,350.00000,-2197.66431,141.97
-50.480,250.000,-2219.088,-38.95356,250.00000,-2254.56396,-50.52652,250.00000,-2218.94604,144.00
120.561,250.000,-2274.663,90.38334,250.00000,-2296.58789,120.68195,250.00000,-2274.57471,144.00
-156.189,250.000,-2364.584,-118.88813,250.00000,-2364.58447,-156.33929,250.00000,-2364.58447,144.00
149.778,250.000,-2364.584,112.47672,250.00000,-2364.58447,149.92789,250.00000,-2364.58447,144.00
-126.972,250.000,-2454.506,-96.79475,250.00000,-2432.58081,-127.09356,250.00000,-2454.59424,144.00
44.069,250.000,-2219.088,32.54214,250.00000,-2254.56396,44.11541,250.00000,-2218.94507,144.00
-810.399,300.000,315.724,-773.07465,300.00000,316.34827,-810.55139,300.00000,315.72098,143.72
-323.652,350.000,-2216.760,-357.53830,350.00000,-2200.89282,-323.51572,350.00000,-2216.82422,138.59
-108.776,350.000,-2007.791,-143.77634,350.00000,-1993.00708,-108.63778,350.00000,-2007.84973,134.20
-657.536,300.000,1111.573,-623.13635,300.00000,1095.01257,-657.66956,300.00000,1111.63794,136.53
266.547,350.000,-2602.802,295.14572,350.00000,-2628.13696,266.43500,350.00000,-2602.70215,132.72
-115.575,400.000,1609.210,-79.31786,396.46140,1594.98523,-115.71499,396.46141,1609.26428,127.96
90.295,350.000,-2007.791,125.74765,350.00000,-1991.25757,90.15862,350.00000,-2007.85461,130.00
1290.023,200.000,-2007.965,1253.80615,200.00000,-2022.92590,1290.14746,200.00000,-2007.91370,129.57
-190.552,200.000,-1050.873,-158.19328,200.00000,-1073.52136,-190.67442,200.00000,-1050.78723,124.79
-201.271,200.000,-3124.289,-205.78607,200.00000,-3163.64893,-201.25388,200.00000,-3124.14014,124.12
-1118.557,200.000,-3086.321,-1081.36743,200.00000,-3071.58081,-1118.69617,200.00000,-3086.37671,124.75
-670.978,200.000,-2801.665,-707.11957,200.00000,-2819.30078,-670.84271,200.00000,-2801.59888,120.99
931.766,300.000,837.766,890.78412,300.00000,833.37079,931.91559,300.00000,837.78210,118.54
437.815,200.000,-1584.404,463.32251,200.00000,-1551.89783,437.72342,200.00000,-1584.52124,115.79
99.982,400.000,1609.210,62.59138,395.48706,1591.06860,100.11669,395.48706,1609.27502,114.74
707.498,200.000,-2848.574,737.74762,200.00000,-2877.64209,707.38928,200.00000,-2848.47046,113.08
-652.359,300.000,-140.766,-627.34564,300.00000,-106.03175,-652.44611,300.00000,-140.88730,109.71
-254.842,200.000,-3830.592,-251.75894,200.00000,-3786.51831,-254.85294,200.00000,-3830.74268,106.50
170.182,200.000,-1050.873,137.44572,200.00000,-1085.84851,170.28548,200.00000,-1050.76257,93.88
-1193.353,200.000,-1399.216,-1153.46606,200.00000,-1426.47888,-1193.47644,200.00000,-1399.13208,94.11
238.730,300.000,-366.187,204.14639,300.00000,-332.10712,238.83667,300.00000,-366.29272,93.50
243.856,300.000,-145.167,209.65169,300.00000,-110.44212,243.96100,300.00000,-145.27336,91.79
787.736,300.000,-140.766,751.01794,300.00000,-105.71366,787.84412,300.00000,-140.86948,88.27
-102.404,300.000,-370.508,-62.74266,300.00000,-336.78842,-102.51814,300.00000,-370.60507,84.49
-108.776,215.000,-1547.790,-73.77634,200.00000,-1499.37915,-108.86411,200.00000,-1547.91150,71.73
-108.776,200.000,-1547.790,-73.77628,200.00000,-1499.37891,-108.86411,200.00000,-1547.91150,71.73
