seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
764.250,300.000,472.015,729.13977,300.00000,474.20917,764.39929,300.00000,472.00592,168.46
1064.738,200.000,-1701.334,1031.65332,200.00000,-1713.36157,1064.87878,200.00000,-1701.28235,167.68
225.671,200.000,-2957.009,237.06541,200.00000,-2990.32031,225.62285,200.00000,-2956.86694,167.60
-1184.789,200.000,-2383.478,-1150.17212,200.00000,-2376.94092,-1184.93726,200.00000,-2383.50513,166.94
-684.539,300.000,722.850,-649.90375,300.00000,716.38306,-684.68640,300.00000,722.87744,166.79
640.322,200.000,-3461.568,628.04016,200.00000,-3428.46729,640.37396,200.00000,-3461.70874,164.90
-148.720,400.000,2021.161,-113.22005,400.00000,2022.58667,-148.87186,400.00000,2021.15466,175.40
122.147,350.000,-2669.584,130.80028,350.00000,-2704.14453,122.11104,350.00000,-2669.43921,158.47
348.571,350.000,-2348.774,384.74588,350.00000,-2350.64600,348.41821,350.00000,-2348.76636,150.13
-336.298,350.000,-2381.673,-371.92551,350.00000,-2388.50977,-336.15137,350.00000,-2381.64478,149.50
578.156,200.000,-1974.790,612.13428,200.00000,-1962.06970,578.01520,200.00000,-1974.84253,156.00
-630.957,200.000,-2441.824,-667.11407,200.00000,-2445.87695,-630.81030,200.00000,-2441.80762,154.52
-230.436,350.000,-2597.653,-257.26340,350.00000,-2622.44385,-230.32628,350.00000,-2597.55103,146.74
-88.483,350.000,-2681.701,-97.12995,350.00000,-2717.25659,-88.44775,350.00000,-2681.55493,146.08
568.821,300.000,1322.024,541.98657,300.00000,1296.85144,568.93036,300.00000,1322.12622,149.32
120.561,250.000,-2454.506,90.78786,250.00000,-2432.87451,120.68197,250.00000,-2454.59399,144.00
-575.458,200.000,-1735.841,-599.38770,200.00000,-1707.74927,-575.36066,200.00000,-1735.95557,143.04
-844.759,200.000,-1216.498,-826.08630,200.00000,-1248.37158,-844.83478,200.00000,-1216.36780,147.68
