seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-705.985,-22.514,-1539.025,-695.44055,148.07599,-1505.45862,-706.02954,148.07599,-1539.16736,168.28
93.239,0.000,-1498.065,128.71371,50.00000,-1498.06470,93.08868,50.00000,-1498.06470,161.23
-201.002,0.000,-1568.488,-234.54396,24.99999,-1580.17871,-200.85997,24.99999,-1568.43848,160.34
81.597,0.000,-1568.487,115.13907,50.00000,-1580.17834,81.45509,50.00000,-1568.43811,160.34
81.597,0.000,-1427.642,115.13907,50.00000,-1415.95105,81.45509,50.00000,-1427.69128,160.34
-201.002,0.000,-1427.642,-234.54402,24.99999,-1415.95142,-200.86002,24.99999,-1427.69165,160.34
-153.182,0.000,-1445.190,-188.72934,24.99999,-1445.19031,-153.03204,24.99999,-1445.19031,159.87
268.487,0.000,-1445.192,304.03473,0.00000,-1445.19189,268.33743,0.00000,-1445.19202,159.87
-137.133,0.000,-1535.588,-170.47455,24.99999,-1548.01355,-136.99261,24.99999,-1535.53589,159.26
252.439,0.000,-1535.589,285.77997,49.77249,-1548.01477,252.29805,49.77249,-1535.53711,159.26
252.439,0.000,-1354.794,285.78000,0.00000,-1342.36877,252.29788,0.00000,-1354.84656,159.26
-167.848,0.000,-1367.941,-195.11966,25.00000,-1344.95715,-167.73357,25.00000,-1368.03711,157.84
48.443,0.000,-1367.940,75.71466,50.00000,-1344.95703,48.32855,50.00000,-1368.03711,157.84
-558.170,-22.514,-2609.824,-528.51221,114.72102,-2590.00732,-558.29102,114.72102,-2609.90503,168.75
-167.848,0.000,-1628.189,-195.11952,0.00000,-1651.17273,-167.73334,0.00000,-1628.09265,157.84
48.443,0.000,-1628.189,75.71474,50.00000,-1651.17236,48.32859,50.00000,-1628.09229,157.84
-256.898,-22.514,-2857.073,-243.24753,114.72103,-2824.11865,-256.95499,114.72103,-2857.21118,168.75
256.898,-22.514,-2857.073,243.24753,114.72103,-2824.11865,256.95490,114.72103,-2857.21118,168.75
-474.685,-22.514,-2711.552,-449.46268,114.72102,-2686.32983,-474.79080,114.72103,-2711.65771,168.75
