seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
1094.927,-600.000,-1266.379,1059.89624,-500.00000,-1267.68567,1095.05652,-500.00000,-1266.37390,173.54
220.000,-600.000,-5400.000,223.99307,-500.00000,-5365.00000,219.98331,-500.00000,-5400.14990,166.98
220.000,-500.000,-5400.000,223.99310,-500.00000,-5365.00000,219.98331,-500.00000,-5400.14990,166.98
366.667,-500.000,-1000.000,367.27228,-500.00000,-1035.37024,366.66403,-500.00000,-999.85004,163.29
366.667,-600.000,-1000.000,367.27228,-500.00000,-1035.37024,366.66403,-500.00000,-999.84998,163.29
-1154.489,-500.000,-3778.559,-1120.65405,-500.00000,-3767.81006,-1154.63159,-500.00000,-3778.60376,160.72
-1154.489,-600.000,-3778.559,-1120.65417,-500.00000,-3767.81006,-1154.63208,-500.00000,-3778.60400,160.72
919.157,-600.000,-4808.549,883.70001,-500.00000,-4805.86426,919.30579,-500.00000,-4808.55957,159.67
-220.000,-600.000,-5400.000,-216.94084,-500.00000,-5364.50244,-220.01361,-500.00000,-5400.15869,170.15
-220.000,-500.000,-5400.000,-216.94084,-500.00000,-5364.50244,-220.01361,-500.00000,-5400.15869,170.15
-974.695,-600.000,-4490.174,-940.32025,-500.00000,-4480.70801,-974.83954,-500.00000,-4490.21387,158.01
-974.695,-500.000,-4490.174,-940.32025,-500.00000,-4480.70801,-974.83954,-500.00000,-4490.21387,158.01
989.979,-600.000,-4534.597,954.57526,-500.00000,-4529.72168,990.12927,-500.00000,-4534.61719,166.69
975.734,600.000,380.077,957.48376,-0.00002,349.24158,975.81018,-0.00002,380.20523,155.26
975.734,-0.000,380.077,957.48376,-0.00002,349.24152,975.81018,-0.00002,380.20523,155.26
-1086.170,-600.000,-4265.503,-1051.81934,-500.00000,-4254.87744,-1086.31873,-500.00000,-4265.54932,161.60
-1086.170,-500.000,-4265.503,-1051.81934,-500.00000,-4254.87744,-1086.31873,-500.00000,-4265.54932,161.60
-1247.953,-600.000,-2434.015,-1211.66272,-500.00000,-2430.02002,-1248.10205,-500.00000,-2434.03198,152.81
-1247.953,-500.000,-2434.015,-1211.66272,-500.00000,-2430.02002,-1248.10205,-500.00000,-2434.03198,152.81
724.114,800.001,-6800.000,713.38397,800.00055,-6764.52148,724.15680,800.00055,-6800.14111,146.34
-1247.953,-600.000,-1266.379,-1211.27466,-500.00000,-1273.40320,-1248.09961,-500.00000,-1266.35046,143.59
-1247.953,-500.000,-1266.379,-1211.27466,-500.00000,-1273.40320,-1248.09961,-500.00000,-1266.35046,143.59
-951.247,-600.000,-4794.761,-915.36395,-500.00000,-4804.88428,-951.53870,-500.00000,-4794.67920,139.69
-951.247,-500.000,-4794.761,-915.36395,-500.00000,-4804.88428,-951.53870,-500.00000,-4794.67920,139.69
-1086.170,800.001,-6382.533,-1050.70154,800.00079,-6369.29541,-1086.30920,800.00080,-6382.58545,139.07
-1086.170,984.738,-6382.533,-1050.70154,800.00079,-6369.29541,-1086.30920,800.00080,-6382.58545,139.07
-1072.772,-600.000,-4962.572,-1035.99988,-500.00000,-4972.26221,-1072.92078,-500.00000,-4962.53271,137.71
-1072.772,-500.000,-4962.572,-1035.99988,-500.00000,-4972.26221,-1072.92078,-500.00000,-4962.53271,137.71
-724.113,800.001,-6800.000,-707.93079,800.00073,-6764.54492,-724.17511,800.00074,-6800.13574,130.93
993.222,-600.000,-5400.000,954.45563,-500.00000,-5375.23926,993.34143,-500.00000,-5400.07666,99.08
1100.000,-600.000,-1000.000,1064.04529,-500.00000,-1029.94202,1100.10278,-500.00000,-999.91431,98.25
1100.000,-0.000,-1000.000,1064.04529,-500.00000,-1029.94214,1100.10278,-500.00000,-999.91431,98.25
-1023.832,800.000,-5400.000,-993.33148,-500.00000,-5357.83154,-1023.91986,-500.00000,-5400.12158,84.52
-1023.832,-500.000,-5400.000,-993.03857,-500.00000,-5357.42627,-1023.91986,-500.00000,-5400.12158,84.52
-1023.832,-600.000,-5400.000,-993.03870,-500.00000,-5357.42627,-1023.92035,-500.00000,-5400.12256,84.52
