seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-505.919,597.335,-5591.598,-511.96545,599.99994,-5556.59766,-505.89468,599.99994,-5591.73975,160.40
505.641,597.336,-5591.597,511.68680,600.00000,-5556.59668,505.61478,599.99999,-5591.74805,160.40
306.604,597.335,-5674.044,276.51813,600.00000,-5654.63232,306.72986,600.00000,-5674.12500,155.66
-306.883,597.336,-5674.043,-276.79712,600.00000,-5654.63135,-307.00888,599.99997,-5674.12451,155.66
389.048,597.335,-5591.598,374.55008,600.00000,-5556.59766,389.10526,600.00000,-5591.73633,135.00
262.638,597.335,-5790.636,219.96927,1101.46179,-5804.59277,262.78076,1101.46179,-5790.58936,102.45
-520.473,150.000,-3048.963,-485.47333,150.00023,-3014.40503,-520.56891,150.00022,-3049.05737,90.73
-520.473,207.355,-3048.963,-485.47333,150.00023,-3014.40503,-520.56891,150.00022,-3049.05737,90.73
-520.473,0.000,-1751.010,-485.47333,0.00000,-1785.55713,-520.58173,0.00000,-1750.90344,90.75
-520.473,56.977,-1751.010,-485.47333,0.00000,-1785.55713,-520.58173,0.00000,-1750.90344,90.75
-520.473,150.000,-3751.010,-485.47345,149.99998,-3785.55713,-520.58344,149.99999,-3750.90186,90.75
-520.473,150.000,-2558.963,-485.47333,149.99998,-2593.51025,-520.58331,149.99999,-2558.85498,90.75
-520.473,206.977,-3751.010,-485.47345,149.99998,-3785.55713,-520.58344,149.99999,-3750.90186,90.75
-520.473,206.977,-2558.963,-485.47333,149.99998,-2593.51025,-520.58331,149.99999,-2558.85498,90.75
-520.473,150.000,-4648.963,-485.47339,149.99997,-4614.40527,-520.57843,149.99998,-4649.06592,90.73
-520.473,207.355,-4648.963,-485.47339,149.99997,-4614.40527,-520.57843,149.99998,-4649.06592,90.73
40.263,1696.547,-3709.694,74.97104,2400.00146,-3744.71411,40.15739,2400.00146,-3709.58789,90.45
-38.550,1696.547,-3091.777,-73.54969,2400.00146,-3056.92432,-38.44340,2400.00146,-3091.88306,90.24
-38.550,1696.547,-3709.650,-73.54969,2400.00146,-3744.62988,-38.44360,2400.00146,-3709.54370,90.03
-600.000,39.208,-3100.000,-565.00000,-782.46423,-3135.00000,-600.10608,-782.46421,-3099.89404,90.00
600.000,39.207,-3700.000,564.99988,-782.46448,-3665.00000,600.10596,-782.46447,-3700.10596,90.00
600.000,39.208,-3100.000,565.00000,-782.46448,-3135.00000,600.10608,-782.46447,-3099.89404,90.00
600.000,150.000,-3700.000,564.99988,-782.46448,-3665.00000,600.10596,-782.46447,-3700.10596,90.00
600.000,206.933,-3700.000,564.99994,-782.46448,-3664.99976,600.10602,-782.46447,-3700.10571,90.00
-600.000,150.000,-3100.000,-565.00000,-782.46423,-3135.00000,-600.10608,-782.46421,-3099.89404,90.00
40.685,1696.547,-3091.443,75.98042,2400.00146,-3056.29370,40.57864,2400.00146,-3091.54883,89.28
-600.000,39.207,-3700.000,-564.64655,-782.46454,-3664.64624,-600.10620,-782.46456,-3700.10571,90.00
-600.000,150.000,-3700.000,-564.64655,-782.46454,-3664.64624,-600.10620,-782.46456,-3700.10571,90.00
-600.000,207.500,-3700.000,-564.64655,-782.46454,-3664.64648,-600.10620,-782.46456,-3700.10596,90.00
-600.000,207.555,-3100.000,-564.64642,-782.46423,-3135.35303,-600.10608,-782.46421,-3099.89355,90.00
600.000,-0.000,-2500.000,564.64642,0.00001,-2464.64648,600.10602,0.00001,-2500.10620,90.00
-262.917,597.336,-5790.635,-189.96684,631.49689,-5804.59229,-263.06021,631.49689,-5790.60742,102.45
