seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
1656.812,0.000,424.228,1692.27539,0.00000,409.82043,1656.67371,0.00000,424.28464,135.78
3736.283,0.000,424.227,3700.82007,0.00000,409.70419,3736.42114,0.00000,424.28391,135.46
2196.583,-2000.000,-212.261,2232.04443,-2000.00000,-197.58778,2196.44458,-2000.00000,-212.31801,135.04
1656.812,0.000,-436.903,1692.27454,0.00000,-422.22330,1656.67432,0.00000,-436.96045,135.03
2196.582,-2000.000,199.587,2232.04419,-2000.00000,184.90616,2196.44409,-2000.00000,199.64447,135.02
3127.327,0.000,-1045.812,3112.63867,0.00000,-1010.34985,3127.38403,0.00000,-1045.94983,135.00
2903.515,-2000.000,494.347,2888.82373,-2000.00000,458.88486,2903.57300,-2000.00000,494.48523,134.99
3736.283,0.000,-436.901,3700.82080,0.00000,-422.21121,3736.42236,0.00000,-436.95868,135.00
3123.174,0.000,1047.241,3108.31909,0.00000,1011.78027,3123.23242,0.00000,1047.37976,134.54
2906.660,-2000.000,-505.228,2891.54419,-2000.00000,-469.76846,2906.71948,-2000.00000,-505.36664,133.82
1694.385,0.000,-143.629,1729.38464,0.00000,-108.80275,1694.27820,0.00000,-143.73512,90.28
