seam_x,seam_y,seam_z,interior,floor
10921.57421875,-1723.5718994140625,-17980.08984375,180.0,35.0
9067.8994140625,-1614.5994873046875,-15696.0654296875,180.0,35.0
9854.6435546875,-1309.7808837890625,-16665.4609375,180.0,35.0
9858.8662109375,-1413.021728515625,-17658.109375,180.0,35.0
10440.8193359375,-1852.3341064453125,-18375.1640625,180.0,35.0
9373.88671875,-1413.022705078125,-17060.53515625,180.0,35.0
422.3656921386719,-2735.899658203125,-15534.2734375,180.0,35.0
422.3656921386719,-2552.641357421875,-14192.513671875,180.0,35.0
422.3656921386719,-2552.641357421875,-14863.375,180.0,35.0
422.3656005859375,-2432.641357421875,-9645.287109375,180.0,35.0
919.0191650390625,-1977.6414794921875,-7159.20849609375,180.0,35.0
-422.3656921386719,-2737.9091796875,-15534.2734375,180.0,35.0
-422.3656921386719,-2552.637939453125,-14863.3798828125,180.0,35.0
-422.3656921386719,-2552.641357421875,-14192.513671875,180.0,35.0
-919.0191650390625,-1977.6414794921875,-7159.20849609375,180.0,35.0
-422.3654479980469,-2432.641357421875,-9645.287109375,180.0,35.0
307.45361328125,-150.28001403808594,-990.255615234375,180.0,35.0
-304.72906494140625,-150.28001403808594,-990.255615234375,180.0,35.0
-212.64837646484375,-1977.6412353515625,-6725.55029296875,180.0,35.0
211.3759765625,-1977.641357421875,-6725.55078125,180.0,35.0
-157.57833862304688,149.2939910888672,-1469.81689453125,180.0,35.0
-157.57833862304688,149.2940216064453,-1907.8690185546875,180.0,35.0
157.57823181152344,149.2939910888672,-1469.81689453125,180.0,35.0
157.57823181152344,149.2940216064453,-1907.8690185546875,180.0,35.0
-1793.682373046875,199.38507080078125,-997.2681274414062,180.0,35.0
1793.682373046875,199.38507080078125,-997.2681274414062,180.0,35.0
11092.8955078125,-1702.515625,-18191.18359375,179.962,35.0
10612.1376953125,-1697.030517578125,-18586.2578125,179.953,35.0
7264.89697265625,-1961.676025390625,-16445.142578125,180.0,35.0
8585.0517578125,-1699.45263671875,-16088.5654296875,180.0,35.0
9065.810546875,-1704.93896484375,-15693.4912109375,180.0,35.0
8664.2216796875,-1868.958251953125,-15198.66796875,172.336,35.078
13517.216796875,-1853.7442626953125,-22274.216796875,156.073,35.777
8355.5849609375,-1773.455078125,-15917.6318359375,142.942,36.914
8395.904296875,-1885.4027099609375,-15855.5078125,142.848,36.924
-919.0193481445312,-1977.6412353515625,-7986.3955078125,135.697,37.789
-422.36541748046875,-3361.660400390625,-17743.833984375,107.777,43.324
422.3655700683594,-3371.27392578125,-17743.833984375,91.96,48.672
13518.1044921875,-1852.5308837890625,-22275.37890625,90.185,49.418
7689.14208984375,-1784.894287109375,-15754.1181640625,90.145,49.435
522.3656616210938,-3348.09228515625,-14192.513671875,90.005,49.495
-522.3656005859375,-3348.09228515625,-14192.5146484375,90.002,49.496
310.0,16.149267196655273,119.88521575927734,90.0,49.497
220.0,49.38529586791992,119.88521575927734,90.0,49.497
-310.0,16.149263381958008,119.88521575927734,90.0,49.497
-220.0,49.38529586791992,119.88521575927734,90.0,49.497
13995.3701171875,-1852.5308837890625,-21878.08984375,90.0,49.497
-522.3656616210938,-3348.092529296875,-15534.2490234375,90.002,49.497
522.3656005859375,-3348.09228515625,-15534.2373046875,90.002,49.497
-522.3656005859375,-3348.09228515625,-17743.833984375,90.0,49.497
522.3656005859375,-3348.09228515625,-17743.833984375,90.0,49.497
-310.0,-150.28001403808594,-948.334228515625,90.0,49.497
310.0,-150.28001403808594,-948.334228515625,90.0,49.497
-157.57833862304688,149.2939910888672,-1250.3348388671875,90.0,49.497
-310.0,-150.28001403808594,-655.0582885742188,90.0,49.497
-310.0,-150.28001403808594,-496.1278076171875,90.0,49.497
310.0,-150.28001403808594,-655.0582885742188,90.0,49.497
157.5782470703125,149.2939910888672,-1250.3348388671875,90.0,49.497
310.0,-150.28001403808594,-496.1278076171875,90.0,49.497
-280.4206237792969,199.38507080078125,-997.2681274414062,90.0,49.497
280.42059326171875,199.38507080078125,-997.2681274414062,90.0,49.497
-298.076171875,199.38507080078125,30.8273983001709,90.0,49.497
-231.7572784423828,199.38507080078125,30.8273983001709,90.0,49.497
231.7572784423828,199.38507080078125,30.8273983001709,90.0,49.497
298.076171875,199.38507080078125,30.8273983001709,90.0,49.497
1769.1656494140625,0.1631080061197281,-990.255615234375,90.0,49.497
-157.57833862304688,149.2940216064453,-2468.473876953125,90.0,49.497
157.57823181152344,149.2940216064453,-2468.473876953125,90.0,49.497
-212.64837646484375,-1977.6412353515625,-6342.7109375,90.0,49.497
211.3759765625,-1977.641357421875,-6342.7109375,90.0,49.497
12042.0849609375,-1818.126708984375,-19360.734375,90.0,49.498
11561.3271484375,-1953.1156005859375,-19755.810546875,89.998,49.498
12575.302734375,-1852.5308837890625,-20824.453125,87.445,50.639
14049.72265625,-2064.7744140625,-21830.24609375,79.261,54.873
12261.4345703125,-1852.5308837890625,-20322.3671875,76.165,56.745
11698.83203125,-1806.949462890625,-18936.623046875,68.712,62.02
