seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-1264.638,-500.000,-719.436,-1299.02991,-350.00000,-727.80231,-1264.49170,-350.00000,-719.40015,162.88
-1264.638,-350.000,-719.436,-1299.02991,-350.00000,-727.80231,-1264.49170,-350.00000,-719.40015,162.88
-1264.638,-200.000,-719.436,-1299.02991,-350.00000,-727.80237,-1264.49170,-350.00000,-719.40015,162.88
-2598.441,-500.000,-1815.234,-2591.45410,-350.00000,-1780.29919,-2598.47021,-350.00000,-1815.38159,170.25
-2598.441,-350.000,-1815.234,-2591.45410,-350.00000,-1780.29919,-2598.47021,-350.00000,-1815.38159,170.25
-2598.441,-350.000,1810.739,-2591.67261,-350.00000,1775.75928,-2598.46973,-350.00000,1810.88562,170.21
-2598.441,-500.000,1810.739,-2591.67261,-350.00000,1775.75928,-2598.46973,-350.00000,1810.88562,170.21
-1050.000,146.869,248.301,-1084.99988,-200.00008,241.51675,-1049.85266,-200.00007,248.32986,158.06
-1114.083,-200.000,407.386,-1145.39624,-200.00006,390.11996,-1113.95215,-200.00005,407.45859,166.14
-1278.827,-350.000,-560.781,-1314.43909,-200.00003,-555.49530,-1278.67859,-200.00003,-560.80298,152.90
-1278.827,-200.000,-560.781,-1314.43909,-200.00003,-555.49530,-1278.67859,-200.00003,-560.80298,152.90
-3300.000,-350.000,-1611.624,-3283.45557,-350.00000,-1579.47034,-3300.06812,-350.00000,-1611.75732,157.91
-3300.000,-500.000,-1611.624,-3283.45557,-350.00000,-1579.47034,-3300.06812,-350.00000,-1611.75732,157.91
-3300.000,-500.000,1611.624,-3283.54150,-350.00000,1579.40295,-3300.06812,-350.00000,1611.75806,157.57
-3300.000,-350.000,1611.624,-3283.54150,-350.00000,1579.40295,-3300.06812,-350.00000,1611.75806,157.57
-1228.840,-200.000,566.471,-1262.90112,-200.00003,553.86353,-1228.69922,-200.00004,566.52319,149.01
-3920.415,-350.000,-1122.171,-3889.01318,-350.00000,-1101.76038,-3920.54004,-350.00000,-1122.25256,142.59
-3920.415,-500.000,-1122.171,-3889.01318,-350.00000,-1101.76038,-3920.54004,-350.00000,-1122.25256,142.59
-3920.415,-500.000,1122.171,-3889.01318,-350.00000,1101.76038,-3920.54053,-350.00000,1122.25281,142.59
-3920.415,-350.000,1122.171,-3889.01318,-350.00000,1101.76038,-3920.54053,-350.00000,1122.25281,142.59
-1258.315,-500.000,-1815.698,-1274.97034,-350.00000,-1781.88391,-1258.24829,-350.00000,-1815.83301,140.45
-1258.315,-350.000,-1815.698,-1274.97034,-350.00000,-1781.88391,-1258.24829,-350.00000,-1815.83301,140.45
-1050.000,-200.000,-243.471,-1084.99988,-200.00003,-228.58623,-1049.86182,-200.00003,-243.52989,133.92
-1050.000,146.869,-243.471,-1084.99988,-200.00003,-228.58623,-1049.86182,-200.00003,-243.52989,133.92
-1242.250,-200.000,725.556,-1280.39429,-350.00000,726.57672,-1242.10046,-350.00000,725.55188,133.05
-1242.250,-500.000,725.556,-1280.39429,-350.00000,726.57672,-1242.10046,-350.00000,725.55188,133.05
-1242.250,-350.000,725.556,-1280.39429,-350.00000,726.57672,-1242.10046,-350.00000,725.55188,133.05
