seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-43600.0,746.9354797584438,15075.0,-43587.7421875,746.9354858398438,15025.24609375,-43600.0234375,746.9354797584438,15075.0966796875,166.569
-43600.0,753.0645202415562,14475.0,-43612.2578125,753.0645141601562,14524.75390625,-43599.98046875,753.0645202415562,14474.9013671875,166.569
-43000.0,602.3003767705577,14700.0,-43009.203125,602.3003540039062,14750.7431640625,-42999.98828125,602.3003767705577,14699.9169921875,159.444
-43000.0,600.0,15300.0,-42991.68359375,600.0,15249.103515625,-43000.03515625,600.0,15300.203125,159.444
-37600.0,750.0,15600.0,-37630.8125,750.0,15558.787109375,-37599.5078125,750.0,15600.6572265625,161.565
-44200.0,900.0,14400.0,-44203.171875,900.0,14450.96875,-44199.91796875,900.0,14398.7177734375,172.875
-42400.0,600.0,15600.0,-42350.21875,600.0,15579.3798828125,-42400.07421875,600.0,15600.03125,135.0
-41200.0,0.0,14400.0,-41150.21875,0.0,14379.3798828125,-41200.078125,0.0,14400.03125,135.0
-34900.0,1200.000244140625,14400.0,-34850.21875,1200.000244140625,14420.6201171875,-34900.0859375,1200.000244140625,14399.9638671875,135.0
-44800.0,900.0,15300.0,-44850.1328125,900.0,15280.251953125,-44799.91015625,900.0,15300.0361328125,135.0
-47200.0,900.0,15300.0,-47150.21875,900.0,15279.3798828125,-47200.08984375,900.0,15300.0380859375,135.0
-34900.0,1200.000235750159,15600.0,-34850.21875,1200.000244140625,15579.3798828125,-34900.08984375,1200.000235750159,15600.0380859375,135.0
-44800.0,900.0,14100.0,-44849.78125,900.0,14120.6201171875,-44799.91015625,900.0,14099.9609375,135.0
-46600.0,900.0,13500.0,-46579.37890625,900.0,13549.7822265625,-46600.0390625,900.0,13499.9111328125,135.0
-41200.0,0.0,15600.0,-41161.56640625,0.0,15562.232421875,-41200.0703125,0.0,15600.0712890625,135.0
-37300.0,900.0,15300.0,-37262.23046875,900.0,15261.5673828125,-37300.07421875,900.0,15300.0703125,135.0
-45400.0,900.0000000000001,13500.0,-45420.62109375,900.0,13549.7822265625,-45399.95703125,900.0000000000001,13499.9052734375,135.0
-37600.0,750.0,14399.9990234375,-37620.62109375,750.0,14449.78125,-37599.95703125,750.0,14399.904296875,135.0
-37300.0,900.0,14700.0,-37262.23046875,900.0,14738.4326171875,-37300.07421875,900.0,14699.927734375,135.0
-42400.0,600.0,14400.0,-42349.8671875,600.0,14419.748046875,-42400.1015625,600.0,14399.958984375,135.0
-45400.0,900.0,15900.0,-45420.62109375,900.0,15850.2177734375,-45399.95703125,900.0,15900.0986328125,135.0
-32500.0,1200.000244140625,14400.0,-32549.78125,1200.000244140625,14420.6201171875,-32499.8984375,1200.000244140625,14399.95703125,135.0
-42100.0,600.0,14100.0,-42078.515625,600.0,14149.4150390625,-42100.05078125,600.0,14099.8916015625,135.0
-47200.0,900.0,14100.0,-47150.21875,900.0,14120.6201171875,-47200.12109375,900.0,14099.94921875,135.0
-38800.0,0.0,14700.0,-38838.43359375,0.0,14737.767578125,-38799.84765625,0.0,14699.849609375,135.0
-40000.0,0.0,13200.0,-39999.08984375,0.0,13252.0693359375,-40000.03515625,0.0,13197.8681640625,151.928
-38800.0,0.0,15300.0,-38800.46875,0.0,15353.8818359375,-38799.99609375,0.0,15299.658203125,135.0
-32500.0,1200.000244140625,15600.0,-32550.134765625,1200.000244140625,15580.251953125,-32499.4609375,1200.000244140625,15600.212890625,135.0
-41200.0,0.0,13500.0,-41165.8828125,0.0,13542.53125,-41200.0625,0.0,13499.921875,130.601
-41200.0,0.0,16500.0,-41165.8828125,0.0,16457.46875,-41200.0625,0.0,16500.078125,130.601
-42100.0,600.0,15900.0,-42078.515625,600.0,15850.5849609375,-42100.37109375,600.0,15900.84765625,135.0
-38800.0,0.0,13500.0,-38836.37109375,0.0,13541.66796875,-38799.9375,0.0,13499.9296875,125.838
-41500.0,600.0,14100.0,-41469.95703125,600.0,14148.6103515625,-41500.05078125,600.0,14099.9140625,116.565
-41500.0,600.0,15900.0,-41469.95703125,600.0,15851.3896484375,-41500.05078125,600.0,15900.0859375,116.565
-38500.0,0.0,14400.0,-38555.6171875,0.0,14386.87109375,-38499.90234375,0.0,14400.0224609375,116.565
-38500.0,0.0,15600.0,-38555.6171875,0.0,15613.12890625,-38499.90234375,0.0,15599.9765625,116.565
-46600.0,900.0,15900.0,-46616.17578125,900.0,15834.3212890625,-46599.98046875,900.0,15900.0888671875,135.0
