seam_x,seam_y,seam_z,interior,floor
-2.099999983329326e-05,-1000.0,-2000.0,180.0,35.0
500.0,-1000.0,-2000.0,180.0,35.0
1000.0,-1000.0,-2000.0,180.0,35.0
-7.79999973019585e-05,-1000.0,-1000.0,180.0,35.0
500.0,-1000.0,-1000.0,180.0,35.0
2500.0,-1000.0,-1.2000000424450263e-05,180.0,35.0
2500.0,-1000.0,-500.0,180.0,35.0
-500.0,-1000.0,-1.9999999949504854e-06,180.0,35.0
-500.0,-1000.0,500.0,180.0,35.0
-3.7999998312443495e-05,-1000.0,-7.999999979801942e-06,180.0,35.0
-3.000000106112566e-06,-1000.0,500.0,180.0,35.0
1000.0,-1000.0,1500.0,180.0,35.0
1000.0,800.0,1500.0,180.0,35.0
-500.0,-1000.0,-1000.0,90.0,49.497
-500.0,-1000.0,-2000.0,90.0,49.497
1500.0,-1000.0,-2000.0,90.0,49.497
1500.0,-1000.0,-1000.0,90.0,49.497
2500.0,-1000.0,-1000.0,90.0,49.497
-1000.0,-1000.0,500.0,90.0,49.497
-1000.0,-1000.0,0.0,90.0,49.497
500.0,-1000.0,500.0,90.0,49.497
500.0,-1000.0,1500.0,90.0,49.497
1500.0,-1000.0,500.0,90.0,49.497
1500.0,-1000.0,1500.0,90.0,49.497
2500.0,-1000.0,500.0,90.0,49.497
