seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-3800.0,200.0,450.0,-3800.0,200.0,399.0,-3799.999755859375,200.0,450.0999755859375,180.0
-4400.00048828125,-550.0,-1600.0,-4433.20166015625,-550.0,-1560.685791015625,-4399.93603515625,-550.0,-1600.076416015625,161.565
-8100.0,-550.0,2200.0,-8058.25537109375,-550.0,2169.912109375,-8100.08154296875,-550.0,2200.05859375,161.565
-5500.0,-550.0,2200.0,-5529.35498046875,-550.0,2157.736572265625,-5499.67138671875,-550.0,2200.472900390625,161.565
-5400.0,-550.0,-2200.0,-5415.78173828125,-550.0,-2150.49267578125,-5399.97021484375,-550.0,-2200.095458984375,153.435
-7300.0,-550.0,1199.9998779296875,-7350.57177734375,-550.0,1211.9383544921875,-7299.90234375,-550.0,1199.97705078125,153.435
-6800.00048828125,-550.0,1400.0,-6749.82177734375,-550.0,1416.726318359375,-6800.0947265625,-550.0,1399.968505859375,143.13
-6650.0,-550.0,1200.0,-6599.8212890625,-550.0,1216.726318359375,-6650.09912109375,-550.0,1199.967041015625,143.13
-7900.0,-550.0,-1900.0,-7867.82763671875,-550.0,-1857.8782958984375,-7900.06005859375,-550.0,-1900.0794677734375,142.125
-6856.9873046875,-499.9999694824219,3252.41650390625,-6891.37841796875,-499.9999694824219,3211.689697265625,-6856.92138671875,-499.9999694824219,3252.494384765625,139.508
-3800.000244140625,-550.0,900.0,-3849.977783203125,-550.0,881.2216796875,-3799.906982421875,-550.0,900.0350952148438,138.814
-3847.58349609375,200.0,-143.01239013671875,-3888.310302734375,200.0,-108.6214828491211,-3847.41552734375,200.0,-143.15432739257812,139.508
-3800.000244140625,-550.0,-900.0,-3850.00634765625,-550.0,-881.5015258789062,-3799.7939453125,-550.0,-900.0763549804688,139.399
-3852.683349609375,200.0,182.12828063964844,-3903.513671875,200.0,199.99502563476562,-3852.588623046875,200.0,182.0950927734375,135.035
-7182.12841796875,-499.9999694824219,3247.316650390625,-7199.99560546875,-499.9999694824219,3196.486328125,-7182.09521484375,-499.9999694824219,3247.411865234375,135.035
-6069.107421875,-550.0,400.0001220703125,-6089.71923828125,-550.0,449.7831726074219,-6069.0693359375,-550.0,399.90753173828125,135.018
-5400.0,-550.0,950.0,-5420.62060546875,-550.0,900.2179565429688,-5399.96240234375,-550.0,950.0914916992188,135.0
-5400.0,-550.0,-950.0,-5420.62060546875,-550.0,-900.2178955078125,-5399.96240234375,-550.0,-950.0914916992188,135.0
-5050.0,-550.0,1100.0,-5049.52978515625,-550.0,1046.1182861328125,-5050.0009765625,-550.0,1100.099365234375,135.0
-8500.0,-550.0,1800.0,-8450.2177734375,-550.0,1779.379638671875,-8500.091796875,-550.0,1800.0380859375,135.0
-5400.0,-550.0,-1450.0,-5420.62060546875,-550.0,-1499.7821044921875,-5399.96240234375,-550.0,-1449.9078369140625,135.0
