seam_x,seam_y,seam_z,interior,floor
-3800.0,200.0,-450.0,180.0,35.0
-6600.0,-550.0,2800.0,180.0,35.0
-7400.0,-550.0,2800.0,180.0,35.0
-3800.0,-550.0000610351562,-500.0,180.0,35.0
-3800.0,-550.0000610351562,500.0,180.0,35.0
-8100.00146484375,-550.0,700.0001831054688,180.0,35.0
-3750.0,200.0,-150.0,180.0,35.0
-3779.42529296875,200.0,-150.00001525878906,180.0,35.0
-3800.0,200.0,-206.31301879882812,180.0,35.0
-3779.42529296875,200.0,150.00001525878906,180.0,35.0
-3800.0,200.0,210.75787353515625,180.0,35.0
-3750.0,200.0,150.0,180.0,35.0
-7150.0,-500.0,3350.0,180.0,35.0
-7150.0,-500.0,3320.57470703125,180.0,35.0
-7210.75830078125,-500.0,3300.0,180.0,35.0
-6850.0,-500.0,3350.0,180.0,35.0
-6850.0,-500.0,3320.57470703125,180.0,35.0
-6793.68701171875,-500.0,3300.0,180.0,35.0
-4500.00048828125,-550.0,1700.0,157.751,35.67
-6700.0,-550.0,-2300.0,157.166,35.707
-7200.0,-550.0,1399.9998779296875,153.435,35.962
-3793.38623046875,200.0,-135.2726593017578,148.327,36.381
-6864.72705078125,-500.0,3306.614013671875,148.327,36.381
-3825.470458984375,200.0,133.49671936035156,144.377,36.762
-7133.49658203125,-500.0,3274.529541015625,144.376,36.762
-3830.23583984375,200.0,207.1914520263672,138.576,37.418
-7207.19091796875,-500.0,3269.76416015625,138.579,37.418
-7135.27294921875,-500.0,3306.614013671875,136.639,37.664
-3793.385986328125,200.0,135.2726593017578,136.637,37.665
-3821.025634765625,200.0,-127.94064331054688,135.568,37.807
-6872.05908203125,-500.0,3278.974365234375,135.568,37.807
-8100.00048828125,-550.0,-799.9998168945312,135.0,37.884
-3833.5693359375,200.0,-206.08021545410156,130.495,38.541
-6793.919921875,-500.0,3266.430419921875,130.495,38.541
-4350.0,200.0,-450.0,90.0,49.497
-4350.0,200.0,-200.0,90.0,49.497
-4350.0,200.0,200.0,90.0,49.497
-4350.0,200.0,450.0,90.0,49.497
-6600.0,-550.0,2300.0,90.0,49.497
-6650.0,-550.0,2300.0,90.0,49.497
-6650.0,-550.0,2800.0,90.0,49.497
-7350.0,-550.0,2300.0,90.0,49.497
-7350.0,-550.0,2800.0,90.0,49.497
-7400.0,-550.0,2300.0,90.0,49.497
-4400.0,-550.0,-500.0,90.0,49.497
-4400.0,-200.00001525878906,-250.0,90.0,49.497
-4400.0,-550.0,500.0,90.0,49.497
-7350.0,-500.0,3300.0,90.0,49.497
-6650.0,-500.0,3300.0,90.0,49.497
-7150.0,-500.0,3300.0,90.0,49.497
-6850.0,-500.0,3300.0,90.0,49.497
-8100.00146484375,-550.0,1300.0,90.0,49.497
-8500.0009765625,-550.0,1300.0,90.0,49.497
-3800.0,200.0,150.0,90.0,49.497
-3799.9990234375,200.0,-149.99969482421875,90.0,49.498
