seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
421.940,0.000,-61.220,454.21133,0.00000,-74.77092,421.80121,0.00000,-61.16175,178.95
562.585,0.000,-50.955,536.88098,0.00000,-74.74703,562.69470,0.00000,-50.85330,175.70
592.683,0.000,-7.348,605.63391,0.00000,25.22039,592.62781,0.00000,-7.48758,173.94
61.008,0.000,720.865,26.23946,0.00000,716.42133,61.15671,0.00000,720.88391,173.80
-49.376,0.000,28.500,-50.04301,0.00000,63.55131,-49.37352,0.00000,28.35042,173.45
608.294,0.000,-50.134,583.15564,0.00000,-24.54616,608.39905,0.00000,-50.24079,154.71
337.410,0.000,0.705,311.09042,0.00000,27.54385,337.51520,0.00000,0.59796,137.21
435.561,0.000,-27.927,474.72610,0.00000,-24.63006,435.41174,0.00000,-27.93909,125.88
406.975,0.000,18.046,426.44952,0.00000,53.00837,406.90192,0.00000,17.91499,121.98
755.390,0.000,41.237,717.75073,0.00000,59.05975,755.52527,0.00000,41.17289,114.37
527.548,0.000,-13.871,483.30609,0.00000,-16.35479,527.69769,0.00000,-13.86276,104.34
545.753,0.000,12.504,532.38470,0.00000,54.75096,545.79773,0.00000,12.36086,104.34
-1.845,0.000,1063.888,-31.19324,0.00000,1027.75427,-1.75046,0.00000,1064.00427,98.94
-501.419,0.000,1060.904,-470.12555,0.00000,1025.25232,-501.51773,0.00000,1061.01709,96.43
-200.000,0.000,17.004,-235.00000,0.00000,49.43434,-199.88997,0.00000,16.90199,94.36
-380.599,0.000,385.830,-345.59930,0.00000,420.83002,-380.70541,0.00000,385.72394,90.00
527.104,-0.604,217.466,566.63440,0.00000,187.67799,526.98407,0.00000,217.55667,90.00
-180.000,0.000,1059.383,-215.00000,0.00000,1023.48627,-179.89529,0.00000,1059.48987,88.55
703.406,0.000,437.366,673.26825,80.14000,395.39661,703.49298,80.14000,437.48828,86.31
