seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
1773.940,11768.582,-6336.741,1732.29749,11765.75391,-6319.75732,1774.07861,11765.75398,-6336.79785,102.20
1388.200,11780.108,-8448.191,1355.58887,11780.23535,-8411.15137,1388.30188,11780.23570,-8448.30664,90.34
1762.093,11676.759,-8700.145,1794.88916,11676.75879,-8737.19434,1761.99353,11676.75869,-8700.03223,90.04
2539.184,11676.759,-8747.179,2571.99658,11676.72852,-8784.21582,2539.08252,11676.72842,-8747.06348,90.04
2512.174,11776.976,-8365.983,2479.35376,11776.99512,-8328.93164,2512.27148,11776.99484,-8366.08691,90.00
2562.083,11776.976,-8369.006,2599.13452,11776.59375,-8336.18555,2561.97070,11776.59331,-8369.10449,90.00
1735.174,11778.073,-8318.936,1702.35364,11777.61230,-8281.88477,1735.27368,11777.61214,-8319.04785,90.00
1785.083,11778.073,-8321.957,1822.13428,11777.98730,-8289.13574,1784.97046,11777.98701,-8322.05664,90.00
1712.184,11676.759,-8697.123,1675.11548,11676.72852,-8729.94336,1712.29675,11676.72860,-8697.02344,89.97
2478.073,11776.976,-6110.212,2511.30713,11776.97559,-6146.94336,2477.97217,11776.97559,-6110.10059,89.91
2888.279,11778.462,-8539.022,2925.42334,11777.43359,-8506.20605,2888.16675,11777.43331,-8539.12207,89.85
2489.274,11676.759,-8744.176,2452.22192,11676.75879,-8777.01074,2489.49414,11676.75885,-8743.98145,89.98
1435.087,11676.759,-8501.122,1467.94812,11676.74219,-8538.17969,1434.88489,11676.74226,-8500.89453,89.93
1772.995,11701.759,-8521.592,1806.14661,11701.72363,-8559.01758,1772.89502,11701.72319,-8521.47949,90.00
2553.017,11776.976,-8518.731,2590.44263,11777.13184,-8485.57812,2552.90430,11777.13197,-8518.83008,90.00
1726.108,11778.073,-8468.661,1692.95593,11778.28613,-8431.23438,1726.20740,11778.28570,-8468.77441,90.00
1723.086,11676.759,-8518.569,1685.64282,11676.74219,-8551.71973,1723.19836,11676.74210,-8518.47070,89.97
2835.349,11676.759,-8585.909,2797.78467,11676.74219,-8619.05371,2835.46094,11676.74184,-8585.80957,89.77
