seam_x,seam_y,seam_z,interior,floor
-6700.0,-5500.0,5500.0,180.0,35.0
-6700.0,-5500.0,5900.0,180.0,35.0
-3750.0,-5500.0,5150.0,180.0,35.0
-3600.0,-5700.0,1450.0,180.0,35.0
-3200.0,-5700.0,1450.0,180.0,35.0
-3600.0,-4900.0,7650.0,180.0,35.0
-3200.0,-4900.0,7650.0,180.0,35.0
-6750.0,-5500.0,5500.0,180.0,35.0
-6750.0,-5500.0,5900.0,180.0,35.0
-2700.0,-5500.0,6600.0,153.435,35.962
-3750.0,-5500.0,4400.0,147.995,36.411
-4231.4501953125,-5500.0,4098.08642578125,147.917,36.418
-4022.12060546875,-5500.0,4195.69873046875,147.917,36.418
-2777.87939453125,-5500.0,4195.69873046875,147.917,36.418
-2568.5498046875,-5500.0,4098.08642578125,147.917,36.418
-2776.183837890625,-5500.0,5133.21240234375,136.116,37.733
-3083.065185546875,-5500.0,4826.3310546875,136.084,37.738
-6200.0,-5499.99658203125,5900.0,135.847,37.769
-6000.00048828125,-5500.0,3900.000244140625,135.103,37.87
-5400.0,-5500.0,3300.00048828125,135.103,37.87
-3650.0,-5500.0,5720.74658203125,135.004,37.883
-4050.0,-5500.0,2450.0,135.0,37.884
-1000.0,-5499.99951171875,4200.0,135.0,37.884
-3750.0,-5450.0,5050.0,134.925,37.894
-3650.0,-5500.0,5278.859375,134.927,37.894
-3100.0,-5500.0,4700.0,134.756,37.917
-3500.0,-5500.0,4000.0,122.005,40.016
-4840.0,-5450.0,5350.0,90.0,49.497
-4960.0,-5450.0,5350.0,90.0,49.497
-4840.0,-5450.0,5250.0,90.0,49.497
-4960.0,-5450.0,5250.0,90.0,49.497
-1890.0,-5450.0,5800.0,90.0,49.497
-2010.0,-5450.0,5800.0,90.0,49.497
-1890.0,-5450.0,5700.0,90.0,49.497
-2010.0,-5450.0,5700.0,90.0,49.497
-1050.0,-5500.00048828125,6800.0,90.0,49.497
-3200.0,-5700.0,1500.0,90.0,49.497
-3600.0,-5700.0,1499.9998779296875,90.0,49.497
-3700.0,-5500.0,2450.0,90.0,49.497
-3700.0,-5700.0,1499.9998779296875,90.0,49.497
-3100.0,-5700.0,1500.0,90.0,49.497
-800.0,-5350.0,4100.00048828125,90.0,49.497
-400.0,-5350.0,4100.00048828125,90.0,49.497
-300.0,-4899.99951171875,5000.00048828125,90.0,49.497
-900.0,-5500.00048828125,5100.0,90.0,49.497
-300.0,-5500.0,5099.99951171875,90.0,49.497
-3200.000244140625,-4900.0,7600.00146484375,90.0,49.497
-3600.000244140625,-4900.0,7600.00146484375,90.0,49.497
-300.0,-5500.0,6000.0,90.0,49.497
-3400.000244140625,-5450.0,3999.999755859375,90.0,49.497
-3750.0,-5500.0,5300.0,90.0,49.497
-3650.0,-5500.0,5250.0,90.0,49.497
-3275.000244140625,-5500.0,5250.0,90.0,49.497
-3275.0,-5500.0,5749.99951171875,90.0,49.497
-3750.0,-5500.0,5700.0,90.0,49.497
-3548.0,-5700.0,1480.0,90.0,49.497
-3548.0,-5700.0,1550.0,90.0,49.497
-3630.0,-5700.0,1550.0,90.0,49.497
-3251.999755859375,-5700.0,1550.0,90.0,49.497
-3251.999755859375,-5700.0,1480.0,90.0,49.497
-3170.0,-5700.0,1550.0,90.0,49.497
-3548.000244140625,-4900.0,7550.0,90.0,49.497
-3630.0,-4900.0,7550.0,90.0,49.497
-3170.0,-4900.0,7550.0,90.0,49.497
-3252.0,-4900.0,7550.0,90.0,49.497
-3548.000244140625,-4900.0,7620.0,90.0,49.497
-3252.0,-4900.0,7620.0,90.0,49.497
-6650.0,-5500.0,5551.99951171875,90.0,49.497
-6720.0,-5500.0,5551.99951171875,90.0,49.497
-6650.00048828125,-5500.0,5848.0,90.0,49.497
-5700.0,-5500.0,6800.0,90.0,49.498
-3100.0,-5500.0,2450.0,90.0,49.498
-800.0,-5350.0,4500.00048828125,90.0,49.498
-300.0,-5500.0,4500.0,89.999,49.498
-1000.0,-5500.00048828125,5100.00048828125,90.0,49.498
-3650.0,-5500.0,5750.0,90.0,49.498
-6720.00048828125,-5500.0,5848.0,90.0,49.498
-3128.06591796875,-5450.0,4429.69775390625,66.838,63.549
-3750.00048828125,-5450.0,4550.0,45.0,91.46
-900.0,-5500.0,4500.00048828125,0.028,inf
