seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
6647.009,1000.000,155.727,6612.00879,1000.00000,169.91374,6647.14795,1000.00000,155.67020,135.87
6647.009,1000.000,-155.889,6612.00879,1000.00000,-170.20526,6647.14697,1000.00000,-155.83231,135.51
6747.009,1100.000,-106.413,6712.00879,1100.00000,-120.93542,6747.14795,1100.00000,-106.35563,134.93
6747.009,1100.000,106.251,6712.00879,1100.00000,120.77315,6747.14795,1100.00000,106.19336,134.93
6856.892,1000.000,-369.518,6842.22168,1000.00000,-404.52737,6856.94971,1000.00000,-369.38016,134.46
6856.892,1000.000,372.081,6842.08252,1000.00000,407.08099,6857.00879,1000.00000,371.80423,134.13
5550.000,1000.000,-1000.000,5564.68896,1000.00000,-964.53772,5549.94287,1000.00000,-1000.13690,135.00
7150.000,1000.000,600.000,7114.53809,1000.00000,585.31158,7150.13721,1000.00000,600.05762,135.00
5150.000,1000.000,600.001,5185.46240,1000.00000,585.31171,5149.86182,1000.00000,600.05804,135.00
6750.000,1000.000,-1000.000,6735.31104,1000.00000,-964.53790,6750.05811,1000.00000,-1000.13904,135.00
7150.000,1000.000,-600.000,7114.53809,1000.00000,-585.31079,7150.14014,1000.00000,-600.05786,135.00
3200.000,999.999,500.000,3235.00000,1399.99976,535.00000,3199.89404,1399.99976,499.89392,90.00
3200.000,999.999,1000.000,3235.00000,1399.99976,965.00000,3199.89404,1399.99976,1000.10608,90.00
3200.000,999.999,1100.000,3235.00000,1399.99976,1065.00000,3199.89404,1399.99976,1100.10608,90.00
5150.001,1000.000,150.000,5185.00146,1000.00000,114.99958,5149.89551,1000.00000,150.10606,90.00
5150.000,1375.000,400.000,5185.35352,1000.00000,435.35358,5149.89404,1000.00000,399.89395,90.00
