seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-1926.876,457.880,-3469.943,-1910.39856,456.11569,-3439.05322,-1926.94678,456.11568,-3470.07495,177.24
-469.181,-500.000,-3316.585,-503.13104,-100.00000,-3306.31934,-469.03787,-100.00000,-3316.62842,161.37
-2658.080,500.000,-3336.697,-2623.70410,500.00000,-3345.73608,-2658.22559,500.00000,-3336.65942,174.21
-1397.075,-500.000,-3430.512,-1361.65283,-99.99999,-3434.33252,-1397.21936,-100.00000,-3430.49902,170.22
-1952.838,500.000,-2921.324,-1974.82874,500.00000,-2949.69287,-1952.74646,500.00000,-2921.20581,154.38
-1132.815,-500.000,-3026.753,-1128.53870,-100.00000,-3062.44434,-1132.83289,-100.00000,-3026.60254,161.80
-676.419,-500.000,-3044.839,-685.19086,-100.00000,-3080.00903,-676.38300,-100.00000,-3044.69336,156.53
-2709.542,500.000,-3582.250,-2673.06006,500.00000,-3581.17700,-2709.68994,500.00000,-3582.25513,152.96
-488.886,-500.000,-3466.096,-525.01166,-99.99999,-3472.34424,-488.73782,-100.00000,-3466.07080,145.36
-2650.625,500.000,-3798.990,-2618.99194,500.00000,-3780.09668,-2650.89990,500.00000,-3799.15479,148.72
-1400.984,-500.000,-3607.629,-1365.00049,-99.99999,-3581.48999,-1401.10522,-99.99999,-3607.71704,105.48
-1400.983,-500.000,-3103.308,-1358.34033,-100.00000,-3127.90601,-1401.11328,-100.00000,-3103.23267,91.82
-400.983,-500.000,-3177.630,-448.40500,-100.00000,-3194.01392,-400.84155,-100.00000,-3177.58105,89.60
-400.984,-500.000,-3637.630,-452.00345,-99.99999,-3615.51123,-400.84641,-99.99999,-3637.68994,78.86
