seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-3071.152,2836.807,2055.430,-3058.59009,2840.23901,2088.10400,-3071.22412,2840.23908,2055.30762,179.99
-5353.390,-992.926,-701.164,-5384.64453,504.61981,-685.41083,-5353.25586,504.61983,-701.23120,179.41
-366.750,-1000.000,-1116.084,-401.23764,-0.00015,-1110.10437,-366.60242,-0.00015,-1116.10962,178.78
4794.152,-992.926,2471.705,4829.15039,-0.00015,2472.31006,4794.00195,-0.00015,2471.70215,178.29
3956.432,2166.974,1191.894,3927.86450,2167.53564,1171.66211,3956.55347,2167.53576,1191.98047,177.88
4651.375,2877.803,-2449.668,4667.12549,2877.96826,-2418.38989,4651.31104,2877.96820,-2449.79590,176.16
3216.983,1574.762,232.543,3248.54932,1567.52478,247.78709,3216.84912,1567.52474,232.47832,173.64
-2212.715,0.000,-1981.484,-2177.64502,-0.00015,-1982.57153,-2212.85254,-0.00015,-1981.47998,171.95
-448.155,-613.111,942.561,-412.99008,-0.00015,942.27020,-448.30450,-0.00015,942.56201,168.85
-891.753,-613.111,902.985,-926.31042,-0.00015,896.47266,-891.60504,-0.00015,903.01312,168.85
3230.509,4542.334,-4889.306,3214.89282,4542.48096,-4857.76123,3230.57495,4542.48102,-4889.43896,167.82
-907.480,-613.111,1079.229,-942.73309,-0.00015,1080.50745,-907.33008,-0.00015,1079.22375,165.65
4760.398,2282.462,100.011,4729.59570,2281.84131,82.81497,4760.52930,2281.84123,100.08420,165.62
2658.538,235.323,-7062.695,2683.12695,-0.00015,-7088.04395,2658.43384,-0.00015,-7062.58740,164.68
3671.707,3857.561,-5026.498,3678.31104,3854.26318,-5061.34766,3671.67871,3854.26329,-5026.35010,161.32
3892.981,-992.926,-5387.639,3884.12524,-0.00015,-5422.01709,3893.01904,-0.00015,-5387.49316,179.76
2877.463,4572.820,-5071.945,2864.54688,4570.75928,-5038.87646,2877.51758,4570.75927,-5072.08447,178.85
2795.115,3675.091,-5633.045,2808.05566,3686.03174,-5599.96582,2795.06689,3686.03170,-5633.16797,176.05
5366.095,-992.926,5199.415,5349.40186,-0.00015,5168.04736,5366.16553,-0.00015,5199.54736,160.12
2623.065,3602.023,-5558.805,2638.86743,3612.36987,-5526.96045,2622.99902,3612.36981,-5558.93848,173.90
3109.674,3733.824,-5672.879,3108.94995,3731.98438,-5637.33447,3109.67700,3731.98427,-5673.02930,173.77
2026.272,3595.643,-4713.748,2019.24500,3454.45850,-4748.64697,2026.30127,3454.45848,-4713.60107,171.38
2026.272,3461.048,-4713.748,2019.24500,3454.45850,-4748.64697,2026.30127,3454.45848,-4713.60107,171.38
5360.981,-992.926,-6148.499,5341.96387,-0.00015,-6118.38330,5361.06104,-0.00015,-6148.62549,158.64
3056.125,4566.799,-5000.083,3039.84790,4564.32910,-4968.36768,3056.19165,4564.32900,-5000.21240,169.49
-2762.891,0.000,-585.742,-2740.18115,-0.00015,-558.20715,-2762.98608,-0.00015,-585.85797,157.40
-2762.887,-1000.000,-585.738,-2740.17749,-0.00015,-558.20276,-2762.98242,-0.00015,-585.85370,157.40
-35794.461,-992.926,6023.873,-35772.08984,-0.00015,5996.05615,-35794.55469,-0.00015,6023.98975,157.32
4986.257,-992.926,1663.902,5007.14551,-0.00015,1692.93530,4986.16943,-0.00015,1663.78027,156.23
3339.793,1429.298,-62.530,3370.86597,1429.31592,-44.80960,3339.66333,1429.31597,-62.60429,165.80
-871.120,-613.111,1302.421,-904.45331,-0.00015,1315.48254,-870.98010,-0.00015,1302.36658,155.71
2827.985,3812.916,-5040.853,2820.35913,3679.87671,-5075.91357,2828.01660,3679.87681,-5040.70654,154.56
2827.985,3678.321,-5040.853,2820.35913,3679.87671,-5075.91357,2828.01660,3679.87681,-5040.70654,154.56
2470.319,3764.379,-4843.456,2454.94849,3624.33032,-4875.87646,2470.38477,3624.33042,-4843.31689,163.19
2470.319,3629.784,-4843.456,2454.94849,3624.33032,-4875.87646,2470.38477,3624.33042,-4843.31689,163.19
3640.151,1428.612,-464.112,3663.09302,1428.64600,-436.34839,3640.05591,1428.64597,-464.22754,152.72
-483.766,-613.111,606.373,-449.90311,-0.00015,593.79089,-483.90680,-0.00015,606.42493,151.33
-797.174,-613.111,578.411,-828.27441,-0.00015,560.03253,-797.04449,-0.00015,578.48816,151.33
-3278.303,-992.926,-4878.834,-3306.74976,-0.00015,-4901.14844,-3278.18506,-0.00015,-4878.74170,150.97
1901.445,607.948,-3072.637,1875.97510,563.35547,-3098.35913,1901.55042,563.35545,-3072.53052,157.28
-715.845,-613.111,496.847,-734.00977,-0.00015,465.49432,-715.77014,-0.00015,496.97653,150.01
-549.367,-613.111,511.699,-525.93829,-0.00015,484.05783,-549.46356,-0.00015,511.81354,150.00
-2275.996,0.000,-1183.008,-2242.74121,-0.00015,-1168.40869,-2276.13354,-0.00015,-1183.06836,149.03
5108.195,-992.926,-6463.643,5071.83301,-0.00015,-6464.58838,5108.34473,-0.00015,-6463.63867,148.40
-3646.590,-992.926,1674.397,-3679.60815,-0.00015,1689.98083,-3646.45410,-0.00015,1674.33264,146.91
-1567.648,1416.061,-3232.698,-1595.65857,1416.11731,-3256.25732,-1567.53296,1416.11728,-3232.60132,151.62
211.992,0.000,-2442.188,191.14938,-0.00015,-2472.27856,212.07730,-0.00015,-2442.06519,145.94
