seam_x,seam_y,seam_z,interior,floor
578.30078125,1704.5347900390625,-8295.78125,180.0,35.0
-3116.9140625,1517.4483642578125,2090.60546875,180.0,35.0
-2936.01953125,1429.20361328125,1994.6600341796875,179.927,35.0
-2980.200439453125,1429.20361328125,2018.0760498046875,179.937,35.0
-1866.4527587890625,-999.9998779296875,-2540.705810546875,179.967,35.0
2144.0625,2653.80078125,3160.3515625,176.132,35.02
1931.7578125,3381.68212890625,-5489.12109375,175.378,35.028
-2232.16796875,2.300000051036477e-05,-1486.54296875,174.034,35.047
3757.48046875,1523.3316650390625,-4672.96875,167.694,35.203
1788.4888916015625,1213.970703125,506.0823669433594,162.549,35.41
5905.66162109375,3949.99853515625,-3264.60693359375,160.65,35.505
1919.6903076171875,2641.439208984375,2379.46533203125,160.109,35.534
4889.8193359375,4029.701904296875,-5046.88916015625,158.791,35.608
4847.9296875,1524.1318359375,458.06640625,158.231,35.641
-74.51171875,617.0330200195312,-1798.96484375,156.15,35.772
-871.1196899414062,-613.1112670898438,1302.42138671875,155.712,35.801
-797.1742553710938,-613.1112670898438,578.4114379882812,151.329,36.125
-483.76617431640625,-613.1112670898438,606.3726806640625,151.328,36.125
-715.8453979492188,-613.1112670898438,496.8465881347656,150.007,36.234
-549.3665161132812,-613.1112670898438,511.6991271972656,150.005,36.234
1139.593505859375,2.300000051036477e-05,-2800.5244140625,149.071,36.315
-2872.702392578125,-992.926025390625,-5188.62109375,148.526,36.363
4701.58203125,1578.089599609375,916.58203125,147.955,36.415
4271.875,1491.102294921875,-4393.1640625,143.136,36.893
4415.8984375,1567.5689697265625,-4078.4765625,140.758,37.158
-629.8749389648438,-613.1112670898438,473.6663513183594,139.624,37.291
4235.5830078125,3984.8544921875,-1916.192626953125,138.557,37.421
1835.0390625,3397.11865234375,-4584.70703125,136.762,37.648
5311.19921875,2877.802978515625,-2754.970458984375,134.618,37.936
1968.269775390625,-1000.0,-3653.56787109375,134.08,38.011
3476.831298828125,1420.7239990234375,-2921.309814453125,133.16,38.142
-1309.7354736328125,1416.4603271484375,-3764.37646484375,131.728,38.353
-688.2183837890625,-613.1112670898438,1487.7691650390625,128.644,38.835
-752.0232543945312,-613.1112670898438,1482.0771484375,128.639,38.836
-1959.8336181640625,1416.0589599609375,-2950.421875,128.339,38.885
3014.954833984375,-992.926025390625,-5161.77978515625,125.563,39.358
2379.3095703125,1420.536865234375,-4449.4208984375,123.851,39.667
-744.9323120117188,-999.9998779296875,1933.17041015625,119.515,40.514
6109.5693359375,3942.107177734375,-3949.09765625,115.399,41.408
2653.070068359375,1447.3740234375,-3408.58984375,112.913,41.993
344.6474304199219,-992.926025390625,-8528.841796875,105.263,44.039
-3480.62841796875,0.0,1859.9658203125,103.432,44.589
984.609375,1026.4100341796875,968.90625,95.12,47.426
2203.33984375,2665.52392578125,1777.05078125,94.99,47.476
3740.46875,2166.97412109375,1509.08203125,94.31,47.736
-196.3785858154297,-1000.0,-110.20925903320312,92.429,48.481
-3762.39794921875,1442.823974609375,-1019.0939331054688,90.098,49.455
-3832.967041015625,1442.8240966796875,-1156.3935546875,90.097,49.455
-3464.023681640625,2178.679443359375,-795.9441528320312,90.074,49.466
4431.01708984375,2348.187255859375,-618.2793579101562,90.037,49.482
3424.84765625,2166.97412109375,1315.772705078125,90.031,49.484
-3414.06005859375,2178.679443359375,-797.849609375,90.018,49.49
-2984.8740234375,1429.20361328125,2009.2581787109375,90.003,49.496
-1410.2099609375,1442.8240966796875,2595.610107421875,90.001,49.497
-1566.415283203125,1442.8262939453125,2745.609375,90.0,49.497
-1410.2099609375,1442.8240966796875,2745.610107421875,90.001,49.497
2296.215576171875,1442.8262939453125,2674.660400390625,90.0,49.497
-1566.415283203125,1442.8262939453125,2595.609375,90.0,49.498
2139.630126953125,1442.823974609375,2674.659912109375,89.999,49.498
2296.215576171875,1442.8262939453125,2824.660400390625,90.0,49.498
2139.6298828125,1442.8240966796875,2824.659912109375,89.999,49.498
-2940.704833984375,1429.20361328125,1985.8251953125,89.991,49.501
4381.01708984375,2348.187255859375,-618.2793579101562,89.963,49.513
-2200.916748046875,1425.714111328125,2080.733642578125,89.916,49.534
-3966.49072265625,1442.8240966796875,-1088.0455322265625,89.905,49.539
-3895.921875,1442.823974609375,-950.7459106445312,89.901,49.54
3468.19140625,2166.974365234375,1340.736083984375,89.866,49.555
1821.0546875,3409.508056640625,-4688.28125,89.385,49.765
1717.0323486328125,4486.7841796875,-3168.295166015625,89.11,49.886
4708.46875,2858.18017578125,-768.1438598632812,88.556,50.133
-4124.99853515625,159.6585693359375,-3272.026123046875,83.431,52.597
-2370.37109375,2662.1865234375,1773.7890625,78.589,55.265
5041.15234375,2153.1318359375,-595.52734375,71.907,59.612
-1427.578125,1417.4835205078125,-4050.3515625,66.154,64.13
-2369.12109375,1416.081298828125,-3067.1484375,62.155,67.803
