seam_x,seam_y,seam_z,interior,floor
-1830.0,-1000.0000610351562,2790.000732421875,156.367,35.758
901.84375,-200.00001525878906,3068.190673828125,141.815,37.037
-2390.000244140625,-1000.0000610351562,2080.000732421875,140.862,37.146
-540.0,9.999999974752427e-07,520.000732421875,136.833,37.639
-2276.50830078125,-999.9998779296875,2403.920654296875,131.491,38.389
-2159.999755859375,-999.9998779296875,2720.00048828125,122.21,39.977
-1677.412841796875,-1000.0000610351562,2899.27783203125,120.187,40.376
-2920.000244140625,-999.9998779296875,1639.9990234375,118.449,40.737
370.0000305175781,9.999999974752427e-07,570.0007934570312,103.422,44.592
-1704.6055908203125,-1000.0000610351562,3185.805908203125,90.88,49.122
-2146.608642578125,-999.9998779296875,2162.417724609375,80.432,54.207
-259.9998779296875,9.999999974752427e-07,900.00146484375,37.026,110.23
