seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-75.000,-100.000,1675.000,-40.00000,-99.99996,1710.00000,-75.10607,-99.99996,1674.89404,90.00
-75.000,-550.000,0.000,-40.00000,-550.00000,-35.00000,-75.10606,-550.00000,0.10607,90.00
75.000,-550.000,0.000,40.00000,-550.00000,-35.00000,75.10606,-550.00000,0.10607,90.00
-75.000,-550.000,125.000,-40.00000,-550.00000,160.00000,-75.10607,-550.00000,124.89394,90.00
-150.000,-150.000,1300.000,-115.00002,-125.00000,1265.00000,-150.10608,-125.00000,1300.10608,90.00
150.000,-150.000,1300.000,115.00002,-125.00000,1265.00000,150.10608,-125.00000,1300.10608,90.00
-75.000,-100.000,325.000,-40.00000,-100.00000,360.00000,-75.10607,-100.00000,324.89395,90.00
-75.000,-550.000,-3150.000,-40.00000,-550.00000,-3115.00000,-75.10607,-550.00000,-3150.10620,90.00
75.000,-550.000,-3150.000,40.00000,-550.00000,-3115.00000,75.10606,-550.00000,-3150.10620,90.00
75.000,-550.000,-3250.000,40.00000,-549.99994,-3285.00000,75.10606,-549.99994,-3249.89380,90.00
