seam_x,seam_y,seam_z,interior,floor
-425.0,-550.0,104.4854965209961,180.0,35.0
-450.0,-550.0,150.0,180.0,35.0
425.0,-550.0,104.4854965209961,180.0,35.0
450.0,-550.0,150.0,180.0,35.0
-425.0,-100.0,300.0,180.0,35.0
-450.0,-100.0,350.0,180.0,35.0
-450.0,-100.0,600.0,180.0,35.0
-450.0,-100.0,650.0,180.0,35.0
-450.0,-100.0,905.2066650390625,180.0,35.0
425.0,-100.0,300.0,180.0,35.0
450.0,-100.0,350.0,180.0,35.0
450.0,-100.0,600.0,180.0,35.0
450.0,-100.0,650.0,180.0,35.0
450.0,-100.0,905.2066650390625,180.0,35.0
-450.0,-100.0,955.2066650390625,180.0,35.0
-450.0,-100.0,1255.2066650390625,180.0,35.0
-450.0,-100.0,1205.2066650390625,180.0,35.0
-425.0,-100.0,1550.0,180.0,35.0
-450.0,-100.0,1500.0,180.0,35.0
450.0,-100.0,955.2066650390625,180.0,35.0
450.0,-100.0,1255.2066650390625,180.0,35.0
450.0,-100.0,1205.2066650390625,180.0,35.0
425.0,-100.0,1550.0,180.0,35.0
450.0,-100.0,1500.0,180.0,35.0
-425.0,-550.0,145.51451110839844,100.172,45.632
425.0,-550.0,145.51451110839844,100.172,45.632
-425.0,-100.0,345.5145263671875,100.172,45.632
-425.0,-100.0,604.4855346679688,100.172,45.632
-425.0,-100.0,645.5145263671875,100.172,45.632
-425.0,-100.0,909.692138671875,100.172,45.632
425.0,-100.0,345.5145263671875,100.172,45.632
425.0,-100.0,645.5145263671875,100.172,45.632
425.0,-100.0,604.4855346679688,100.172,45.632
425.0,-100.0,909.692138671875,100.172,45.632
-425.0,-100.0,950.72119140625,100.172,45.632
-425.0,-100.0,1209.6922607421875,100.172,45.632
-425.0,-100.0,1250.72119140625,100.172,45.632
-425.0,-100.0,1504.4854736328125,100.172,45.632
425.0,-100.0,950.72119140625,100.172,45.632
425.0,-100.0,1250.72119140625,100.172,45.632
425.0,-100.0,1209.6922607421875,100.172,45.632
425.0,-100.0,1504.4854736328125,100.172,45.632
-150.0,-1000.0,-3150.0,90.0,49.497
-150.0,-1000.0,-2900.0,90.0,49.497
150.0,-1000.0,-2900.0,90.0,49.497
-75.0,-550.0,-3125.0,90.0,49.497
150.0,-1000.0,-3150.0,90.0,49.497
75.0,-550.0,-3125.0,90.0,49.497
-75.0,-550.0,0.0,90.0,49.497
-75.0,-550.0,-25.0,90.0,49.497
75.0,-550.0,-25.0,90.0,49.497
-400.0,-1000.0,-600.0,90.0,49.497
-200.0,-1000.0,-600.0,90.0,49.497
-600.0,-1000.0,-600.0,90.0,49.497
-75.0,-550.0,100.0,90.0,49.497
75.0,-100.0,1550.0,90.0,49.497
-75.0,-100.0,1550.0,90.0,49.497
-75.0,-100.0,1650.0,90.0,49.497
75.0,-100.0,300.0,90.0,49.497
75.0,-100.0,50.0,90.0,49.497
-75.0,-100.0,50.0,90.0,49.497
-75.0,-100.0,300.0,90.0,49.497
-75.0,-550.0,-3250.0,90.0,49.497
-300.0,-550.0,-3850.0,90.0,49.497
300.0,-550.0,-3850.0,90.0,49.497
-300.0,-550.0,-3250.0,90.0,49.497
300.0,-550.0,-3250.0,90.0,49.497
-75.0,-550.0,-3275.0,90.0,49.497
75.0,-550.0,-3275.0,90.0,49.497
-149.99998474121094,-550.0,450.0000305175781,90.0,49.497
150.00001525878906,-550.0,450.0000305175781,90.0,49.497
-75.0,-550.0,125.0,90.0,49.497
-450.0,-550.0,100.0,90.0,49.497
-450.0,-550.0,450.0,90.0,49.497
75.0,-550.0,125.0,90.0,49.497
450.0,-550.0,100.0,90.0,49.497
450.0,-550.0,450.0,90.0,49.497
-75.0,-100.0,1675.0,90.0,49.497
75.0,-100.0,1675.0,90.0,49.497
-300.0,-100.0,1650.0,90.0,49.497
300.0,-100.0,1650.0,90.0,49.497
-300.0,-100.0,2250.0,90.0,49.497
300.0,-100.0,2250.0,90.0,49.497
-75.0,-100.0,325.0,90.0,49.497
-450.0,-100.0,300.0,90.0,49.497
-450.0,-100.0,1550.0,90.0,49.497
75.0,-100.0,325.0,90.0,49.497
450.0,-100.0,300.0,90.0,49.497
450.0,-100.0,1550.0,90.0,49.497
-75.0,-100.0,1525.0,90.0,49.497
75.0,-100.0,1525.0,90.0,49.497
