seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
453.605,0.000,-527.839,422.96252,0.00000,-510.77991,453.73660,0.00000,-527.91211,172.68
71.836,0.000,-503.327,106.49380,325.00000,-494.30869,71.69049,325.00000,-503.36511,155.55
-11.243,0.000,-619.147,-17.69333,325.00000,-654.41998,-11.21632,325.00000,-618.99982,154.89
-255.378,0.000,-432.274,-233.03670,300.00003,-460.32156,-255.47148,300.00003,-432.15707,154.89
-397.214,0.000,-135.756,-433.19733,0.00000,-141.48940,-397.06552,0.00000,-135.73259,147.70
-310.181,0.000,-81.431,-290.01727,0.00000,-50.89241,-310.26346,0.00000,-81.55645,146.04
-237.425,0.000,-336.904,-206.86201,0.00000,-316.54990,-237.54970,0.00000,-336.98764,144.78
74.532,0.000,-568.770,109.95927,325.00000,-578.42932,74.38693,325.00000,-568.73029,144.78
-183.345,0.000,97.681,-147.51730,0.00000,87.86662,-183.48970,0.00000,97.72101,140.85
-334.535,0.000,-185.915,-329.56192,0.00000,-223.10069,-334.55527,0.00000,-185.76624,137.79
360.039,0.000,-724.480,333.48026,0.00000,-697.74146,360.14420,0.00000,-724.58655,140.50
75.064,115.000,-206.058,49.64397,115.00005,-233.92169,75.16491,115.00005,-205.94748,140.25
-35.430,115.000,-316.552,-10.00967,115.00006,-288.68823,-35.53065,115.00006,-316.66248,140.25
-223.792,0.000,39.694,-203.16640,0.00000,8.08491,-223.87350,0.00000,39.81984,136.04
-352.160,0.000,-428.402,-381.77982,0.00000,-452.03271,-352.04257,0.00000,-428.30841,134.94
-73.449,0.000,-541.796,-110.88735,325.00000,-534.25854,-73.30172,325.00000,-541.82562,132.83
19.817,115.000,-183.174,19.81715,115.00006,-221.55807,19.81715,115.00006,-183.02441,135.00
19.817,115.000,-339.436,19.81712,115.00006,-301.05185,19.81713,115.00006,-339.58560,135.00
-292.166,0.000,-162.695,-261.34995,200.05537,-185.71825,-292.28656,200.05537,-162.60553,130.97
-391.825,0.000,-92.469,-424.48318,0.00000,-71.48325,-391.69919,0.00000,-92.55032,128.74
-378.582,0.000,-175.350,-403.09238,0.00000,-205.46310,-378.48679,0.00000,-175.23328,128.69
-281.937,0.000,-115.588,-244.12523,0.00000,-106.39238,-282.08374,0.00000,-115.62316,128.16
-61.300,0.000,-597.984,-91.66820,325.00000,-623.14453,-61.18407,325.00000,-597.88867,125.12
-303.043,0.000,-455.504,-304.04340,0.00000,-494.92667,-303.03915,0.00000,-455.34930,125.13
43.338,0.000,-617.058,62.86266,325.00000,-651.33606,43.26401,325.00000,-616.92755,125.05
-287.286,0.000,-296.918,-279.92462,0.00000,-257.95621,-287.31366,0.00000,-297.06522,123.94
-351.225,0.000,-316.869,-379.69382,0.00000,-289.08865,-351.11755,0.00000,-316.97397,123.26
-64.498,115.000,-261.305,-24.44888,115.00006,-261.30502,-64.64796,115.00006,-261.30502,124.50
104.132,115.000,-261.305,64.08318,115.00005,-261.30490,104.28226,115.00005,-261.30490,124.50
72.583,0.000,850.000,41.90924,0.00000,814.62225,72.68124,0.00000,850.11328,98.15
22.808,0.000,-406.323,71.73270,325.00000,-425.53122,22.66870,325.00000,-406.26825,83.50
16.358,0.000,-413.382,-37.20382,325.00000,-428.89862,16.50187,325.00000,-413.34006,77.75
