seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-2029.051,5433.128,2022.187,-2006.47339,5433.12842,1995.43323,-2029.14795,5433.12842,2022.30176,177.64
755.265,350.000,816.037,772.03925,358.00391,785.30621,755.19312,358.00391,816.16888,177.12
-799.058,350.000,-380.330,-775.54431,358.00391,-354.38721,-799.15833,358.00392,-380.44128,176.88
2243.888,350.000,-10.747,2229.39697,358.00385,21.18134,2243.94971,358.00383,-10.88387,173.13
1568.130,350.000,-683.630,1534.83630,358.00385,-672.35107,1568.27185,358.00385,-683.67834,169.33
-2210.492,100.000,-12.184,-2245.50952,150.00000,-8.93513,-2210.34033,150.00000,-12.19788,168.81
-988.310,350.000,454.034,-1002.48438,358.00391,421.70459,-988.25024,358.00390,454.17130,165.05
1684.211,350.000,-423.521,1654.15356,358.00385,-404.99161,1684.33911,358.00385,-423.60001,164.80
-2546.951,100.000,783.252,-2533.48022,150.00000,750.60388,-2547.00806,150.00000,783.39081,164.61
-356.304,350.000,-804.159,-328.55206,358.00394,-782.27325,-356.42191,358.00393,-804.25146,164.02
-2097.381,100.000,-965.369,-2129.97705,150.00000,-979.22119,-2097.24292,150.00000,-965.30994,162.39
454.081,220.004,1922.260,456.53983,270.00391,1957.68262,454.06961,270.00391,1922.11047,177.56
1075.900,350.000,-1190.571,1048.43555,358.00388,-1168.02417,1076.02344,358.00387,-1190.67261,160.11
-1020.338,350.000,-190.495,-1002.53979,358.00391,-159.64922,-1020.41266,358.00391,-190.62524,158.72
-2242.138,100.000,960.049,-2218.43970,150.00000,933.33313,-2242.23511,150.00000,960.15784,157.08
-2134.734,100.000,381.318,-2167.72534,150.00000,395.08893,-2134.59570,150.00000,381.25998,156.48
850.000,350.000,1850.000,864.75275,358.00394,1882.73767,849.93842,358.00392,1849.86328,154.17
1271.963,350.000,-1022.100,1255.32141,358.00388,-990.25360,1272.03271,358.00386,-1022.23358,153.84
-805.867,350.000,343.770,-816.87341,358.00391,309.52640,-805.82147,358.00391,343.91302,153.34
-2796.555,100.000,717.640,-2796.24487,150.00000,681.53278,-2796.55615,150.00000,717.79022,151.53
-2180.132,220.004,1384.639,-2144.51611,270.00391,1390.60950,-2180.28076,270.00391,1384.61353,151.47
1920.088,350.000,-134.872,1898.87305,358.00385,-105.52076,1920.17590,358.00384,-134.99332,150.23
-3098.134,320.004,1698.310,-3070.08496,320.00391,1675.33435,-3098.24976,320.00391,1698.40527,156.37
-213.194,400.004,3179.515,-188.69334,400.00391,3152.75732,-213.29558,400.00391,3179.62573,156.03
267.869,400.004,3232.956,251.54840,400.00391,3200.54956,267.93695,400.00391,3233.08984,155.97
-2530.536,100.000,-1500.947,-2498.16406,150.00000,-1484.50134,-2530.67017,150.00000,-1501.01562,149.12
373.425,350.000,-1393.095,407.84259,358.00391,-1381.31335,373.28354,358.00390,-1393.14343,148.36
-2114.905,220.004,2501.685,-2084.53003,270.00391,2481.65039,-2115.02954,270.00391,2501.76758,154.47
-1676.683,220.004,2922.294,-1658.36462,270.00391,2890.69043,-1676.75842,270.00391,2922.42432,152.54
-2512.145,100.000,-1591.386,-2479.16089,150.00000,-1575.51843,-2512.28882,150.00000,-1591.45520,151.61
-899.700,400.004,-2597.080,-869.89154,400.00391,-2575.77759,-899.82172,400.00391,-2597.16748,145.61
-149.517,350.000,292.259,-141.40308,358.00394,256.51416,-149.55035,358.00393,292.40488,145.45
2249.609,905.243,1772.588,2217.90845,358.00388,1791.03186,2249.73901,358.00388,1772.51208,145.22
-1406.606,350.000,57.431,-1370.51025,358.00391,64.09958,-1406.75330,358.00389,57.40364,144.92
239.646,350.000,-1200.012,261.91019,358.00391,-1170.68982,239.55525,358.00391,-1200.13110,143.85
565.627,400.004,2994.009,535.54962,400.00391,2972.65234,565.74963,400.00391,2994.09570,148.25
1132.185,366.000,1636.029,1163.01001,358.00391,1656.57910,1132.05933,358.00391,1635.94543,141.72
1132.185,350.000,1636.029,1163.01001,358.00391,1656.57910,1132.05933,358.00391,1635.94543,141.72
-1162.815,220.004,3073.247,-1163.11829,270.00391,3036.18066,-1162.81421,270.00391,3073.39697,146.32
1064.890,350.000,975.085,1091.74219,358.00391,949.53088,1064.78125,358.00390,975.18848,141.54
-448.130,220.004,2850.550,-468.93747,270.00391,2819.87256,-448.04578,270.00391,2850.67432,146.32
-448.130,400.004,2850.550,-468.93747,270.00391,2819.87256,-448.04578,270.00391,2850.67432,146.32
1216.690,350.000,1310.492,1253.67297,358.00391,1307.32166,1216.54065,358.00390,1310.50464,141.10
-217.947,350.000,-1041.236,-194.24295,358.00394,-1012.41370,-218.04187,358.00393,-1041.35193,139.40
-1192.799,350.000,513.442,-1189.98401,358.00391,476.17743,-1192.81055,358.00390,513.59204,138.96
-1333.148,350.000,-80.687,-1308.66235,358.00391,-52.18836,-1333.24536,358.00390,-80.80072,137.35
-1323.370,400.004,-2274.895,-1313.48450,400.00391,-2238.44189,-1323.40894,400.00391,-2275.04028,135.84
391.453,350.000,-1728.428,427.18063,358.00391,-1741.01697,391.31183,358.00389,-1728.37842,135.03
29.446,350.000,-2131.925,65.22202,358.00391,-2144.45972,29.30442,358.00390,-2131.87573,134.82
-1846.880,100.000,-1368.894,-1884.65674,150.00000,-1375.27820,-1846.73181,150.00000,-1368.86841,135.52
-2.046,400.004,3303.849,3.22510,400.00391,3265.80054,-2.06683,400.00391,3303.99805,134.79
-3260.693,320.004,1386.099,-3222.12866,320.00391,1383.38513,-3260.84253,320.00391,1386.10974,133.04
-803.182,400.004,-2887.978,-774.81714,400.00391,-2860.89160,-803.29095,400.00391,-2888.08203,129.35
-2824.649,320.004,1918.671,-2815.63037,320.00391,1880.41113,-2824.68384,320.00391,1918.81738,128.81
-1359.616,350.000,436.221,-1327.27502,358.00391,412.62357,-1359.73730,358.00389,436.30905,121.91
1026.435,350.000,2798.275,1036.49133,358.00131,2757.08057,1026.39783,358.00131,2798.42944,179.98
-2016.723,400.004,-2358.887,-1997.79736,400.00391,-2320.91821,-2016.79016,400.00391,-2359.02246,113.20
-1931.310,100.000,-1745.203,-1960.28369,150.00000,-1712.61292,-1931.20996,150.00000,-1745.31580,108.57
-2347.514,400.004,-1788.374,-2323.98975,150.00000,-1750.74573,-2347.58936,150.00000,-1788.49475,170.22
-2347.514,100.000,-1788.374,-2323.98975,150.00000,-1750.74573,-2347.58936,150.00000,-1788.49475,170.22
674.686,5861.317,-2508.460,684.63470,5861.31738,-2462.23047,674.65503,5861.31738,-2508.60571,96.84
668.110,350.000,2704.590,645.85132,400.00391,2662.59399,668.17883,400.00391,2704.71973,94.85
668.110,400.004,2704.590,645.85138,400.00391,2662.59399,668.17883,400.00391,2704.71973,94.85
-2212.073,220.004,1000.000,-2205.07227,150.00000,950.50763,-2212.09399,150.00000,1000.14917,90.03
-2212.073,100.000,1000.000,-2205.07227,150.00000,950.50763,-2212.09399,150.00000,1000.14917,90.03
-1879.523,220.004,750.000,-1929.04309,150.00000,742.99854,-1879.37415,150.00000,750.02106,89.96
-1879.523,100.000,750.000,-1929.04309,150.00000,742.99854,-1879.37415,150.00000,750.02106,89.96
2412.327,350.000,2488.594,2368.58838,358.00388,2454.06958,2412.44360,358.00389,2488.68555,77.82
2628.743,350.000,192.577,2571.97729,358.00381,202.17096,2628.89111,358.00382,192.55186,74.88
-3046.159,320.004,778.686,-2991.23071,150.00000,728.97565,-3046.27026,150.00000,778.78650,56.80
-3046.159,100.000,778.686,-2991.23071,150.00000,728.97565,-3046.27026,150.00000,778.78650,56.80
