seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
99.145,850.000,-1132.770,63.89111,900.00000,-1132.77026,99.29524,900.00000,-1132.77026,166.23
-231.043,850.000,-973.918,-213.61835,900.00000,-938.91821,-231.10976,900.00000,-974.05249,127.07
141.611,850.000,-973.918,124.18626,900.00000,-938.91821,141.67767,900.00000,-974.05249,127.07
525.835,900.000,-1585.446,493.68771,900.00006,-1561.81860,525.95612,900.00005,-1585.53503,122.63
-47.748,155.923,-471.382,-67.95495,155.92303,-506.38190,-47.67270,155.92303,-471.25198,120.00
-47.748,222.689,-471.382,-67.95495,155.92303,-506.38190,-47.67270,155.92303,-471.25198,120.00
954.066,900.000,-1496.097,918.64429,1085.57922,-1473.54883,954.19196,1085.57922,-1496.17700,115.04
-326.590,850.000,-1291.623,-351.96045,900.00000,-1326.62280,-326.50150,900.00000,-1291.50110,108.12
454.341,155.923,-577.181,489.34067,155.92303,-612.18146,454.23459,155.92303,-577.07538,90.00
454.341,155.923,-470.115,489.34067,155.92302,-435.11475,454.23459,155.92302,-470.22083,90.00
354.341,155.923,-399.719,389.34067,252.38162,-364.71924,354.23459,252.38162,-399.82532,90.00
270.010,255.923,-413.221,305.01004,255.92300,-448.22070,269.90396,255.92300,-413.11462,90.00
354.341,255.923,-399.719,389.34067,252.38162,-364.71924,354.23459,252.38162,-399.82532,90.00
270.010,255.923,-470.115,305.36359,217.41389,-505.46829,269.90393,217.41389,-470.00870,90.00
354.341,255.923,-413.221,389.69421,155.92302,-448.57425,354.23459,155.92302,-413.11462,90.00
