seam_x,seam_y,seam_z,interior,floor
-595.0,0.0,-875.0,180.0,35.0
-525.0,0.0,-805.0,180.0,35.0
-525.0,0.0,-875.0,180.0,35.0
-455.0,0.0,-805.0,180.0,35.0
-455.0,0.0,-875.0,180.0,35.0
-665.0,0.0,-735.0,180.0,35.0
-665.0,0.0,-665.0,180.0,35.0
-595.0,0.0,-735.0,180.0,35.0
-525.0,0.0,-665.0,180.0,35.0
-455.0,0.0,-665.0,180.0,35.0
-385.0,0.0,-805.0,180.0,35.0
-385.0,0.0,-875.0,180.0,35.0
-315.0,0.0,-875.0,180.0,35.0
-245.0,0.0,-875.0,180.0,35.0
-175.0,0.0,-875.0,180.0,35.0
-105.0,0.0,-875.0,180.0,35.0
-35.0,0.0,-875.0,180.0,35.0
-175.0,0.0,-805.0,180.0,35.0
-105.0,0.0,-805.0,180.0,35.0
-35.0,0.0,-805.0,180.0,35.0
-385.0,0.0,-665.0,180.0,35.0
-315.0,0.0,-735.0,180.0,35.0
-35.0,0.0,-665.0,180.0,35.0
-105.0,0.0,-665.0,180.0,35.0
-245.0,0.0,-735.0,180.0,35.0
-175.0,0.0,-665.0,180.0,35.0
-665.0,0.0,-525.0,180.0,35.0
-665.0,0.0,-455.0,180.0,35.0
-665.0,0.0,-595.0,180.0,35.0
-595.0,0.0,-525.0,180.0,35.0
-595.0,0.0,-455.0,180.0,35.0
-525.0,0.0,-595.0,180.0,35.0
-455.0,0.0,-595.0,180.0,35.0
-665.0,0.0,-385.0,180.0,35.0
-665.0,0.0,-315.0,180.0,35.0
-665.0,0.0,-245.0,180.0,35.0
-595.0,0.0,-315.0,180.0,35.0
-595.0,0.0,-385.0,180.0,35.0
-455.0,0.0,-245.0,180.0,35.0
-525.0,0.0,-245.0,180.0,35.0
-315.0,0.0,-525.0,180.0,35.0
-315.0,0.0,-455.0,180.0,35.0
-385.0,0.0,-595.0,180.0,35.0
-105.0,0.0,-595.0,180.0,35.0
-35.0,0.0,-595.0,180.0,35.0
-245.0,0.0,-525.0,180.0,35.0
-245.0,0.0,-455.0,180.0,35.0
-175.0,0.0,-595.0,180.0,35.0
-385.0,0.0,-245.0,180.0,35.0
-315.0,0.0,-385.0,180.0,35.0
-315.0,0.0,-315.0,180.0,35.0
-245.0,0.0,-315.0,180.0,35.0
-245.0,0.0,-385.0,180.0,35.0
-175.0,0.0,-245.0,180.0,35.0
-105.0,0.0,-245.0,180.0,35.0
-35.0,0.0,-245.0,180.0,35.0
35.0,0.0,-875.0,180.0,35.0
105.0,0.0,-875.0,180.0,35.0
175.0,0.0,-875.0,180.0,35.0
105.0,0.0,-735.0,180.0,35.0
35.0,0.0,-735.0,180.0,35.0
175.0,0.0,-805.0,180.0,35.0
245.0,0.0,-805.0,180.0,35.0
315.0,0.0,-805.0,180.0,35.0
665.0,0.0,-875.0,180.0,35.0
595.0,0.0,-875.0,180.0,35.0
455.0,0.0,-875.0,180.0,35.0
385.0,0.0,-875.0,180.0,35.0
525.0,0.0,-875.0,180.0,35.0
945.0,0.0,-805.0,180.0,35.0
735.0,0.0,-875.0,180.0,35.0
805.0,0.0,-875.0,180.0,35.0
875.0,0.0,-875.0,180.0,35.0
595.0,0.0,-805.0,180.0,35.0
525.0,0.0,-805.0,180.0,35.0
665.0,0.0,-805.0,180.0,35.0
385.0,0.0,-805.0,180.0,35.0
455.0,0.0,-805.0,180.0,35.0
735.0,0.0,-805.0,180.0,35.0
805.0,0.0,-805.0,180.0,35.0
875.0,9.600000339560211e-05,-735.0,180.0,35.0
945.0,9.600000339560211e-05,-735.0,180.0,35.0
175.0,0.0,-665.0,180.0,35.0
35.0,0.0,-595.0,180.0,35.0
105.0,0.0,-595.0,180.0,35.0
175.0,0.0,-595.0,180.0,35.0
315.0,0.0,-665.0,180.0,35.0
245.0,0.0,-665.0,180.0,35.0
245.0,0.0,-595.0,180.0,35.0
315.0,0.0,-525.0,180.0,35.0
175.0,0.0,-245.0,180.0,35.0
105.0,0.0,-245.0,180.0,35.0
35.0,0.0,-245.0,180.0,35.0
315.0,0.0,-455.0,180.0,35.0
315.0,0.0,-385.0,180.0,35.0
315.0,0.0,-315.0,180.0,35.0
245.0,0.0,-245.0,180.0,35.0
385.0,0.0,-525.0,180.0,35.0
385.0,0.0,-595.0,180.0,35.0
385.0,0.0,-315.0,180.0,35.0
385.0,0.0,-245.0,180.0,35.0
-665.0,0.0,-175.0,180.0,35.0
-595.0,0.0,-105.0,180.0,35.0
-525.0,0.0,-175.0,180.0,35.0
-665.0,0.0,-105.0,180.0,35.0
-665.0,0.0,-35.0,180.0,35.0
-525.0,0.0,-35.0,180.0,35.0
-455.0,0.0,-35.0,180.0,35.0
-385.0,0.0,-35.0,180.0,35.0
-455.0,0.0,-175.0,180.0,35.0
-385.0,0.0,-175.0,180.0,35.0
-665.0,0.0,35.0,180.0,35.0
-665.0,0.0,105.0,180.0,35.0
-525.0,0.0,35.0,180.0,35.0
-595.0,0.0,105.0,180.0,35.0
-665.0,0.0,175.0,180.0,35.0
-525.0,0.0,175.0,180.0,35.0
-455.0,0.0,105.0,180.0,35.0
-385.0,0.0,105.0,180.0,35.0
-385.0,0.0,175.0,180.0,35.0
-315.0,0.0,-175.0,180.0,35.0
-245.0,0.0,-175.0,180.0,35.0
-175.0,0.0,-175.0,180.0,35.0
-35.0,0.0,-105.0,180.0,35.0
-105.0,0.0,-105.0,180.0,35.0
-315.0,0.0,-35.0,180.0,35.0
-245.0,0.0,-35.0,180.0,35.0
-175.0,0.0,-35.0,180.0,35.0
-315.0,0.0,35.0,180.0,35.0
-245.0,0.0,35.0,180.0,35.0
-175.0,0.0,35.0,180.0,35.0
-105.0,0.0,35.0,180.0,35.0
-35.0,0.0,35.0,180.0,35.0
-525.0,0.0,245.0,180.0,35.0
-385.0,0.0,245.0,180.0,35.0
-385.0,0.0,315.0,180.0,35.0
-455.0,0.0,315.0,180.0,35.0
-455.0,0.0,385.0,180.0,35.0
-385.0,0.0,455.0,180.0,35.0
-315.0,0.0,385.0,180.0,35.0
-245.0,0.0,385.0,180.0,35.0
-175.0,0.0,385.0,180.0,35.0
-315.0,0.0,455.0,180.0,35.0
-245.0,0.0,455.0,180.0,35.0
-175.0,0.0,455.0,180.0,35.0
-105.0,0.0,525.0,180.0,35.0
-35.0,0.0,525.0,180.0,35.0
-105.0,0.0,385.0,180.0,35.0
-35.0,0.0,385.0,180.0,35.0
-105.0,0.0,595.0,180.0,35.0
-105.0,0.0,665.0,180.0,35.0
-35.0,0.0,595.0,180.0,35.0
-35.0,0.0,665.0,180.0,35.0
-105.0,0.0,735.0,180.0,35.0
-35.0,0.0,735.0,180.0,35.0
35.0,0.0,-175.0,180.0,35.0
175.0,0.0,-105.0,180.0,35.0
105.0,0.0,-105.0,180.0,35.0
35.0,0.0,-35.0,180.0,35.0
35.0,0.0,35.0,180.0,35.0
105.0,0.0,105.0,180.0,35.0
175.0,0.0,105.0,180.0,35.0
245.0,0.0,-35.0,180.0,35.0
315.0,0.0,-35.0,180.0,35.0
245.0,0.0,-175.0,180.0,35.0
315.0,0.0,-175.0,180.0,35.0
245.0,0.0,35.0,180.0,35.0
315.0,0.0,105.0,180.0,35.0
385.0,0.0,35.0,180.0,35.0
385.0,0.0,105.0,180.0,35.0
105.0,0.0,175.0,180.0,35.0
105.0,0.0,245.0,180.0,35.0
105.0,0.0,315.0,180.0,35.0
175.0,0.0,245.0,180.0,35.0
175.0,0.0,175.0,180.0,35.0
175.0,0.0,315.0,180.0,35.0
35.0,0.0,385.0,180.0,35.0
35.0,0.0,455.0,180.0,35.0
105.0,0.0,455.0,180.0,35.0
175.0,0.0,455.0,180.0,35.0
315.0,0.0,175.0,180.0,35.0
315.0,0.0,245.0,180.0,35.0
315.0,0.0,315.0,180.0,35.0
385.0,0.0,245.0,180.0,35.0
385.0,0.0,175.0,180.0,35.0
385.0,0.0,315.0,180.0,35.0
245.0,0.0,385.0,180.0,35.0
244.99998474121094,0.0,455.0,180.0,35.0
314.9999694824219,0.0,455.0,180.0,35.0
385.0,0.0,385.0,180.0,35.0
464.16168212890625,-33.34170913696289,1480.6485595703125,180.0,35.0
464.16168212890625,-33.34175109863281,1554.7796630859375,180.0,35.0
909.9998168945312,55.0,-660.0000610351562,180.0,35.0
-163.79331970214844,0.00011100000119768083,2210.0,180.0,35.0
-13.793313026428223,0.00011300000187475234,2210.0,180.0,35.0
-590.5695190429688,-1.9999999949504854e-06,860.0,180.0,35.0
-540.5695190429688,-9.999999974752427e-07,810.0,180.0,35.0
459.43048095703125,0.0,860.0,180.0,35.0
409.43048095703125,0.0,810.0,180.0,35.0
-590.5696411132812,9.999999974752427e-07,1960.0,180.0,35.0
-540.5696411132812,3.999999989900971e-06,2010.0,180.0,35.0
-214.78485107421875,0.00010299999848939478,2010.0,180.0,35.0
37.1982421875,0.00010099999781232327,2010.0,180.0,35.0
409.43048095703125,4.999999873689376e-06,2010.0,180.0,35.0
459.43048095703125,9.999999974752427e-07,1960.0,180.0,35.0
683.4510498046875,0.0001990000018849969,-430.5866394042969,151.29,36.128
945.0,0.0001990000018849969,-660.0,116.192,41.228
410.0777587890625,-33.34163284301758,1480.6798095703125,90.033,49.483
-665.0,-300.0,-875.0,90.0,49.497
-665.0,-300.0,-805.0,90.0,49.497
-875.0,-300.0,-875.0001831054688,90.0,49.497
-875.0,-300.0,-805.0001831054688,90.0,49.497
315.0,-300.0,-874.9998168945312,90.0,49.497
245.0,-300.0,-874.9998168945312,90.0,49.497
315.0,-300.0,-1084.999755859375,90.0,49.497
245.0,-300.0,-1084.999755859375,90.0,49.497
385.0,-300.0,-385.0,90.0,49.497
385.0,-300.0,-455.0,90.0,49.497
595.0,-300.0,-385.0,90.0,49.497
595.0,-300.0,-455.0,90.0,49.497
-945.0,-1.9999999949504854e-06,-875.0,90.0,49.497
-945.0,-1.9999999949504854e-06,-805.0,90.0,49.497
-595.0,0.0,-665.0,90.0,49.497
-315.0,0.0,-805.0,90.0,49.497
-245.0,0.0,-805.0,90.0,49.497
-315.0,0.0,-665.0,90.0,49.497
-245.0,0.0,-665.0,90.0,49.497
-595.0,0.0,-595.0,90.0,49.497
-595.0,0.0,-245.0,90.0,49.497
-315.0,0.0,-595.0,90.0,49.497
-245.0,0.0,-595.0,90.0,49.497
-315.0,0.0,-245.0,90.0,49.497
-245.0,0.0,-245.0,90.0,49.497
245.00003051757812,-3.000000106112566e-06,-1155.0,90.0,49.497
315.0000305175781,-3.000000106112566e-06,-1155.0,90.0,49.497
105.0,0.0,-805.0,90.0,49.497
35.0,0.0,-805.0,90.0,49.497
945.0,0.0,-875.0,90.0,49.497
875.0,0.0,-805.0,90.0,49.497
35.0,0.0,-665.0,90.0,49.497
105.0,0.0,-665.0,90.0,49.497
315.0,0.0,-595.0,90.0,49.497
315.0,0.0,-245.0,90.0,49.497
385.0,0.0,-665.0,90.0,49.497
665.0,3.000000106112566e-06,-385.0,90.0,49.497
665.0,1.9999999949504854e-06,-455.0,90.0,49.497
875.0,0.0001990000018849969,-660.0,90.0,49.497
-665.0,-300.0,455.0,90.0,49.497
-665.0,-300.0,245.0,90.0,49.497
-595.0,-300.0,455.0,90.0,49.497
-595.0,-300.0,245.0,90.0,49.497
-595.0,0.0,-175.0,90.0,49.497
-595.0,0.0,-35.0,90.0,49.497
-595.0,0.0,35.0,90.0,49.497
-595.0,0.0,175.0,90.0,49.497
-455.0,0.0,35.0,90.0,49.497
-455.0,0.0,175.0,90.0,49.497
-105.0,0.0,-175.0,90.0,49.497
-35.0,0.0,-175.0,90.0,49.497
-35.0,0.0,-35.0,90.0,49.497
-105.0,0.0,-35.0,90.0,49.497
-455.0,0.0,245.0,90.0,49.497
-665.0,0.0,525.0,90.0,49.497
-594.9999389648438,0.0,525.0,90.0,49.497
-455.0,0.0,455.0,90.0,49.497
-105.0,0.0,455.0,90.0,49.497
-35.0,0.0,455.0,90.0,49.497
-105.00007629394531,0.00010699999984353781,810.0,90.0,49.497
105.0,0.0,-175.0,90.0,49.497
175.0,0.0,-175.0,90.0,49.497
175.0,0.0,-35.0,90.0,49.497
105.0,0.0,-35.0,90.0,49.497
105.0,0.0,35.0,90.0,49.497
175.0,0.0,35.0,90.0,49.497
385.0,0.0,-35.0,90.0,49.497
385.0,0.0,-175.0,90.0,49.497
315.0,0.0,35.0,90.0,49.497
105.0,0.0,385.0,90.0,49.497
175.0,0.0,385.0,90.0,49.497
315.0,0.0,385.0,90.0,49.497
385.0,0.0,455.0,90.0,49.497
-590.5695190429688,0.0001140000022132881,810.0,90.0,49.497
-163.79330444335938,0.00010299999848939478,2010.0,90.0,49.497
459.43048095703125,0.0001140000022132881,2010.0,90.0,49.497
-13.79330825805664,0.00010099999781232327,2010.0,90.0,49.497
-377.00323486328125,0.00011500000255182385,1050.5594482421875,90.0,49.497
-377.00323486328125,0.00010599999950500205,1000.5594482421875,90.0,49.497
-377.00323486328125,0.00011500000255182385,1400.5594482421875,90.0,49.497
-377.00323486328125,0.00011500000255182385,1350.5594482421875,90.0,49.497
