seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-877.816,-0.000,-501.217,-877.32623,-0.00002,-466.21732,-877.81842,-0.00002,-501.36731,178.40
-877.816,-600.000,-501.217,-877.32629,-0.00002,-466.21735,-877.81842,-0.00002,-501.36737,178.40
2942.818,-600.000,1425.118,2921.35571,0.00000,1396.93298,2942.90942,0.00000,1425.23706,162.21
2840.351,240.320,-47.420,2806.64868,240.32014,-58.37035,2840.49316,240.32014,-47.37358,162.00
2832.840,240.320,0.000,2797.40332,240.32014,-0.00008,2832.98950,240.32014,0.00000,162.00
3110.441,240.320,-90.198,3139.10913,240.32016,-111.02705,3110.31934,240.32016,-90.10987,162.00
3132.238,240.320,-47.420,3165.93945,240.32016,-58.37035,3132.09497,240.32015,-47.37358,162.00
3076.492,240.320,-124.147,3097.32056,240.32016,-152.81548,3076.40356,240.32017,-124.02560,162.00
3139.748,240.320,0.000,3175.18408,240.32014,0.00010,3139.59790,240.32014,-0.00000,162.00
2840.350,240.320,47.420,2806.64844,240.32014,58.37022,2840.49292,240.32014,47.37347,162.00
2896.096,240.320,124.147,2875.26709,240.32014,152.81540,2896.18408,240.32014,124.02548,162.00
2862.147,240.320,90.198,2833.47827,240.32014,111.02701,2862.26807,240.32014,90.10987,162.00
3132.237,240.320,47.420,3165.93921,240.32014,58.37022,3132.09473,240.32014,47.37347,162.00
3110.441,240.320,90.198,3139.10913,240.32014,111.02689,3110.31934,240.32014,90.10987,162.00
3076.492,240.320,124.147,3097.32080,240.32014,152.81560,3076.40381,240.32014,124.02571,162.00
2601.822,238.562,-80.902,2580.99316,240.32016,-109.57027,2601.91016,240.32016,-80.78037,162.00
2579.699,238.562,-58.779,2551.03052,240.32016,-79.60747,2579.82031,240.32016,-58.69037,162.00
2565.495,238.562,-30.902,2531.79297,240.32014,-41.85216,2565.63745,240.32015,-30.85536,162.00
2560.601,238.562,-0.000,2525.16431,240.32014,-0.00000,2560.75049,240.32014,-0.00000,162.00
2741.502,238.562,-58.779,2770.17090,240.32014,-79.60748,2741.38110,240.32014,-58.69038,162.00
2755.706,238.562,-30.902,2789.40820,240.32014,-41.85205,2755.56372,240.32014,-30.85536,162.00
2760.601,238.562,0.000,2796.03687,240.32014,0.00000,2760.45068,240.32014,-0.00000,162.00
2565.495,238.562,30.902,2531.79297,240.32014,41.85216,2565.63745,240.32014,30.85535,162.00
2601.822,238.562,80.902,2580.99316,240.32014,109.57026,2601.91016,240.32014,80.78036,162.00
2579.699,238.562,58.779,2551.03052,240.32014,79.60746,2579.82031,240.32014,58.69036,162.00
2741.502,238.562,58.779,2770.17065,240.32014,79.60746,2741.38086,240.32014,58.69036,162.00
2719.379,238.562,80.902,2740.20801,240.32014,109.57026,2719.29102,240.32014,80.78036,162.00
2755.706,238.562,30.902,2789.40820,240.32014,41.85215,2755.56372,240.32014,30.85535,162.00
2938.874,240.320,-145.943,2927.92358,240.32014,-179.64539,2938.92041,240.32015,-145.80083,162.00
2986.294,240.320,-153.454,2986.29370,240.32016,-188.89032,2986.29370,240.32016,-153.30405,162.00
2896.096,240.320,-124.147,2875.26709,240.32014,-152.81554,2896.18408,240.32014,-124.02560,162.00
3033.714,240.320,-145.943,3044.66431,240.32016,-179.64540,3033.66748,240.32016,-145.80084,162.00
2938.874,240.320,145.943,2927.92334,240.32014,179.64526,2938.92017,240.32014,145.80072,162.00
2986.294,240.320,153.454,2986.29370,240.32014,188.89032,2986.29370,240.32014,153.30405,162.00
3033.714,240.320,145.944,3044.66406,240.32014,179.64554,3033.66724,240.32014,145.80095,162.00
2629.699,238.562,-95.106,2618.74854,240.32016,-128.80759,2629.74536,240.32017,-94.96302,162.00
2660.601,238.562,-100.000,2660.60059,240.32016,-135.43633,2660.60059,240.32016,-99.85004,162.00
2719.379,238.562,-80.902,2740.20801,240.32014,-109.57033,2719.29102,240.32015,-80.78038,162.00
2691.502,238.562,-95.106,2702.45264,240.32016,-128.80759,2691.45581,240.32016,-94.96302,162.00
2660.601,238.562,100.000,2660.60059,240.32014,135.43629,2660.60059,240.32014,99.85001,162.00
2629.699,238.562,95.106,2618.74854,240.32014,128.80757,2629.74536,240.32014,94.96301,162.00
2691.502,238.562,95.106,2702.45264,240.32014,128.80757,2691.45581,240.32014,94.96300,162.00
2862.147,240.320,-90.198,2833.47803,240.32014,-111.02694,2862.26807,240.32014,-90.10987,162.00
31.148,-600.000,-655.907,44.55579,0.00000,-623.04291,31.09163,0.00000,-656.04510,160.87
31.148,0.000,-655.907,44.55575,0.00000,-623.04291,31.09159,0.00000,-656.04523,160.87
2350.050,-600.000,882.927,2345.01538,0.00002,918.08325,2350.07031,0.00002,882.78088,176.67
1898.949,-600.000,780.574,1871.75403,0.00002,803.43115,1899.06384,0.00002,780.47742,160.28
1898.949,-600.000,-779.976,1871.75403,0.00002,-802.83344,1899.06396,0.00002,-779.87958,160.28
2621.969,0.000,-1508.474,2605.65356,0.00000,-1476.90344,2622.03784,0.00000,-1508.60693,160.06
2621.969,-600.000,-1508.474,2605.65381,0.00000,-1476.90344,2622.03809,0.00000,-1508.60693,160.06
1898.949,-600.000,-356.724,1871.81714,0.00002,-333.65155,1899.06348,0.00002,-356.82083,158.66
1898.949,-600.000,357.321,1871.81714,0.00002,334.24927,1899.06348,0.00002,357.41855,158.66
393.626,-600.000,993.771,419.33249,0.00000,969.05823,393.51642,0.00000,993.87622,157.95
393.626,0.000,993.771,419.33246,0.00000,969.05817,393.51642,0.00000,993.87622,157.95
3471.594,-600.000,-622.400,3436.59424,928.16138,-615.21375,3471.74170,928.16136,-622.43054,156.79
2942.819,0.000,1425.118,2921.05371,0.00000,1396.53564,2942.90942,0.00000,1425.23706,162.21
1142.283,0.000,-1505.134,1164.88586,0.00002,-1476.86328,1142.19006,0.00002,-1505.25000,157.33
1142.283,-600.000,-1505.134,1164.88586,0.00002,-1476.86328,1142.19006,0.00002,-1505.25000,157.33
1828.791,-600.000,-479.679,1793.79089,0.00002,-470.39560,1828.93604,0.00002,-479.71710,150.29
1828.791,-600.000,480.276,1793.79089,0.00002,470.99338,1828.93652,0.00002,480.31503,150.29
3471.594,0.000,-622.400,3436.10474,928.18420,-615.11322,3471.74170,928.18419,-622.43054,156.79
723.729,-600.000,1443.533,746.75336,0.00000,1415.48059,723.63391,0.00000,1443.64844,155.86
723.729,0.000,1443.533,746.75330,0.00000,1415.48059,723.63367,0.00000,1443.64868,155.86
1612.248,0.000,1609.299,1621.55640,0.00002,1574.15576,1612.20972,0.00002,1609.44189,148.62
1612.248,-600.000,1609.299,1621.55640,0.00002,1574.15576,1612.20972,0.00002,1609.44189,148.62
2394.312,0.000,1597.603,2384.41553,0.00002,1562.56079,2394.35620,0.00002,1597.75806,147.98
1351.559,0.000,-1613.198,1359.93018,0.00002,-1577.58362,1351.52490,0.00002,-1613.34509,151.83
1351.559,-600.000,-1613.198,1359.93018,0.00002,-1577.58362,1351.52490,0.00002,-1613.34509,151.83
2621.969,0.000,1598.558,2613.06177,0.00000,1563.03613,2622.00562,0.00000,1598.70374,151.37
2621.969,-600.000,1598.558,2613.06177,0.00000,1563.03613,2622.00562,0.00000,1598.70374,151.37
2989.187,-600.000,-1393.693,2969.40161,-0.00001,-1362.70203,2989.26758,-0.00001,-1393.81982,149.60
2989.187,0.000,-1393.693,2969.40137,-0.00001,-1362.70203,2989.26758,-0.00001,-1393.81982,149.60
2133.624,0.000,1759.132,2123.27905,0.00002,1723.80066,2133.66650,0.00002,1759.27637,149.07
2133.624,-600.000,1759.132,2123.27905,0.00002,1723.80066,2133.66650,0.00002,1759.27637,149.07
1872.936,0.000,1763.031,1882.37256,0.00002,1727.40405,1872.90015,0.00002,1763.16467,148.62
1872.936,-600.000,1763.031,1882.37256,0.00002,1727.40405,1872.90015,0.00002,1763.16467,148.62
1969.107,-600.000,-300.000,1956.72827,137.76363,-265.00003,1969.15710,137.76363,-300.14120,141.04
1142.282,0.000,1505.134,1147.07471,0.00001,1468.21777,1142.26331,0.00001,1505.28088,140.17
1142.282,-600.000,1505.134,1147.07471,0.00001,1468.21777,1142.26331,0.00001,1505.28088,140.17
