seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
2150.886,11164.625,-9512.936,2115.88623,9587.29492,-9517.54297,2151.03491,9587.29522,-9512.91602,165.00
2150.886,9588.103,-9512.936,2115.88623,9587.29492,-9517.54297,2151.03491,9587.29522,-9512.91602,165.00
2150.886,11321.261,-9512.936,2115.88623,9587.29492,-9517.54297,2151.03491,9587.29522,-9512.91602,165.00
2150.886,9690.624,-9512.936,2115.88623,9587.29492,-9517.54297,2151.03491,9587.29522,-9512.91602,165.00
2150.886,11061.261,-9512.936,2115.88623,9587.29492,-9517.54297,2151.03491,9587.29522,-9512.91602,165.00
2004.308,11163.486,-10626.319,1971.69287,9667.54492,-10612.80957,2004.44617,9667.54492,-10626.37695,165.00
791.319,9244.740,-7885.691,777.80945,9244.74023,-7918.30615,791.37646,9244.74023,-7885.55273,165.00
791.319,9294.620,-7885.691,777.80945,9244.74023,-7918.30615,791.37646,9244.74023,-7885.55273,165.00
791.319,9373.279,-7885.691,777.80945,9244.74023,-7918.30615,791.37646,9244.74023,-7885.55273,165.00
791.319,9519.384,-7885.691,777.80945,9244.74023,-7918.30615,791.37646,9244.74023,-7885.55273,165.00
791.319,9451.939,-7885.691,777.80945,9244.74023,-7918.30615,791.37646,9244.74023,-7885.55273,165.00
-2004.310,11161.720,-10626.319,-1971.69543,9667.54492,-10612.80957,-2004.44885,9667.54491,-10626.37695,165.00
-2004.310,11321.261,-10626.319,-1971.69543,9667.54492,-10612.80957,-2004.44885,9667.54491,-10626.37695,165.00
2004.308,9668.238,-8965.896,1971.69299,9667.54492,-8979.40527,2004.44641,9667.54491,-8965.83789,165.00
2004.308,9675.422,-8965.896,1971.69299,9667.54492,-8979.40527,2004.44641,9667.54491,-8965.83789,165.00
2004.308,11061.261,-8965.896,1971.69299,9667.54492,-8979.40527,2004.44641,9667.54491,-8965.83789,165.00
830.211,9668.238,-7791.798,816.70093,9667.54492,-7824.41309,830.26831,9667.54491,-7791.65967,165.00
830.211,11061.261,-7791.798,816.70093,9667.54492,-7824.41309,830.26831,9667.54491,-7791.65967,165.00
2004.308,11164.045,-8965.896,1971.69299,9667.54492,-8979.40527,2004.44641,9667.54491,-8965.83789,165.00
2004.308,11321.261,-8965.896,1971.69299,9667.54492,-8979.40527,2004.44641,9667.54491,-8965.83789,165.00
830.211,11163.641,-7791.798,816.70093,9667.54492,-7824.41309,830.26831,9667.54491,-7791.65967,165.00
830.211,11321.261,-7791.798,816.70093,9667.54492,-7824.41309,830.26831,9667.54491,-7791.65967,165.00
-2004.310,9668.238,-10626.319,-1971.69543,9667.54492,-10612.80957,-2004.44885,9667.54491,-10626.37695,165.00
-2004.310,11061.261,-10626.319,-1971.69543,9667.54492,-10612.80957,-2004.44885,9667.54491,-10626.37695,165.00
-830.212,9668.238,-11800.416,-816.70276,9667.54492,-11767.80078,-830.26953,9667.54492,-11800.55469,165.00
-830.212,9686.234,-11800.416,-816.70276,9667.54492,-11767.80078,-830.26953,9667.54492,-11800.55469,165.00
-830.212,11061.261,-11800.416,-816.70276,9667.54492,-11767.80078,-830.26953,9667.54492,-11800.55469,165.00
-830.212,11162.609,-11800.416,-816.70276,9667.54492,-11767.80078,-830.26953,9667.54492,-11800.55469,165.00
-830.212,11321.261,-11800.416,-816.70276,9667.54492,-11767.80078,-830.26953,9667.54492,-11800.55469,165.00
-791.321,9244.740,-11706.522,-777.81097,9244.74023,-11673.90723,-791.37793,9244.74023,-11706.66113,165.00
-791.321,9294.620,-11706.522,-777.81097,9244.74023,-11673.90723,-791.37793,9244.74023,-11706.66113,165.00
-791.321,9373.279,-11706.522,-777.81097,9244.74023,-11673.90723,-791.37793,9244.74023,-11706.66113,165.00
-791.321,9451.939,-11706.522,-777.81097,9244.74023,-11673.90723,-791.37793,9244.74023,-11706.66113,165.00
-791.321,9519.384,-11706.522,-777.81097,9244.74023,-11673.90723,-791.37793,9244.74023,-11706.66113,165.00
791.320,9294.620,-11706.523,777.81012,9244.74023,-11673.90820,791.37695,9244.74023,-11706.66211,165.00
791.320,9244.740,-11706.523,777.81012,9244.74023,-11673.90820,791.37695,9244.74023,-11706.66211,165.00
791.320,9373.279,-11706.523,777.81012,9244.74023,-11673.90820,791.37695,9244.74023,-11706.66211,165.00
791.320,9451.939,-11706.523,777.81012,9244.74023,-11673.90820,791.37695,9244.74023,-11706.66211,165.00
791.320,9519.384,-11706.523,777.81012,9244.74023,-11673.90820,791.37695,9244.74023,-11706.66211,165.00
-791.321,9244.740,-7885.691,-777.81097,9244.74023,-7918.30615,-791.37799,9244.74023,-7885.55225,165.00
-791.321,9294.620,-7885.691,-777.81097,9244.74023,-7918.30615,-791.37799,9244.74023,-7885.55225,165.00
-791.321,9373.279,-7885.691,-777.81097,9244.74023,-7918.30615,-791.37799,9244.74023,-7885.55225,165.00
-791.321,9451.939,-7885.691,-777.81097,9244.74023,-7918.30615,-791.37799,9244.74023,-7885.55225,165.00
-791.321,9519.384,-7885.691,-777.81097,9244.74023,-7918.30615,-791.37799,9244.74023,-7885.55225,165.00
-1258.810,9376.505,-8155.596,-1237.31885,9244.74023,-8183.60352,-1258.90100,9244.74023,-8155.47705,165.00
-830.213,9678.959,-7791.799,-816.70306,9667.54492,-7824.41406,-830.27032,9667.54491,-7791.66016,165.00
-1320.674,11162.705,-8074.970,-1299.18213,9587.29492,-8102.97705,-1320.76501,9587.29518,-8074.85107,165.00
-1320.674,9588.103,-8074.970,-1299.18213,9587.29492,-8102.97705,-1320.76501,9587.29518,-8074.85107,165.00
-1320.674,11321.261,-8074.970,-1299.18213,9587.29492,-8102.97705,-1320.76501,9587.29518,-8074.85107,165.00
-1320.674,9694.246,-8074.970,-1299.18213,9587.29492,-8102.97705,-1320.76501,9587.29518,-8074.85107,165.00
-1320.674,11061.261,-8074.970,-1299.18213,9587.29492,-8102.97705,-1320.76501,9587.29518,-8074.85107,165.00
-1258.809,9434.393,-8155.597,-1237.31885,9244.74023,-8183.60400,-1258.90100,9244.74023,-8155.47705,165.00
-2004.310,11162.500,-8965.896,-1971.37463,9667.53711,-8979.84180,-2004.44873,9667.53669,-8965.83691,165.90
