seam_x,seam_y,seam_z,interior,floor
-2589.123779296875,-202.3556365966797,224.30650329589844,90.288,49.373
-2057.835205078125,-159.0,-305.2216796875,90.0,49.497
-1495.3880615234375,-159.0,309.4689636230469,90.0,49.497
-2057.836181640625,-159.0,309.4689636230469,90.0,49.497
-2589.123779296875,-202.3556365966797,-219.8895263671875,90.0,49.497
-2838.051025390625,-197.90078735351562,-219.8896942138672,90.0,49.497
-1997.57861328125,-202.3556365966797,-219.8895263671875,90.0,49.497
-1997.57861328125,-202.3556365966797,-333.8534851074219,90.0,49.497
-1997.57861328125,-202.3556365966797,224.30650329589844,90.0,49.497
-1997.57861328125,-202.3556365966797,337.0185241699219,90.0,49.497
-1495.3878173828125,-159.0,-305.2216796875,90.0,49.498
-2838.051025390625,-197.9008026123047,225.5583038330078,89.712,49.622
