seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-1572.670,0.000,8169.438,-1539.70056,0.00000,8157.32715,-1572.81079,0.00000,8169.48877,170.38
1566.323,-0.000,8169.437,1533.35266,-0.00004,8157.32617,1566.46313,-0.00004,8169.48779,170.38
-1572.670,0.000,7830.562,-1539.70044,0.00000,7842.67285,-1572.81409,0.00000,7830.50928,170.38
1149.972,299.945,6850.027,1125.10388,400.00000,6874.89600,1150.07849,400.00001,6849.92139,168.75
-622.361,-0.055,6497.488,-608.90204,0.00000,6529.98047,-622.41821,0.00000,6497.34912,168.75
-622.361,299.945,6497.488,-608.90204,0.00000,6529.98047,-622.41821,0.00000,6497.34912,168.75
1502.513,-0.055,8622.361,1470.02039,-0.00004,8608.90234,1502.65149,-0.00004,8622.41992,168.75
1502.513,299.945,8622.361,1470.02039,-0.00004,8608.90234,1502.65149,-0.00004,8622.41992,168.75
-317.277,-0.055,9595.059,-310.41577,0.00000,9560.56445,-317.30649,0.00000,9595.20605,168.75
317.277,-0.055,9595.059,310.41534,0.00000,9560.56445,317.30606,0.00000,9595.20605,168.75
-317.277,299.945,9595.059,-310.41577,0.00000,9560.56445,-317.30649,0.00000,9595.20605,168.75
317.277,299.945,9595.059,310.41534,0.00000,9560.56445,317.30606,0.00000,9595.20605,168.75
-1149.973,299.945,6850.026,-1125.10461,400.00003,6874.89502,-1150.07983,400.00003,6849.91943,168.75
-1352.225,-0.055,8903.527,-1322.56750,0.00000,8883.71094,-1352.34155,0.00000,8903.60449,168.75
1149.974,299.945,9149.974,1124.75159,400.00003,9124.75195,1150.07239,400.00003,9150.07227,168.75
622.361,-0.055,9502.513,608.71075,0.00000,9469.55859,622.41766,0.00000,9502.64746,168.75
622.361,299.945,9502.513,608.71075,0.00000,9469.55859,622.41766,0.00000,9502.64746,168.75
-622.361,-0.055,9502.513,-608.71112,0.00000,9469.55859,-622.41846,0.00000,9502.65039,168.75
-622.361,299.945,9502.513,-608.71112,0.00000,9469.55859,-622.41846,0.00000,9502.65039,168.75
-903.528,-0.055,6647.774,-883.71118,0.00000,6677.43262,-903.61108,0.00000,6647.65039,168.75
903.528,-0.055,6647.775,883.71075,-0.00003,6677.43311,903.61072,-0.00003,6647.65088,168.75
622.361,-0.055,6497.488,608.71057,0.00000,6530.44189,622.41785,0.00000,6497.34961,168.75
