seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
142.631,0.000,-936.916,144.93817,0.00000,-901.95038,142.62105,0.00000,-937.06573,174.41
4636.814,400.000,-1200.148,4643.86719,400.00000,-1165.72974,4636.78027,400.00000,-1200.31128,169.99
4895.037,1952.237,-24.174,4860.03711,400.00000,-19.68032,4895.18701,400.00000,-24.19314,165.37
4895.037,0.000,-24.174,4860.03662,400.00000,-19.68032,4895.18701,400.00000,-24.19314,165.37
495.514,0.000,896.595,518.80255,200.68338,869.82593,495.41562,200.68337,896.70862,161.09
-48.772,0.000,1581.453,-34.80483,1201.75159,1548.80115,-48.83139,1201.75161,1581.59070,176.81
4729.429,0.000,-2119.788,4698.85498,602.55316,-2100.57544,4729.55566,602.55316,-2119.86743,158.77
4729.429,1586.430,-2119.788,4698.85498,602.55316,-2100.57544,4729.55566,602.55316,-2119.86743,158.77
5134.797,0.000,894.169,5098.51172,400.00000,895.67334,5134.94873,400.00000,894.16309,155.48
5002.799,0.000,1651.652,4969.23975,0.00000,1637.51929,5002.93750,0.00000,1651.71033,154.09
5002.799,1815.440,1651.652,4969.23975,0.00000,1637.51929,5002.93750,0.00000,1651.71033,154.09
-289.555,0.000,-929.523,-279.91162,0.00000,-894.19824,-289.59412,0.00000,-929.66760,151.42
1000.000,1586.430,-1885.564,1027.78479,806.72711,-1861.62988,999.88550,806.72712,-1885.66248,150.75
1000.000,0.000,-1885.564,1027.78479,806.72711,-1861.62976,999.88550,806.72712,-1885.66248,150.75
-618.117,0.000,1318.890,-592.82343,1256.92761,1291.48828,-618.21918,1256.92760,1319.00012,144.10
-618.117,1586.430,1318.890,-592.82343,1256.92761,1291.48828,-618.21918,1256.92760,1319.00012,144.10
3095.685,0.000,1293.873,3101.05322,-0.00000,1256.46143,3095.66333,-0.00000,1294.02173,135.66
485.946,0.000,-976.460,505.52322,1027.84619,-943.48328,485.86993,1027.84618,-976.58856,131.75
-870.630,1874.011,-600.000,-839.96179,0.00000,-576.62683,-870.74915,0.00000,-600.09088,133.74
-870.630,0.000,-600.000,-839.96179,0.00000,-576.62683,-870.74915,0.00000,-600.09088,133.74
2688.689,0.000,1395.399,2664.36792,-0.00000,1365.39294,2688.78345,-0.00000,1395.51501,129.96
3982.824,400.000,-1103.626,4005.80933,400.00000,-1071.80884,3982.73560,400.00000,-1103.74854,129.17
4713.415,0.000,2053.039,4686.62500,0.00000,2023.65112,4713.51123,0.00000,2053.14453,156.24
4713.415,1586.430,2053.039,4686.62500,0.00000,2023.65112,4713.51123,0.00000,2053.14453,156.24
3899.368,400.000,-951.429,3917.15356,400.00000,-911.06952,3899.30713,400.00000,-951.56586,105.04
1421.984,880.550,-724.424,1447.66638,880.54840,-682.11133,1421.90906,880.54840,-724.54706,90.00
1033.436,880.550,-819.454,991.12286,880.54840,-793.77118,1033.56262,880.54840,-819.53088,90.00
1033.436,855.474,-819.454,991.12286,880.54840,-793.77118,1033.56262,880.54840,-819.53088,90.00
1033.436,980.548,-819.454,991.12286,880.54840,-793.77118,1033.56262,880.54840,-819.53088,90.00
1082.004,880.550,-807.575,1107.68713,880.54840,-765.26239,1081.92651,880.54840,-807.70343,90.00
1373.415,980.548,-736.303,1331.10205,880.54840,-710.62012,1373.54321,880.54840,-736.38080,90.00
1373.415,880.550,-736.303,1331.10205,880.54840,-710.62012,1373.54321,880.54840,-736.38080,90.00
