seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
1286.868,-0.000,1303.500,1261.95032,57.52669,1278.60925,1286.97363,57.52669,1303.60632,167.18
-1814.104,131.716,500.000,-1779.97937,136.73959,490.69196,-1814.24866,136.73960,500.03928,163.37
1814.104,900.000,-500.000,1779.97937,136.32622,-490.69199,1814.24866,136.32621,-500.03928,163.37
-1814.104,900.000,500.000,-1779.97937,136.73961,490.69199,-1814.24866,136.73961,500.03928,163.37
-1286.870,-0.000,1303.501,-1261.68188,56.93352,1278.15173,-1286.97510,56.93352,1303.60718,166.75
-1318.860,-0.000,-1275.079,-1293.30078,56.80286,-1250.09778,-1318.96826,56.80286,-1275.18359,166.62
1318.862,-0.000,-1275.078,1293.37732,56.90061,-1249.99976,1318.96899,56.90061,-1275.18347,166.23
925.000,131.716,-1634.768,906.95715,131.86446,-1603.85510,925.07623,131.86446,-1634.89880,165.22
925.000,900.000,-1634.768,906.95715,131.86446,-1603.85510,925.07623,131.86446,-1634.89880,165.22
1619.819,131.716,-945.337,1589.17090,163.31000,-926.82007,1619.94629,163.31000,-945.41382,164.86
1619.819,900.000,-945.337,1589.17090,163.31000,-926.82007,1619.94629,163.31000,-945.41382,164.86
-1619.819,131.716,945.337,-1589.17090,163.44514,926.82007,-1619.94861,163.44515,945.41516,164.86
-1619.819,900.000,945.337,-1589.17090,163.44514,926.82007,-1619.94861,163.44515,945.41516,164.86
-1814.104,131.716,-500.000,-1779.46960,130.12645,-490.77740,-1814.24878,130.12644,-500.03857,164.07
500.000,131.716,-1814.104,490.77740,136.85924,-1779.46960,500.03857,136.85924,-1814.24878,164.07
1814.104,131.716,500.000,1779.46960,163.51094,490.77740,1814.24878,163.51094,500.03857,164.07
-1814.104,900.000,-500.000,-1779.46960,130.12645,-490.77740,-1814.24878,130.12644,-500.03857,164.07
500.000,900.000,-1814.104,490.77740,136.85924,-1779.46960,500.03857,136.85924,-1814.24878,164.07
1814.104,900.000,500.000,1779.46960,163.51094,490.77740,1814.24878,163.51094,500.03857,164.07
1814.104,131.716,-500.000,1779.49707,135.81673,-490.56042,1814.24866,135.81672,-500.03928,163.37
