seam_x,seam_y,seam_z,interior,floor
1524.7554931640625,-3249.360595703125,-5966.5498046875,180.0,35.0
-1065.03857421875,-3249.98193359375,-4184.435546875,179.396,35.0
-2227.875,-3726.103515625,-7834.33984375,179.374,35.001
1979.1954345703125,-3726.103515625,-7813.1103515625,179.374,35.001
183.81915283203125,-3250.000244140625,-6888.7744140625,157.545,35.683
916.96044921875,-4090.853271484375,-7616.779296875,157.516,35.685
-1265.0390625,-3752.41015625,-7597.861328125,157.5,35.686
466.0829162597656,-4090.853271484375,-8707.06640625,157.116,35.71
917.1978759765625,-4090.853271484375,-8031.0810546875,155.363,35.825
-2224.80029296875,-3726.530029296875,-7260.9111328125,150.626,36.182
1976.1192626953125,-3726.530029296875,-7260.90576171875,150.626,36.182
691.2232666015625,-3337.04833984375,-8623.97265625,150.384,36.202
-409.5934143066406,-3337.04833984375,-8930.1474609375,150.384,36.202
-1225.156494140625,-3337.04833984375,-8129.8994140625,150.384,36.202
-939.9030151367188,-3337.04833984375,-7023.47705078125,150.384,36.202
976.476806640625,-3337.04833984375,-7517.55078125,150.384,36.202
605.6441650390625,-3341.245849609375,-8396.4365234375,147.626,36.445
-255.33087158203125,-4090.853271484375,-8742.265625,147.626,36.445
-985.2019653320312,-4090.853271484375,-8169.830078125,147.626,36.445
-854.3484497070312,-4090.853271484375,-7251.0537109375,147.626,36.445
736.6351318359375,-3341.245849609375,-7477.89599609375,147.626,36.445
719.6116333007812,-3341.245849609375,-8199.423828125,147.5,36.456
-27.72890281677246,-4090.853271484375,-8742.4580078125,147.5,36.456
-871.680419921875,-3341.245849609375,-8366.7587890625,147.5,36.456
-968.2913818359375,-3341.245849609375,-7448.02587890625,147.5,36.456
623.0006713867188,-3341.245849609375,-7280.69091796875,147.5,36.456
1039.755615234375,-3337.048583984375,-8495.81640625,144.504,36.749
-124.34075927734375,-3337.048583984375,-9167.9072265625,144.504,36.749
-1288.436279296875,-3337.048583984375,-8495.8154296875,144.504,36.749
-1288.435302734375,-3337.048583984375,-7151.63330078125,144.504,36.749
1039.7564697265625,-3337.048583984375,-7151.634765625,144.504,36.749
976.4758911132812,-3337.04833984375,-8129.90087890625,136.017,37.746
160.91192626953125,-3337.04833984375,-8930.1474609375,136.017,37.746
691.22412109375,-3337.04833984375,-7023.478515625,136.017,37.746
-939.9038696289062,-3337.04833984375,-8623.9716796875,136.016,37.747
