seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-3111.3896484375,1089.1904296875,-1414.7640380859375,-3063.1806640625,1089.1904296875,-1432.3153076171875,-3111.483154296875,1089.1904296875,-1414.72998046875,164.939
-3802.96533203125,1187.9022216796875,-1557.6727294921875,-3751.618408203125,1187.9022216796875,-1561.3968505859375,-3803.061767578125,1187.9022216796875,-1557.66552734375,161.097
-2741.28466796875,1089.1904296875,-1486.5587158203125,-2782.16552734375,1089.1904296875,-1518.0426025390625,-2741.205810546875,1089.1904296875,-1486.4976806640625,158.944
-3245.87353515625,1089.1904296875,-1672.716552734375,-3196.51025390625,1089.1904296875,-1687.7633056640625,-3245.96923828125,1089.1904296875,-1672.687255859375,158.833
-3134.9267578125,1089.1904296875,-2827.114990234375,-3104.2685546875,1089.1904296875,-2785.449462890625,-3134.986572265625,1089.1904296875,-2827.1962890625,156.802
-2544.807861328125,1089.1904296875,-1662.6680908203125,-2570.25732421875,1089.1904296875,-1707.83837890625,-2544.759033203125,1089.1904296875,-1662.5810546875,155.053
-3267.1796875,1089.1904296875,-1863.6033935546875,-3215.510498046875,1089.1904296875,-1854.924560546875,-3267.280517578125,1089.1904296875,-1863.6204833984375,148.193
-3323.536865234375,1089.1904296875,-2618.043701171875,-3295.781494140625,1089.1904296875,-2573.59375,-3323.58984375,1089.1904296875,-2618.128662109375,148.072
-2848.208740234375,1089.1904296875,-1277.3704833984375,-2886.447021484375,1089.1904296875,-1313.23828125,-2848.135498046875,1089.1904296875,-1277.3017578125,147.811
-3494.5712890625,1089.1904296875,-2568.943603515625,-3464.6787109375,1089.1904296875,-2525.316162109375,-3494.628173828125,1089.1904296875,-2569.026123046875,143.199
-3754.82763671875,1187.9022216796875,-1358.6988525390625,-3703.726318359375,1187.9022216796875,-1364.1424560546875,-3756.721435546875,1187.9022216796875,-1358.4969482421875,162.96
-2965.849609375,1089.1904296875,-2626.863525390625,-2986.512451171875,1089.1904296875,-2676.4736328125,-2965.810791015625,1089.1904296875,-2626.77001953125,136.057
-2625.798583984375,1089.1904296875,-2281.677490234375,-2679.632568359375,1089.1904296875,-2281.662109375,-2625.69873046875,1089.1904296875,-2281.677734375,135.365
-2967.42138671875,1089.1904296875,-1701.5889892578125,-2929.58154296875,1089.1904296875,-1663.2852783203125,-2967.492919921875,1089.1904296875,-1701.6597900390625,135.302
-2871.56689453125,1089.1904296875,-1932.022216796875,-2817.700439453125,1089.1904296875,-1932.59814453125,-2871.667236328125,1089.1904296875,-1932.0211181640625,135.103
