seam_x,seam_y,seam_z,interior,floor
-5457.3720703125,186.30455017089844,-3761.198486328125,179.958,35.0
-6188.0390625,186.30455017089844,-4006.678955078125,180.0,35.0
-5298.10888671875,186.30455017089844,-4006.677734375,180.0,35.0
-4863.12841796875,1187.973876953125,-2735.919921875,180.0,35.0
-6953.9755859375,186.30450439453125,-2740.333984375,170.336,35.125
-5083.015625,186.30455017089844,-2735.57177734375,149.457,36.281
-4823.01123046875,186.30455017089844,-4006.677001953125,144.4,36.76
-7004.12548828125,186.30450439453125,-2804.20947265625,127.94,38.951
-4576.98681640625,186.30455017089844,-3830.541748046875,125.6,39.352
-8058.25537109375,483.18695068359375,-1499.0394287109375,117.707,40.895
-9666.947265625,186.30455017089844,-3487.027587890625,103.951,44.431
-5298.109375,186.30455017089844,-3761.475830078125,90.1,49.454
-5308.25341796875,513.6467895507812,-3939.776123046875,90.001,49.497
-5308.25341796875,513.6467895507812,-3831.10888671875,89.999,49.498
-5298.25390625,513.6467895507812,-3939.7763671875,89.999,49.498
-4754.4609375,287.97381591796875,-2725.919677734375,89.997,49.499
-5298.25341796875,513.6467895507812,-3831.103271484375,89.968,49.511
-5964.634765625,480.60333251953125,-4531.2255859375,79.312,54.844
-9753.34765625,186.30455017089844,-3704.263916015625,68.311,62.339
-4863.12841796875,287.97381591796875,-2725.919921875,48.976,84.438
