seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
2728.867,728.460,2949.897,2725.57617,728.46002,2984.74194,2728.88037,728.46002,2949.75635,179.78
3032.441,728.460,2890.057,3059.09546,728.46002,2912.74854,3032.32739,728.46002,2889.95972,178.04
4694.765,1999.609,4941.491,4712.16357,2000.34595,4911.03760,4694.68750,2000.34592,4941.62598,172.58
5411.133,2214.720,5850.022,5445.07275,2214.71997,5859.36963,5410.96875,2214.71998,5849.97656,167.69
5411.133,3139.230,5850.022,5445.07275,2214.71997,5859.36963,5410.96875,2214.71998,5849.97656,167.69
5928.956,2214.720,5139.343,5919.96924,2214.71997,5173.66553,5928.99219,2214.71997,5139.20459,161.15
2024.951,1693.342,3343.145,2060.45117,1694.51953,3341.86963,2024.80054,1694.51956,3343.15015,175.81
4411.450,1832.658,4390.621,4401.13721,1834.29773,4424.64502,4411.49316,1834.29775,4390.47949,173.69
4886.477,2000.102,4563.662,4872.39746,2000.95129,4596.31396,4886.53467,2000.95128,4563.52539,173.38
2742.059,1706.576,2953.698,2739.90918,1706.42407,2989.24585,2742.06860,1706.42402,2953.54248,170.80
3670.728,1704.148,4632.491,3666.38208,1704.20618,4597.02441,3670.76489,1704.20623,4632.79150,166.85
3823.034,1749.155,4595.797,3824.59399,1746.50024,4559.41943,3823.02759,1746.50023,4595.94629,148.00
2234.060,1705.285,2963.794,2243.24829,1705.11035,2999.10498,2234.02319,1705.11036,2963.65210,153.11
6115.675,2214.720,5156.570,6133.99121,2214.71997,5188.33057,6115.60059,2214.71997,5156.43994,150.85
6115.675,3139.230,5156.570,6133.99121,2214.71997,5188.33057,6115.60059,2214.71997,5156.43994,150.85
5450.677,2214.720,5606.970,5487.33789,2214.71997,5599.59619,5450.52100,2214.71997,5607.00195,138.77
4324.199,728.460,275.294,4349.02344,728.46002,304.10587,4324.10107,728.46002,275.18021,133.94
3885.814,728.460,158.499,3885.84131,728.46002,196.64345,3885.81445,728.46002,158.34915,133.15
2945.978,1706.187,2982.574,2956.72437,1706.11279,3019.44482,2945.93628,1706.11283,2982.43164,131.38
4981.652,728.460,858.111,4943.54443,728.46002,868.81421,4981.79590,728.46002,858.07037,127.16
6520.231,2214.720,5045.163,6509.03271,2214.71997,5084.99365,6520.27002,2214.71997,5045.02393,117.80
5287.729,2214.720,6162.419,5329.21045,2214.71997,6153.81201,5287.57520,2214.71999,6162.45166,113.44
1957.764,698.391,3550.746,1989.42822,728.46002,3513.78662,1957.66870,728.46002,3550.85767,91.97
2051.978,1693.340,3715.485,2083.26904,1694.35547,3678.11548,2051.87646,1694.35542,3715.60596,91.80
3123.543,1710.112,2744.789,3139.73828,1708.90686,2791.35547,3123.49316,1708.90687,2744.64575,91.64
5792.477,2214.720,6313.189,5792.42529,2214.72021,6263.80273,5792.47656,2214.72020,6313.33887,90.26
3496.402,728.460,2863.348,3479.47290,728.46002,2816.83594,3496.45337,728.46002,2863.48926,90.00
5923.259,2514.719,7045.432,5923.25879,2514.71924,7094.92871,5923.25928,2514.71936,7045.28125,90.00
5329.288,2514.719,6451.464,5279.79053,2514.71875,6451.46436,5329.43799,2514.71887,6451.46387,90.00
3286.923,1710.110,2820.977,3303.85156,1708.83411,2867.49023,3286.86816,1708.83406,2820.82715,90.00
2041.116,1693.340,3565.879,2078.55713,1694.33020,3598.24805,2040.98364,1694.33016,3565.76465,90.01
5898.018,2214.720,6207.901,5848.23047,2214.72021,6208.13135,5898.16895,2214.72020,6207.89990,89.33
6271.647,2214.720,7146.332,6321.59033,2214.72021,7146.27588,6271.49805,2214.72025,7146.33105,90.13
7656.538,2214.720,6197.768,7606.54004,2214.71997,6197.76758,7656.68701,2214.71996,6197.76758,90.00
5923.259,2514.719,7144.427,5923.25928,2514.71948,7094.42920,5923.25928,2514.71936,7144.57666,90.00
1885.512,687.881,3555.073,1847.21619,728.46002,3522.30347,1885.62598,728.46002,3555.17017,87.96
6489.814,2214.720,7364.497,6489.52637,2214.71997,7314.28174,6489.81934,2214.72003,7365.24756,90.66
5348.040,728.460,-630.837,5292.20312,728.46002,-596.16351,5348.13086,728.46002,-630.89368,89.61
