seam_x,seam_y,seam_z,interior,floor
-3884.27734375,728.4600219726562,1982.783203125,180.0,35.0
-3611.59912109375,728.4600219726562,1857.693115234375,180.0,35.0
-3553.38818359375,709.2266845703125,3275.648193359375,180.0,35.0
-3462.076416015625,709.2266845703125,3336.248779296875,180.0,35.0
-2823.662841796875,725.9533081054688,3555.575927734375,180.0,35.0
-2783.225341796875,725.9533081054688,3468.8583984375,180.0,35.0
-3968.950439453125,728.4600219726562,2871.3291015625,178.824,35.002
-3017.334716796875,820.62939453125,3768.74267578125,174.485,35.041
-3017.334716796875,1096.0308837890625,3768.74267578125,174.485,35.041
-3882.8916015625,685.0458374023438,3237.430908203125,172.697,35.071
-3402.68017578125,728.4600219726562,3695.415283203125,168.331,35.182
-2317.68310546875,1700.953369140625,3458.817626953125,166.616,35.24
-3020.36376953125,728.4600219726562,3845.92041015625,165.356,35.288
-3710.5908203125,728.4600219726562,3494.255126953125,164.434,35.325
-2438.5556640625,1700.953369140625,3492.4345703125,164.139,35.338
-4046.87451171875,1698.193359375,2870.377197265625,159.139,35.588
-2457.547119140625,728.4600219726562,3522.927734375,157.317,35.697
-2541.961669921875,728.4600219726562,3577.34423828125,156.132,35.773
-3503.564453125,1686.9317626953125,1890.810302734375,155.347,35.826
-2534.505126953125,1700.953369140625,3551.001953125,153.572,35.952
-2713.80908203125,728.4600219726562,3838.711669921875,148.337,36.38
-2788.809814453125,728.4600219726562,3873.704833984375,148.146,36.397
-2363.291015625,728.4600219726562,2301.2158203125,147.087,36.495
-3805.97021484375,728.4600219726562,2452.702392578125,136.89,37.632
-2163.408447265625,1700.0438232421875,2984.3818359375,132.82,38.192
-2158.28955078125,728.4600219726562,2755.45654296875,131.855,38.334
-3468.892822265625,728.4600219726562,1858.238525390625,128.698,38.826
-3810.0927734375,1698.49951171875,2452.756103515625,128.338,38.885
-3567.01416015625,1696.2191162109375,1847.75146484375,121.186,40.177
-3089.46142578125,728.4600219726562,1957.0302734375,99.755,45.771
-2225.29931640625,728.4600219726562,2906.994873046875,99.743,45.775
-2929.0263671875,685.0458374023438,3559.81201171875,99.139,45.981
-2747.36767578125,820.6295166015625,3862.3935546875,95.868,47.146
-2747.36767578125,1096.031005859375,3862.3935546875,95.868,47.146
-3603.054443359375,715.5895385742188,1867.7559814453125,93.807,47.932
-2144.421875,1714.5733642578125,3182.05419921875,93.385,48.098
-3821.646728515625,685.0413208007812,3151.935546875,93.36,48.108
-3977.20361328125,728.4600219726562,2025.4141845703125,92.81,48.327
-3979.04443359375,1696.2188720703125,2036.8570556640625,92.544,48.434
-3471.3154296875,709.2265625,3352.270751953125,91.532,48.849
-3566.77783203125,709.2265625,3300.572509765625,90.192,49.415
-2690.71630859375,1363.453125,3488.438720703125,90.109,49.451
-2820.400390625,725.9500122070312,3539.1982421875,90.105,49.452
