seam_x,seam_y,seam_z,init_x,init_y,init_z,dest_x,dest_y,dest_z,angle_deg
-179198.53125,1082.7659912109375,79784.484375,-179185.78125,1082.7659912109375,79736.78125,-179198.546875,1082.7659912109375,79784.53125,149.807
-179688.0,1082.7659912109375,80720.0,-179684.53125,1082.7659912109375,80770.9609375,-179688.015625,1082.7659912109375,80719.6484375,172.205
-179198.53125,1082.7659912109375,80212.671875,-179147.671875,1082.7659912109375,80219.2890625,-179198.703125,1082.7659912109375,80212.65625,165.177
-180311.984375,1082.7659912109375,80720.0,-180323.609375,1082.7659912109375,80770.59375,-180311.984375,1082.7659912109375,80719.9453125,154.12
-181060.65625,-1010.0,78939.3359375,-181097.59375,-1010.0,78902.3984375,-181060.671875,-1010.0,78939.359375,150.0
-179414.296875,1082.7659912109375,79413.6640625,-179377.484375,1082.7659912109375,79376.6015625,-179414.328125,1082.7659912109375,79413.703125,149.999
-181448.890625,-1010.0,79611.7734375,-181499.34375,-1010.0,79598.2578125,-181448.828125,-1010.0,79611.78125,150.0
-181448.890625,-1010.0,80388.2265625,-181499.34375,-1010.0,80401.7421875,-181448.828125,-1010.0,80388.21875,150.0
-179788.046875,1082.7659912109375,79199.5703125,-179774.625,1082.7659912109375,79149.109375,-179788.046875,1082.7659912109375,79199.65625,150.195
-178551.109375,-1010.0,80388.2265625,-178500.65625,-1010.0,80401.7421875,-178551.1875,-1010.0,80388.2109375,150.0
-178939.34375,-1010.0,78939.3359375,-178902.40625,-1010.0,78902.3984375,-178939.390625,-1010.0,78939.3984375,150.0
-181060.65625,-1010.0,81060.65625,-181097.59375,-1010.0,81097.59375,-181060.59375,-1010.0,81060.59375,150.001
-178939.34375,-1010.0,81060.65625,-178902.40625,-1010.0,81097.59375,-178939.421875,-1010.0,81060.5703125,150.001
-178551.109375,-1010.0,79611.7734375,-178500.65625,-1010.0,79598.2578125,-178551.25,-1010.0,79611.8046875,150.0
-180219.609375,1082.7659912109375,79199.5703125,-180205.921875,1082.7659912109375,79149.125,-180219.65625,1082.7659912109375,79199.671875,149.648
-179611.765625,-1010.0,78551.109375,-179598.25,-1010.0,78500.65625,-179611.796875,-1010.0,78551.2578125,150.0
-180809.15625,1082.7659912109375,79784.484375,-180859.09375,1082.7659912109375,79769.125,-180808.0,1082.7659912109375,79784.8359375,149.803
-180388.234375,-1010.0,81448.890625,-180445.3125,-1010.0,81456.359375,-180388.171875,-1010.0,81448.875,149.999
-180593.359375,1082.7659912109375,79413.6640625,-180651.125,1082.7659912109375,79416.75,-180593.296875,1082.7659912109375,79413.65625,113.489
-179723.75,-1000.0,80850.609375,-179770.484375,-1000.0,80894.03125,-179723.671875,-1000.0,80850.546875,94.168
-180256.625,-1000.0,81088.0390625,-180209.90625,-1000.0,81044.609375,-180256.71875,-1000.0,81088.1015625,94.178
-179723.75,-1000.0000610351562,81143.765625,-179770.484375,-1000.0000610351562,81187.1953125,-179723.671875,-1000.0000610351562,81143.703125,94.161
-180256.625,-1000.0,80794.890625,-180209.90625,-1000.0,80751.4609375,-180257.59375,-1000.0,80795.78125,94.178
-179723.734375,-1000.0,81088.0390625,-179770.84375,-1000.0,81042.5390625,-179723.671875,-1000.0,81088.109375,90.0
-179723.734375,-1000.0,80794.890625,-179770.84375,-1000.0,80749.390625,-179723.671875,-1000.0,80794.9609375,90.0
-179723.734375,-1010.0,81346.6015625,-179724.875,-1010.0,81281.1171875,-179723.71875,-1010.0,81347.9609375,90.0
