seam_x,seam_y,seam_z,interior,floor
215605.5,-1000.0,196853.6875,179.62,35.0
217450.25,1356.925048828125,201814.25,180.0,35.0
197036.65625,-933.5958251953125,196453.171875,180.0,35.0
193719.953125,-1000.0,195420.0,179.051,35.001
218483.125,1005.1593017578125,200691.375,178.541,35.003
217756.46875,-1000.0,197282.84375,177.279,35.01
216017.21875,1002.9754638671875,198044.140625,176.326,35.018
212426.25,-1000.0,198890.0625,174.631,35.038
218955.484375,-1000.0,199257.296875,174.252,35.044
215760.546875,1002.9754638671875,197282.359375,173.82,35.051
214448.453125,-1000.0,202667.96875,173.563,35.055
218368.0625,965.6103515625,200804.90625,171.1,35.106
191946.40625,-1000.0,198853.875,171.038,35.107
216588.203125,-1000.0,202742.1875,171.006,35.108
195152.53125,-1000.0,195163.21875,170.382,35.124
218789.546875,-1000.0,198814.03125,170.189,35.129
197624.015625,-1000.0,199736.28125,169.99,35.134
192117.171875,-1000.0,196836.515625,168.303,35.183
215849.015625,-1000.0,196922.65625,168.184,35.187
218171.21875,885.9994506835938,201061.3125,167.757,35.201
193851.984375,-1000.0,201161.75,166.372,35.249
216200.078125,-1000.0,196947.1875,166.042,35.261
213532.9375,-1000.0,197554.171875,165.206,35.294
214920.203125,-1000.0,197324.703125,164.889,35.307
217836.8125,-1000.0,201988.625,164.862,35.308
218227.328125,-1000.0,197591.203125,163.496,35.366
218928.484375,-1000.0,200544.484375,162.929,35.392
219072.09375,-1000.0,200272.46875,161.459,35.463
196950.640625,-1000.0,200618.078125,161.173,35.478
216211.828125,-1000.0,202517.5625,159.767,35.553
217979.84375,885.9994506835938,201391.875,159.412,35.573
214076.34375,-1000.0,197477.921875,159.191,35.585
218130.0,1346.00341796875,200098.484375,157.99,35.656
212729.671875,-1000.0,201475.875,157.607,35.679
198041.046875,-931.4816284179688,197623.9375,157.151,35.708
220110.1875,-1000.0,208443.265625,156.037,35.779
219129.953125,-1000.0,199918.796875,155.934,35.786
215497.8125,-1000.0,202633.296875,154.659,35.874
195883.828125,-1000.0,195116.703125,154.402,35.892
219476.5,-1000.0,199534.796875,151.581,36.105
214068.96875,-1000.0,203101.53125,151.185,36.136
217830.375,-1000.0,202398.796875,150.765,36.171
213127.46875,-1000.0,201634.421875,150.113,36.225
218395.296875,1161.26220703125,200620.765625,149.449,36.282
216900.0,1291.0296630859375,198035.65625,149.437,36.283
217630.640625,-1000.0,202742.890625,149.044,36.317
191823.765625,-1000.0,199726.609375,148.587,36.358
197639.0625,-962.9513549804688,196812.375,147.157,36.488
212179.09375,-1000.0,199433.75,146.993,36.504
218180.0,1160.0,200092.015625,145.349,36.663
196642.34375,-1000.0,195804.984375,144.792,36.72
218550.296875,-1000.0,198068.78125,144.717,36.727
218419.796875,-1000.0,207815.78125,144.421,36.758
212550.984375,-1000.0,197932.578125,144.125,36.788
194312.25,-1000.0,195075.21875,143.817,36.82
218219.265625,924.5364379882812,200911.890625,143.541,36.849
218972.375,-1000.0,207344.46875,140.538,37.183
218549.953125,-1000.0,197971.953125,139.927,37.255
211742.890625,-1000.0,201761.34375,139.861,37.263
218486.203125,-1000.0,201559.84375,138.75,37.397
192201.234375,-1000.0,200598.296875,138.689,37.404
218509.046875,-1000.0,201290.5,136.564,37.674
219627.4375,-1000.0,207333.03125,135.0,37.884
220098.75,-1000.0,207788.171875,135.0,37.884
215165.171875,-1000.0,202706.453125,134.351,37.973
219913.59375,-1000.0,199477.203125,133.45,38.101
213032.765625,-1000.0,197796.140625,132.183,38.285
212143.609375,-1000.0,201609.71875,131.709,38.356
214955.078125,-1000.0,196902.921875,130.275,38.575
218235.671875,-1000.0,201800.953125,130.261,38.577
196499.203125,-1000.0,195364.8125,129.973,38.623
217193.0625,-1000.0,202984.546875,129.255,38.737
212375.765625,-1000.0,201132.640625,129.177,38.749
198141.15625,-945.3030395507812,199260.359375,129.122,38.758
215186.03125,-1000.0,196737.890625,129.019,38.774
219455.90625,-1000.0,199298.71875,128.674,38.83
214706.09375,-1000.0,197918.171875,128.558,38.849
218675.9375,-1000.0,200797.890625,128.268,38.897
197208.734375,-1000.0,196228.359375,128.0,38.941
219859.578125,-1000.0,199245.515625,127.774,38.979
194232.6875,-1000.0,201314.890625,127.16,39.082
219910.5,-1000.0,208914.546875,126.579,39.181
218999.984375,-1000.0,209135.09375,124.588,39.533
219579.453125,-1000.0,199690.90625,123.726,39.691
219771.828125,-1000.0,199691.984375,123.106,39.806
218201.0,1160.0,198687.1875,122.454,39.93
216564.84375,-1000.0,196883.125,120.797,40.254
211989.984375,-1000.0,199984.71875,119.034,40.614
213608.015625,-1000.0,197304.21875,118.116,40.807
218256.96875,-1000.0,208470.859375,117.837,40.867
211775.59375,-1000.0,201566.15625,117.793,40.877
212019.640625,-1000.0,201485.53125,116.668,41.122
218339.34375,-1000.0,201077.828125,116.235,41.219
212126.21875,-1000.0,201907.578125,114.455,41.626
218234.34375,1160.0,200674.6875,114.334,41.654
216870.0,377.3722839355469,196264.21875,113.274,41.906
219624.640625,-1000.0,199137.703125,111.691,42.295
218481.5625,-1000.0,200775.28125,108.542,43.115
218120.0,1346.00341796875,200048.171875,108.468,43.135
213621.703125,-1000.0,203264.234375,108.297,43.181
218804.484375,1244.5751953125,199810.828125,106.366,43.72
213281.78125,-1000.0,202833.625,106.293,43.741
217920.0,1346.00341796875,200022.8125,105.285,44.033
213958.4375,-1000.0,197233.578125,104.362,44.307
218674.453125,1160.0,199804.375,100.736,45.445
216610.796875,1191.0296630859375,197941.265625,99.785,45.761
211884.6875,-1000.0,202000.84375,99.514,45.853
212567.375,-1000.0,199129.859375,97.571,46.527
217458.234375,450.0,198770.875,97.434,46.576
194345.265625,-1000.0,201727.890625,91.893,48.7
217000.0,1350.0,201658.390625,89.982,49.505
218706.1875,-1000.0,198373.375,89.97,49.51
218752.59375,1124.5751953125,200234.9375,85.677,51.475
218550.0,450.0,198400.0,83.045,52.797
